baseline,metric,value
B0_NO_STORAGE,objective_cost_yuan,48052.046590846665
B0_NO_STORAGE,total_grid_energy_kwh,61789.9354
B0_NO_STORAGE,total_charge_kwh,0.0
B0_NO_STORAGE,total_discharge_kwh,0.0
B0_NO_STORAGE,total_waste_kwh,6247.962966666666
B0_NO_STORAGE,soc_min_kwh,6000.0
B0_NO_STORAGE,soc_max_kwh,6000.0
B0_NO_STORAGE,max_balance_residual_kwh,1.1368683772161603e-13
B0_NO_STORAGE,max_soc_residual_kwh,0.0
B0_NO_STORAGE,aggregate_residual_kwh,7.275957614183426e-12
B0_NO_STORAGE,simultaneous_violation_count,0.0
B1_Q1_MILP,objective_cost_yuan,35126.84858928963
B1_Q1_MILP,total_grid_energy_kwh,59482.69899835391
B1_Q1_MILP,total_charge_kwh,20740.66613168725
B1_Q1_MILP,total_discharge_kwh,16799.939566666668
B1_Q1_MILP,total_waste_kwh,0.0
B1_Q1_MILP,soc_min_kwh,1200.0
B1_Q1_MILP,soc_max_kwh,10800.0
B1_Q1_MILP,max_balance_residual_kwh,2.2737367544323206e-13
B1_Q1_MILP,max_soc_residual_kwh,8.313350008393172e-13
B1_Q1_MILP,aggregate_residual_kwh,4.547473508864641e-12
B1_Q1_MILP,simultaneous_violation_count,0.0
