period,baseline,month,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan
formal_output,B0_NO_STORAGE_REFERENCE,2025-02,1859416.8723000004,0.0,0.0,168577.1660333334,314114.36153333326,1462671.9833705246,719113.3870292502,2181785.370399775
formal_output,B0_NO_STORAGE_REFERENCE,2025-03,1787626.6573499995,0.0,0.0,182812.48668333338,444121.47663333325,1392762.070602632,773846.6038449169,2166608.674447548
formal_output,B0_NO_STORAGE_REFERENCE,2025-04,1617991.7903166662,0.0,0.0,140892.9300666667,541155.1164833334,1243895.0624073513,592754.9728907585,1836650.0352981098
formal_output,B0_NO_STORAGE_REFERENCE,2025-05,1643398.6661166665,0.0,0.0,144336.3556666667,600924.5486833332,1266794.9236607566,606003.6061294167,1872798.5297901735
formal_output,B0_NO_STORAGE_REFERENCE,2025-06,1881010.54715,0.0,0.0,215153.4815666667,346170.8568166666,1472635.4723230614,909239.419571317,2381874.8918943787
formal_output,B0_NO_STORAGE_REFERENCE,2025-07,2178879.121733333,0.0,0.0,185195.6414333334,419255.49466666667,1690620.5416776587,772003.0888629669,2462623.630540625
formal_output,B0_NO_STORAGE_REFERENCE,2025-08,2026240.1475166667,0.0,0.0,181536.5151666667,623663.7926833333,1567427.9085266849,757860.2212560502,2325288.1297827354
formal_output,B0_NO_STORAGE_REFERENCE,2025-09,1779977.0871166661,0.0,0.0,153013.97603333337,544607.19215,1394585.074410123,643928.3644540086,2038513.4388641315
formal_output,B0_NO_STORAGE_REFERENCE,2025-10,1868680.7865166664,0.0,0.0,151163.07280000005,544710.2661166667,1463323.168007423,639607.1044935501,2102930.2725009723
formal_output,B0_NO_STORAGE_REFERENCE,2025-11,1911883.513716666,0.0,0.0,207994.82315000007,331905.9295666666,1512841.174132515,892192.7763267917,2405033.950459307
formal_output,B0_NO_STORAGE_REFERENCE,2025-12,2400571.100083333,0.0,0.0,212958.20690000005,249492.37098333333,1903761.2028160365,889452.8675361585,2793214.0703521953
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-02,1862592.3387157859,617092.2256971193,499844.7028146667,218596.8877333334,250062.02676666668,1122497.5574092346,890218.8508074917,2012716.4082167265
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-03,1711088.5306543,617376.8471008228,500075.2461516666,250474.9730615227,317944.2353666666,1007117.465792772,1025930.1669120406,2033047.6327048126
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-04,1473179.1066211213,552817.8464269546,447782.45560583327,214217.1302833334,364631.2421833332,857730.5217793566,880174.1049855835,1737904.62676494
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-05,1475458.1659489712,524935.0237860081,425197.36926666653,212872.78023703708,401782.8185666666,876242.9907465047,874135.559166952,1750378.549913457
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-06,1859839.4500493726,579871.9939516456,469696.31510083325,281417.2903333333,281087.88963189314,1130272.019329516,1145781.5552850184,2276053.5746145346
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-07,2123597.6771913148,591953.3224981481,479482.1912235,244131.11681666676,310438.3942333332,1320781.73188279,983993.0043620169,2304774.736244807
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-08,1865570.8683208018,554447.8606358025,449102.7671150001,251180.3071333334,427293.21193333325,1167779.5987359239,1033021.4596177085,2200801.058353632
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-09,1630175.9911657283,573807.0033283951,464783.67269599997,209654.49663333336,342423.2861666666,995482.0027905497,872051.2512452003,1867533.2540357495
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-10,1748143.0792824302,628438.1261355969,509034.8821698334,204085.4394166666,357691.6815333333,1049369.110724219,839579.1330054336,1888948.243729652
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-11,1892380.7559871331,645053.8467104937,522493.61583549995,269083.8384465021,250931.95625864193,1145769.3039244146,1099040.5441348003,2244809.8480592147
formal_output,B1_RECENT_SAME_CLOCK_MILP_R0,2025-12,2497012.4744674894,744044.7002674894,602676.2072166668,238947.8186333334,230554.86404999995,1544061.6948198283,974243.8789681084,2518305.5737879365
warmup,B0_NO_STORAGE_REFERENCE,2025-01,2348143.200666666,0.0,0.0,300307.1293666667,314827.68683333334,1855980.2611552018,1238254.2718289504,3094234.5329841515
warmup,B1_RECENT_SAME_CLOCK_MILP_R0,2025-01,2425864.9343892997,714670.6515226337,583203.2277333334,330624.29468333337,291399.1620833333,1501202.5496449112,1338870.3975598754,2840072.947204787
