template_date,period,status,solver_name,solver_version,termination_condition,mip_gap,runtime_seconds
2025-01-01,warmup,COLD_START_NO_SOLVE,NONE,N/A,Q2-COLDSTART-001,,0.0
2025-01-02,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0219855000032112
2025-01-03,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.1614610512332034e-16,0.014772499998798594
2025-01-04,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02720250000129454
2025-01-05,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023891899996669963
2025-01-06,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013357699994230643
2025-01-07,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.028438699984690174
2025-01-08,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013538300001528114
2025-01-09,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02697099998476915
2025-01-10,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.184891190342843e-16,0.015539799991529435
2025-01-11,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027392599993618205
2025-01-12,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02297389999148436
2025-01-13,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027676999976392835
2025-01-14,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027263399999355897
2025-01-15,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02624049998121336
2025-01-16,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027190900000277907
2025-01-17,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.014640199980931357
2025-01-18,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025604499998735264
2025-01-19,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023355500015895814
2025-01-20,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027159799996297807
2025-01-21,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025928699993528426
2025-01-22,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022502200008602813
2025-01-23,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.037788999994518235
2025-01-24,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.031549799983622506
2025-01-25,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02575460000662133
2025-01-26,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.036705799982883036
2025-01-27,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03087349998531863
2025-01-28,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021895799989579245
2025-01-29,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.044096300000092015
2025-01-30,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025212900014594197
2025-01-31,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03120389999821782
2025-02-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.037347500008763745
2025-02-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04236319998744875
2025-02-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01525759999640286
2025-02-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0162086000200361
2025-02-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.014991899981396273
2025-02-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.030201899993699044
2025-02-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.016423299995949492
2025-02-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03313179998076521
2025-02-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.05911919998470694
2025-02-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024688399978913367
2025-02-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023698900011368096
2025-02-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024637099995743483
2025-02-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.033279099996434525
2025-02-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02610300001106225
2025-02-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.05571849999250844
2025-02-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.028528900002129376
2025-02-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.028178400010801852
2025-02-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.028055100003257394
2025-02-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023614300007466227
2025-02-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02555609997943975
2025-02-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023381500010145828
2025-02-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027002699993317947
2025-02-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029373800003668293
2025-02-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02670580000267364
2025-02-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0313892999838572
2025-02-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023591900011524558
2025-02-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023915800004033372
2025-02-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024900400021579117
2025-03-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.07116859999950975
2025-03-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.045123100018827245
2025-03-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029115300014382228
2025-03-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024919399991631508
2025-03-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.031241599994245917
2025-03-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,1.7014030210674553e-16,0.0317460999940522
2025-03-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02209350001066923
2025-03-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.059307799994712695
2025-03-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03668619997915812
2025-03-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024862099991878495
2025-03-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024650100007420406
2025-03-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023771800013491884
2025-03-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024326800019480288
2025-03-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024324300000444055
2025-03-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027982300001895055
2025-03-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03668299998389557
2025-03-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024915499991038814
2025-03-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03519860000233166
2025-03-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022687100019538775
2025-03-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024314299982506782
2025-03-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022242199978791177
2025-03-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.032431600004201755
2025-03-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02563610000652261
2025-03-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03282230001059361
2025-03-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02582610002718866
2025-03-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022802599996794015
2025-03-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03505330000189133
2025-03-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03278079998563044
