period,baseline,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,soc_start_0010_kwh,soc_end_0010_next_day_kwh,max_forecast_load_abs_error_kw,max_forecast_pv_abs_error_kw
warmup,B0_NO_STORAGE_REFERENCE,2025-01-01,0.0,0.0,0.0,92035.17009999999,0.0,0.0,366613.56640915,366613.56640915,6000.0,6000.0,7469.4947,5494.725
warmup,B1_RECENT_SAME_CLOCK_MILP_R0,2025-01-01,0.0,0.0,0.0,92035.17009999999,0.0,0.0,366613.56640915,366613.56640915,6000.0,6000.0,7469.4947,5494.725
warmup,B0_NO_STORAGE_REFERENCE,2025-01-02,91419.05335,0.0,0.0,2969.7778666666695,1503.5921166666635,73059.261744705,10572.33314295001,83631.59488765501,6000.0,6000.0,2919.12,589.0743000000002
warmup,B1_RECENT_SAME_CLOCK_MILP_R0,2025-01-02,90903.99019506172,20025.983395061725,20541.04655,2969.7778666666704,1503.5921166666628,59297.6775631795,10572.333142950014,69870.01070612951,6000.0,1200.0,2919.12,589.0743000000002
warmup,B0_NO_STORAGE_REFERENCE,2025-01-03,93014.83593333334,0.0,0.0,0.0,47509.894433333335,74130.662443255,0.0,74130.662443255,6000.0,6000.0,3661.9234,903.7874999999995
warmup,B1_RECENT_SAME_CLOCK_MILP_R0,2025-01-03,97846.28164999999,25428.661666666663,20597.215949999998,0.0,47509.894433333335,62644.86963603333,0.0,62644.86963603333,1200.0,1200.0,3661.9234,903.7874999999995
warmup,B0_NO_STORAGE_REFERENCE,2025-01-04,51005.185849999994,0.0,0.0,1373.0971833333351,7612.680833333332,38248.96075153,5387.008993416674,43635.96974494668,6000.0,6000.0,676.3800000000001,623.0479000000005
warmup,B1_RECENT_SAME_CLOCK_MILP_R0,2025-01-04,49592.95851604937,21379.40604938271,17317.3189,1956.464483333335,2721.73365,25948.922809369258,8110.444777441673,34059.36758681093,1200.0,1200.0,676.3800000000001,623.0479000000005
warmup,B0_NO_STORAGE_REFERENCE,2025-01-05,50637.62808333333,0.0,0.0,40398.081816666665,0.0,38107.043214804995,173517.08965477502,211624.13286958,6000.0,6000.0,3695.5768000000003,867.7875000000004
warmup,B1_RECENT_SAME_CLOCK_MILP_R0,2025-01-05,48690.569634156374,21387.511934156377,17323.884666666665,46408.76753333333,0.0,25655.899453312653,192037.75232795835,217693.651781271,1200.0,1200.0,3695.5768000000003,867.7875000000004
