run_id,question_id,model_id,baseline_id,split,period,metric,value,unit,direction,sample_count,status,notes
baseline,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,planned_grid_kwh,20955676.289916664,kWh,descriptive,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
baseline,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,charge_kwh,0.0,kWh,descriptive,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
baseline,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,discharge_kwh,0.0,kWh,descriptive,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
baseline,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,emergency_kwh,1943634.6555000006,kWh,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
baseline,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,surplus_kwh,4960121.406316662,kWh,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
baseline,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,planned_purchase_cost_yuan,16371318.581934778,yuan,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
baseline,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,emergency_purchase_cost_yuan,8196002.412395188,yuan,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
baseline,Q2,B0_NO_STORAGE_REFERENCE,B0_NO_STORAGE_REFERENCE,formal_output,formal_output,total_cost_yuan,24567320.994329955,yuan,min,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
baseline,Q2,M2-Q2-CAUSAL-MILP-R0-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,formal_output,planned_grid_kwh,20139038.43840444,kWh,descriptive,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
baseline,Q2,M2-Q2-CAUSAL-MILP-R0-v1.0,B1_RECENT_SAME_CLOCK_MILP_R0,formal_output,formal_output,charge_kwh,6629838.79653848,kWh,descriptive,334,HUMAN_RUN_UNREVIEWED,formal Q2 output
