template_date,period,status,solver_name,solver_version,termination_condition,mip_gap,runtime_seconds
2025-01-01,warmup,COLD_START_NO_SOLVE,NONE,N/A,Q2-COLDSTART-001,,0.0
2025-01-02,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022340999999869382
2025-01-03,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.1614610512332034e-16,0.014411999999992986
2025-01-04,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024727600000005623
2025-01-05,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021197900000061054
2025-01-06,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.012939100000039616
2025-01-07,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023905500000182656
2025-01-08,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013030200000230252
2025-01-09,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025235699999939243
2025-01-10,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.184891190342843e-16,0.015616800000316289
2025-01-11,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021074599999792554
2025-01-12,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021746800000073563
2025-01-13,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02492759999995542
2025-01-14,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.023440299999947456
2025-01-15,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02355520000037359
2025-01-16,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02461189999985436
2025-01-17,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013614399999823945
2025-01-18,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02185879999979079
2025-01-19,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021324599999843485
2025-01-20,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025004200000239507
2025-01-21,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02332669999987047
2025-01-22,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019878399999925023
2025-01-23,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.032474699999966106
2025-01-24,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.028920499999912863
2025-01-25,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02170929999965665
2025-01-26,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.05118769999990036
2025-01-27,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029215300000032585
2025-01-28,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01901880000013989
2025-01-29,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03899909999972806
2025-01-30,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021628899999996065
2025-01-31,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03790769999977783
2025-02-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03816049999977622
2025-02-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03788340000028256
2025-02-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.015136500000153319
2025-02-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.014686900000015157
2025-02-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.014032500000212167
2025-02-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.028078700000151002
2025-02-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018442099999901984
2025-02-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.031250900000031834
2025-02-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04873799999995754
2025-02-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020907999999963067
2025-02-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019632499999715947
2025-02-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022004000000379165
2025-02-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029765100000076927
