experiment,track,template_date,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan,saving_vs_original_b0_yuan,saving_vs_original_b1_yuan,saving_vs_matched_b0_yuan
baseline,B0,2025-02-01,47116.570016666665,0.0,0.0,710.6475500000007,13449.040966666664,35111.18784256,2869.348791916669,37980.536634476666,0.0,-11764.698495255427,0.0
baseline,B0,2025-02-02,44693.314483333335,0.0,0.0,34100.155716666675,437.1925,33328.515568735,148717.622466175,182046.13803491,0.0,21787.626365429634,0.0
baseline,B0,2025-02-03,78782.91716666667,0.0,0.0,2975.9982833333374,1541.9992499999978,63067.52780144166,11611.21800340835,74678.74580485001,0.0,-10536.928834593433,0.0
baseline,B0,2025-02-04,80296.75631666667,0.0,0.0,2921.186166666669,2023.0789833333306,64140.99194341499,12156.576448933345,76297.56839234833,0.0,-11117.124225488304,0.0
baseline,B0,2025-02-05,81553.11396666666,0.0,0.0,1688.3759333333367,2493.0624999999973,65351.989522683325,6209.154797075014,71561.14431975834,0.0,-10781.124068143712,0.0
baseline,B0,2025-02-06,80787.646,0.0,0.0,1856.6672000000017,2373.2550999999976,64567.454124225,7397.725403066672,71965.17952729166,0.0,-11173.278801569439,0.0
baseline,B0,2025-02-07,80419.65303333334,0.0,0.0,0.0,48613.97323333332,64282.925337584995,0.0,64282.925337584995,0.0,-11223.791564048333,0.0
baseline,B0,2025-02-08,44215.42123333333,0.0,0.0,1127.889816666668,13766.148149999997,33188.62469911666,3876.6321144666704,37065.256813583335,0.0,-5663.769268975739,0.0
baseline,B0,2025-02-09,43094.99841666667,0.0,0.0,36512.847283333336,52.429500000000075,32143.908560519998,157210.26699185002,189354.17555237003,0.0,22349.790239592025,0.0
baseline,B0,2025-02-10,79567.00371666666,0.0,0.0,1164.6956666666679,6405.062183333329,63568.49763712166,3956.9873584916695,67525.48499561333,0.0,-11188.796286420555,0.0
baseline,B0,2025-02-11,75759.40201666666,0.0,0.0,1909.691550000003,2448.4964666666638,60285.53407672666,8727.032472408348,69012.56654913501,0.0,-10206.624667745884,0.0
baseline,B0,2025-02-12,76260.78344999999,0.0,0.0,1712.0298333333344,2706.0768833333314,61045.06570221,6877.0724720250055,67922.138174235,0.0,-11078.328387393369,0.0
baseline,B0,2025-02-13,76627.53463333333,0.0,0.0,981.1043666666683,6279.159699999998,61311.25240172334,3052.5280304250045,64363.78043214834,0.0,-11657.78085523851,0.0
baseline,B0,2025-02-14,73659.03401666666,0.0,0.0,0.0,43857.23251666666,58435.582950314994,0.0,58435.582950314994,0.0,-11842.522676568828,0.0
baseline,B0,2025-02-15,42594.3738,0.0,0.0,1173.562933333334,14487.845333333331,31683.992786001665,4024.308982691669,35708.30176869333,0.0,-11578.9000833979,0.0
baseline,B0,2025-02-16,42506.511966666665,0.0,0.0,33441.914833333336,571.048,31567.04170819333,144921.26583038335,176488.3075385767,0.0,21833.72055379502,0.0
baseline,B0,2025-02-17,75943.62879999999,0.0,0.0,1010.1101666666686,5769.876466666664,60549.24318923165,3510.4389531250063,64059.68214235666,0.0,-11059.831307860826,0.0
baseline,B0,2025-02-18,73068.55121666667,0.0,0.0,1699.2527833333365,2676.416099999998,57892.63303630833,7706.574490575014,65599.20752688334,0.0,-8686.703202847348,0.0
baseline,B0,2025-02-19,73310.59528333333,0.0,0.0,2812.3549666666686,3243.622249999997,58301.33156543333,11348.674450633338,69650.00601606666,0.0,-10976.361012251087,0.0
baseline,B0,2025-02-20,75126.67858333333,0.0,0.0,1445.3019833333346,5578.846166666664,59815.00232183833,5559.419565400005,65374.421887238335,0.0,-10242.384800910237,0.0
