period,baseline,month,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan
formal_output,B0_NO_STORAGE_REFERENCE,2025-02,2026473.3254233338,0.0,0.0,123576.72489666668,436170.37352,1594122.9594166917,542334.9539117917,2136457.9133284837
formal_output,B0_NO_STORAGE_REFERENCE,2025-03,1960705.2586933332,0.0,0.0,135623.57170666667,570011.1630000001,1529868.2141448874,592562.9683509384,2122431.1824958264
formal_output,B0_NO_STORAGE_REFERENCE,2025-04,1797475.7971166663,0.0,0.0,97356.95207666664,677103.1452933332,1389193.4773478091,423369.51016146323,1812562.9875092723
formal_output,B0_NO_STORAGE_REFERENCE,2025-05,1847245.7294833336,0.0,0.0,90840.67082333333,751275.9272066668,1435513.380651949,387845.5287140266,1823358.909365976
formal_output,B0_NO_STORAGE_REFERENCE,2025-06,2174403.06683,0.0,0.0,136923.06741666666,561332.9623466665,1706235.9725392514,592903.9260473101,2299139.8985865614
formal_output,B0_NO_STORAGE_REFERENCE,2025-07,2490417.624363334,0.0,0.0,101719.51558666666,647317.8714500001,1940016.6639920534,445408.2603456568,2385424.9243377107
formal_output,B0_NO_STORAGE_REFERENCE,2025-08,2264615.08387,0.0,0.0,113032.98385666666,793535.1977266669,1756391.2088097518,491477.3283317486,2247868.5371415
formal_output,B0_NO_STORAGE_REFERENCE,2025-09,2006347.0554399998,0.0,0.0,90976.57834000001,708939.76278,1580948.0399335776,395763.87971936504,1976711.9196529423
formal_output,B0_NO_STORAGE_REFERENCE,2025-10,2065219.9508866668,0.0,0.0,100248.91797333333,690335.2756599999,1623038.160340247,435844.96971840656,2058883.1300586532
formal_output,B0_NO_STORAGE_REFERENCE,2025-11,2096351.0634833332,0.0,0.0,154579.30579,462957.96197333327,1659839.2043560056,681787.2483736951,2341626.4527297006
formal_output,B0_NO_STORAGE_REFERENCE,2025-12,2651610.5909699993,0.0,0.0,141524.01415666673,429097.6691266666,2094200.8135656295,612497.949871375,2706698.7634370043
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-02,2070061.127381459,639797.4406392594,518235.9269178,156877.78230000002,391497.71915999975,1261846.268967263,659924.8472486133,1921771.1162158763
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-03,1944281.4178746182,642982.3440838683,520815.69870793336,179018.40423465025,474815.50933333323,1161114.3494144904,753313.9055822816,1914428.2549967722
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-04,1771091.5718911472,591895.980076214,479435.74386173324,125039.01721333333,565940.74899,1038410.3866516533,526391.1105911715,1564801.497242825
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-05,1812933.081523942,578305.8318453087,468427.7237947,116660.43045333333,632904.9308266666,1080711.9976688193,483273.25175813335,1563985.2494269523
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-06,2215006.773752189,631564.1984150617,511567.0007162,175784.6469633395,520801.0511166665,1372053.6740848976,729927.2469241485,2101980.9210090465
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-07,2508481.598548265,647050.5002195885,524110.90517786663,131203.1002867901,571925.8352933333,1583201.5065316418,554093.7411474593,2137295.247679101
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-08,2204936.4623497343,607259.4813845678,491880.17992150015,143675.3025566667,649119.5934433334,1380194.3293437115,603385.1177961701,1983579.447139881
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-09,1963994.0537422793,616082.1189325104,499026.5163353334,121470.60674860084,580025.1868937035,1211010.892115905,510840.2439874824,1721851.1361033872
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-10,2025935.9216377106,657558.8105844444,532622.6365733999,126228.79862999999,552094.9530566667,1234152.2500573285,534430.4326976881,1768582.6827550172
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-11,2126971.4869489777,672618.6329006173,544821.0926494999,190431.23360880662,401632.7730066666,1303003.2783020795,809535.0399569115,2112538.318258991
formal_output,B1_RECENT_BUFFER_MILP_R0,2025-12,2776996.777622469,760079.6591358024,615664.5239,151206.28612000003,419750.9925066666,1740434.3737906492,640604.3676722368,2381038.741462887
warmup,B0_NO_STORAGE_REFERENCE,2025-01,2506208.3089566664,0.0,0.0,258916.01516333333,431501.68091999996,1975157.554232572,1078774.2951074285,3053931.8493400007
warmup,B1_RECENT_BUFFER_MILP_R0,2025-01,2602541.617742103,725481.6476777367,591960.1346189666,279721.80044,415119.2619233332,1624224.6005130957,1146232.3009496836,2770456.9014627794
