template_date,period,status,solver_name,solver_version,termination_condition,mip_gap,runtime_seconds
2025-01-01,warmup,COLD_START_NO_SOLVE,NONE,N/A,Q2-COLDSTART-001,,0.0
2025-01-02,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.015089500000158296
2025-01-03,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.1614610512332034e-16,0.013045299999703275
2025-01-04,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022004200000083074
2025-01-05,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020115099999657104
2025-01-06,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.011128699999972014
2025-01-07,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021875700000236975
2025-01-08,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.011392899999918882
2025-01-09,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.010472200000094745
2025-01-10,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013543200000185607
2025-01-11,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018983700000262616
2025-01-12,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019259599999713828
2025-01-13,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,2.1656110479820776e-16,0.014038300000265735
2025-01-14,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01208230000020194
2025-01-15,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.011882899999818619
2025-01-16,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.012993499999993219
2025-01-17,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.016399600000113423
2025-01-18,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019520899999861285
2025-01-19,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019212900000184163
2025-01-20,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01134490000004007
2025-01-21,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01332719999982146
2025-01-22,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022523399999954563
2025-01-23,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.011660599999686383
2025-01-24,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.012626799999907234
2025-01-25,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019073000000389584
2025-01-26,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020008499999676133
2025-01-27,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.011191999999937252
2025-01-28,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022648000000117463
2025-01-29,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.1361077642517916e-16,0.014078500000323402
2025-01-30,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019539399999757734
