period,baseline,month,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan
formal_output,B0_NO_STORAGE_REFERENCE,2025-02,1892819.5067666667,0.0,0.0,35334.36550000004,214274.1954666666,1487603.965214272,143635.03614719186,1631239.0013614635
formal_output,B0_NO_STORAGE_REFERENCE,2025-03,1832831.8131666663,0.0,0.0,44865.67675000004,351379.82251666655,1430459.5520036335,179891.65157035016,1610351.2035739832
formal_output,B0_NO_STORAGE_REFERENCE,2025-04,1619726.0193166665,0.0,0.0,44150.98486666672,446147.4002833333,1244723.2812003768,177737.54162345018,1422460.822823827
formal_output,B0_NO_STORAGE_REFERENCE,2025-05,1603905.8169,0.0,0.0,70073.89881666673,487169.24261666666,1231256.5437360234,298396.6035037919,1529653.1472398147
formal_output,B0_NO_STORAGE_REFERENCE,2025-06,1875692.5341999996,0.0,0.0,119127.60725000007,244826.9695499999,1469525.1198104713,489744.78856340045,1959269.908373872
formal_output,B0_NO_STORAGE_REFERENCE,2025-07,2122072.800333333,0.0,0.0,130906.05071666675,308159.5825499999,1647233.149228235,511905.5825940837,2159138.731822319
formal_output,B0_NO_STORAGE_REFERENCE,2025-08,2039239.6918,0.0,0.0,57256.884983333395,512383.70678333327,1575574.1778327697,230951.2321414918,1806525.409974262
formal_output,B0_NO_STORAGE_REFERENCE,2025-09,1847502.6338999998,0.0,0.0,47202.11998333337,506320.88288333325,1448272.091672977,192498.83261994185,1640770.9242929185
formal_output,B0_NO_STORAGE_REFERENCE,2025-10,1858656.1142499996,0.0,0.0,42818.22008333337,426340.7411333333,1456319.5451359667,172289.78122728353,1628609.32636325
formal_output,B0_NO_STORAGE_REFERENCE,2025-11,1946474.8197833328,0.0,0.0,51502.9070333334,210005.3195166666,1542376.6211017019,209472.9944146169,1751849.615516319
formal_output,B0_NO_STORAGE_REFERENCE,2025-12,2374991.3259,0.0,0.0,93105.78770000009,104060.17759999995,1886024.3114711866,348724.83007720043,2234749.141548387
formal_output,B1_WEEKDAY_MILP_R0,2025-02,1905798.2903128022,620985.614102469,502998.34742299997,50418.47248333336,124349.8193166666,1150527.1424791028,194364.3697745335,1344891.5122536365
formal_output,B1_WEEKDAY_MILP_R0,2025-03,1762733.5566837443,625614.5759670782,506747.8065333333,77539.90430000002,195089.02414999995,1043172.6369383298,295545.3394875418,1338717.9764258715
formal_output,B1_WEEKDAY_MILP_R0,2025-04,1479007.027327146,553284.1653183127,448160.17390783335,91796.20535000005,247949.63736666663,860573.0324097543,356106.90566129197,1216679.9380710463
formal_output,B1_WEEKDAY_MILP_R0,2025-05,1435258.4625724484,518764.6728374485,420199.38499833335,119752.97245000007,269635.67408333323,843413.9583207392,488017.62532435847,1331431.583645098
formal_output,B1_WEEKDAY_MILP_R0,2025-06,1857301.3623028744,585308.429313374,474099.8277438333,158151.5901500001,154251.17898333367,1125457.571127523,617390.6053527754,1742848.1764802977
formal_output,B1_WEEKDAY_MILP_R0,2025-07,2056041.7005704837,583155.9448446503,472356.3153241667,177406.72235000008,177829.52489999996,1275681.1643575623,671790.8813334751,1947472.045691038
formal_output,B1_WEEKDAY_MILP_R0,2025-08,1872628.0723072144,552733.7976695473,447714.3761123334,98969.68238333339,282465.4631333332,1174243.5582671934,389183.73982125,1563427.2980884444
formal_output,B1_WEEKDAY_MILP_R0,2025-09,1708221.6984250862,576406.8935530863,466889.583778,80652.7148333334,290973.2324833334,1051608.508847716,314621.67561397515,1366230.1844616912
formal_output,B1_WEEKDAY_MILP_R0,2025-10,1739474.3343110594,624050.0261985596,505480.52122083324,71695.43511666672,217466.67124999987,1045440.5399673004,274798.3405447168,1320238.8805120173
formal_output,B1_WEEKDAY_MILP_R0,2025-11,1932082.1546443538,649861.2094288066,526387.5796373334,73655.21175123462,94291.32930411518,1174561.8019737657,278160.44714606344,1452722.249119829
formal_output,B1_WEEKDAY_MILP_R0,2025-12,2460004.9902331275,740085.2836831274,599469.0797833335,108129.03660000005,63480.886933333255,1523476.496310309,402293.47200330044,1925769.9683136095
warmup,B0_NO_STORAGE_REFERENCE,2025-01,2314651.9926333334,0.0,0.0,191349.52240000013,172378.87183333325,1827099.7197774046,763514.5231055418,2590614.242882948
warmup,B1_WEEKDAY_MILP_R0,2025-01,2387806.1594592202,711629.7342590534,580740.0847498332,203263.77770000012,126557.64444999993,1471878.5350056814,802762.2596206086,2274640.79462629
