template_date,period,status,solver_name,solver_version,termination_condition,mip_gap,runtime_seconds
2025-01-01,warmup,COLD_START_NO_SOLVE,NONE,N/A,Q2-COLDSTART-001,,0.0
2025-01-02,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0150989000003392
2025-01-03,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.1614610512332034e-16,0.012967199999820878
2025-01-04,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021104100000229664
2025-01-05,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02148830000032831
2025-01-06,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01181910000013886
2025-01-07,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02239610000015091
2025-01-08,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013474400000177411
2025-01-09,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.18950194490428e-16,0.022641600000042672
2025-01-10,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019481199999972887
2025-01-11,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020394900000155758
2025-01-12,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.1849238656380186e-16,0.01424170000018421
2025-01-13,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.1868038838833986e-16,0.015104999999948632
2025-01-14,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022774999999910506
2025-01-15,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02496689999998125
2025-01-16,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.015543500000148924
2025-01-17,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024186399999962305
2025-01-18,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022515199999816105
2025-01-19,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,2.46225730234658e-16,0.012609799999609095
2025-01-20,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.017186900000069727
2025-01-21,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027732300000025134
2025-01-22,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01268049999998766
2025-01-23,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02259280000043873
2025-01-24,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020399900000029447
2025-01-25,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02068920000010621
