template_date,period,status,solver_name,solver_version,termination_condition,mip_gap,runtime_seconds
2025-01-01,warmup,COLD_START_NO_SOLVE,NONE,N/A,Q2-COLDSTART-001,,0.0
2025-01-02,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.015200499999991735
2025-01-03,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.1614610512332034e-16,0.013436199999887322
2025-01-04,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021137200000339362
2025-01-05,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02110050000010233
2025-01-06,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.011297500000182481
2025-01-07,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02273300000024392
2025-01-08,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013313999999809312
2025-01-09,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013585100000000239
2025-01-10,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01925649999975576
2025-01-11,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.027092200000424782
2025-01-12,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.012658099999953265
2025-01-13,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,2.2203226623010297e-16,0.013580499999989115
2025-01-14,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01257469999973182
2025-01-15,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01344569999992018
2025-01-16,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,2.250513539714159e-16,0.01127070000029562
2025-01-17,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020736200000101235
2025-01-18,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020160499999747117
2025-01-19,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02639580000004571
2025-01-20,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,1.1366170545940424e-16,0.013673800000105985
2025-01-21,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.014764600000034989
2025-01-22,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029454699999860168
2025-01-23,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013305899999977555
2025-01-24,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020512799999778508
2025-01-25,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02299700000003213
2025-01-26,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013410799999746814
2025-01-27,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0216232000002492
2025-01-28,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.033193199999914214
2025-01-29,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,2.3435424278419525e-16,0.014906400000199937
2025-01-30,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.012878499999715132
2025-01-31,warmup,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019317099999625498
2025-02-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020841099999870494
2025-02-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019415400000070804
2025-02-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013679499999852851
2025-02-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.011405199999899196
2025-02-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.03358489999982339
2025-02-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.012486399999943387
2025-02-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020539300000109506
2025-02-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.038471800000024814
2025-02-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018701599999985774
2025-02-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018984899999850313
2025-02-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018676200000300014
2025-02-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018968999999742664
2025-02-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022221600000193575
2025-02-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.037701299999753246
2025-02-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.032698900000013964
2025-02-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.031554700000015146
2025-02-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021180899999762914
2025-02-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020322999999734748
2025-02-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024956100000053993
2025-02-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.017659399999956804
2025-02-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.044770299999981944
2025-02-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.029208000000380707
2025-02-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024792799999886483
2025-02-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.017411099999662838
2025-02-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019472599999971862
2025-02-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019570099999782542
2025-02-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018520300000091083
2025-02-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.07901829999991605
2025-03-01,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.04324830000041402
2025-03-02,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.026337700000112818
2025-03-03,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.013650200000029145
2025-03-04,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025525699999889184
2025-03-05,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.025497400000404014
2025-03-06,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.0347804999996697
2025-03-07,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.07834159999993062
2025-03-08,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.021456100000250444
2025-03-09,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.022094800000104442
2025-03-10,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.034761599999910686
2025-03-11,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.01859310000008918
2025-03-12,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018784099999720638
2025-03-13,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018165599999974802
2025-03-14,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.032261100000141596
2025-03-15,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.09001970000008441
2025-03-16,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020579300000008516
2025-03-17,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018148999999993976
2025-03-18,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020113799999762705
2025-03-19,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020990099999835365
2025-03-20,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019842599999719823
2025-03-21,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.05048080000005939
2025-03-22,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.024760300000252755
2025-03-23,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019304299999930663
2025-03-24,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.018099500000062108
2025-03-25,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.019313100000090344
2025-03-26,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020138300000326126
2025-03-27,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020353200000045035
2025-03-28,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020068799999990006
2025-03-29,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02024100000016915
2025-03-30,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.02184469999974681
2025-03-31,formal_output,OPTIMAL,HiGHS,1.15.1,Optimal,0.0,0.020091800000045623
