period,baseline,month,planned_grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_purchase_cost_yuan,emergency_purchase_cost_yuan,total_cost_yuan
formal_output,B0_NO_STORAGE_REFERENCE,2025-02,1977277.578003333,0.0,0.0,14793.83471666668,278191.7359199999,1555161.3134095147,59542.202711675054,1614703.5161211898
formal_output,B0_NO_STORAGE_REFERENCE,2025-03,1918952.6089466664,0.0,0.0,20306.615050000015,412941.55659666663,1499230.7548840328,82400.31012457506,1581631.065008608
formal_output,B0_NO_STORAGE_REFERENCE,2025-04,1714635.8808033334,0.0,0.0,16483.121626666685,513389.39853000006,1320148.640953197,68737.94339787507,1388886.5843510723
formal_output,B0_NO_STORAGE_REFERENCE,2025-05,1740500.3218233336,0.0,0.0,26793.463560000022,580483.3122833333,1347025.3621908065,115626.07852921505,1462651.4407200217
formal_output,B0_NO_STORAGE_REFERENCE,2025-06,2134354.697676667,0.0,0.0,44073.51389333335,428435.03967,1679159.9660340715,175353.2417792684,1854513.2078133398
formal_output,B0_NO_STORAGE_REFERENCE,2025-07,2407527.6064166664,0.0,0.0,52644.91189333336,515353.24980999995,1867812.681584822,204917.01459987834,2072729.6961847004
formal_output,B0_NO_STORAGE_REFERENCE,2025-08,2158971.675433333,0.0,0.0,21818.460570000007,596677.2660033335,1670717.2834572243,89800.51033903504,1760517.79379626
formal_output,B0_NO_STORAGE_REFERENCE,2025-09,1948862.1278699993,0.0,0.0,20372.389170000017,580850.6460399999,1533199.7611038138,82180.32010322841,1615380.0812070428
formal_output,B0_NO_STORAGE_REFERENCE,2025-10,1963655.22778,0.0,0.0,12308.49031000002,500830.12489,1541729.4632814773,48481.98687968676,1590211.450161164
formal_output,B0_NO_STORAGE_REFERENCE,2025-11,2062324.506096667,0.0,0.0,14926.663580000028,289278.7623766666,1636402.5664930795,59354.573150176744,1695757.1396432566
formal_output,B0_NO_STORAGE_REFERENCE,2025-12,2580220.76394,0.0,0.0,30125.77630333336,246309.60424333328,2039535.7248800204,111020.06330297844,2150555.7881829985
formal_output,B1_WEEKDAY_BUFFER_MILP_R0,2025-02,2009115.177158959,631785.0746382304,511745.91045696667,20859.151910000008,196055.4880876954,1221987.6132306997,79168.03249677837,1301155.645727478
formal_output,B1_WEEKDAY_BUFFER_MILP_R0,2025-03,1886664.9751642393,635581.7539521401,514821.22070123337,35948.09371333334,275534.86822666664,1124808.8599002892,136927.54672682,1261736.4066271093
formal_output,B1_WEEKDAY_BUFFER_MILP_R0,2025-04,1639885.1457757722,574866.1959602056,465641.6187277667,35926.09595000002,348857.0605933332,954889.9751229039,140050.6162443267,1094940.59136723
formal_output,B1_WEEKDAY_BUFFER_MILP_R0,2025-05,1650502.3454519024,548513.6703258023,444296.0729638999,41484.01921333334,400958.29420333327,979307.1263886652,170033.19191299006,1149340.3183016554
formal_output,B1_WEEKDAY_BUFFER_MILP_R0,2025-06,2159981.4159125653,624094.5563418517,505516.5906368999,55739.73952333335,347150.01783094654,1339952.411314489,213729.65944166505,1553682.0707561541
formal_output,B1_WEEKDAY_BUFFER_MILP_R0,2025-07,2410209.772995163,623828.2447536213,505300.87825043325,63786.728886666664,410649.86687864206,1512360.8741872055,241337.3696417267,1753698.2438289325
formal_output,B1_WEEKDAY_BUFFER_MILP_R0,2025-08,2056212.734152048,581176.8485195473,470753.2473008332,38167.704313333335,399843.9672466666,1285175.7616750903,150781.98564251504,1435957.7473176052
formal_output,B1_WEEKDAY_BUFFER_MILP_R0,2025-09,1871215.384475477,597359.7151527159,483861.36927369994,32635.27298,401968.4405764608,1153685.3468368626,127661.9670623067,1281347.3138991692
formal_output,B1_WEEKDAY_BUFFER_MILP_R0,2025-10,1896194.6282785067,642252.8547114402,520224.8123162667,19593.817533333353,318626.8102166666,1146734.4564299013,74492.15880065675,1221226.6152305577
formal_output,B1_WEEKDAY_BUFFER_MILP_R0,2025-11,2079287.7870588736,668399.4330427573,541403.5407646333,20553.61778000002,184873.10526074973,1275233.5750829708,78495.33575677841,1353728.910839749
formal_output,B1_WEEKDAY_BUFFER_MILP_R0,2025-12,2689385.2241004934,754675.1724938268,611286.8897200001,33984.96927000003,215944.97459666664,1680787.2714767335,124445.55533846011,1805232.826815193
warmup,B0_NO_STORAGE_REFERENCE,2025-01,2423265.866173334,0.0,0.0,159783.33523333335,249426.55820666658,1909893.363288816,643283.065604057,2553176.428892872
warmup,B1_WEEKDAY_BUFFER_MILP_R0,2025-01,2513490.4803295373,720371.158173004,587820.6381201333,167511.33852000008,214828.65559666662,1558587.1954648728,668480.3973244921,2227067.592789365
