month,total_cost,planned_purchase_cost,downward_penalty,upward_adjustment_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1609685.211301417,1244926.6231893136,3.645936885732226e-14,0.0,364758.5881121034,80171.93074000001,283405.48039999994,2035859.6589850257,2035859.6589850257,624981.2238159259,506234.7912909,1.7053025658242404e-13,0.0,0.0,1200.0000000000286,10800.000000000078
3,1615402.1739873264,1166208.1925754943,4.861249180976301e-14,0.0,449193.9814118322,100215.46681773664,383089.1770172016,1924440.4377171008,1924440.4377171008,606574.0006191358,491324.9405015,2.2737367544323206e-13,0.0,0.0,1200.000000000076,10800.000000000118
4,1397410.5699799529,984000.7670885979,1.2153122952440753e-14,0.0,413409.8028913551,97673.78773925928,409192.2371166666,1624380.9168997626,1624380.9168997626,500699.2822229218,405566.4186005666,5.684341886080802e-14,0.0,0.0,1200.0000000001191,10800.000000000164
5,1450417.2944763517,1004054.5521640687,3.645936885732226e-14,0.0,446362.74231228314,110552.9226699177,441825.81615104893,1606694.6778119465,1606694.6778119465,466375.3222674486,377764.01103663334,1.7053025658242404e-13,0.0,0.0,1200.0000000001637,10800.000000000186
6,1731069.6254022552,1386509.6102458918,0.0,0.0,344560.0151563634,88312.71356333335,416667.0156133333,2190817.735373959,2190817.735373959,591948.7443366254,479478.48291266663,0.0,0.0,0.0,1200.0000000001817,10800.000000000196
7,2041104.288824851,1551835.2506923508,0.0,0.0,489269.0381325,124367.55784139919,476570.13576300413,2406523.466265772,2406523.466265772,576324.3149693004,466822.6951251333,0.0,0.0,0.0,1200.0000000001894,10800.000000000198
8,1803507.2391478198,1352337.1953376327,0.0,0.0,451170.0438101872,107758.183502963,507745.758535144,2082420.6594204574,2082420.6594204574,517474.8125698765,419154.5981816,0.0,0.0,0.0,1200.0000000001924,10800.000000000206
9,1634966.5783960212,1198558.2003043275,0.0,0.0,436408.3780916938,100140.5789739918,500930.9989176954,1892165.76554718,1892165.76554718,542060.3926498765,439068.91804639995,0.0,0.0,0.0,1200.0000000002021,10800.000000000227
10,1618001.8027368756,1184117.7214890223,4.861249180976301e-14,0.0,433884.0812478534,95503.87536666669,434609.01400909456,1932220.6120403262,1932220.6120403262,620957.264199465,502975.3840015667,2.2737367544323206e-13,0.0,0.0,1200.0000000002256,10800.000000000256
11,1702998.7824908409,1282792.7532946493,2.4306245904881506e-14,0.0,420206.0291961916,92101.23042366256,270759.8387566666,2091849.0704547928,2091849.0704547928,659042.3937988888,533824.3389771,1.1368683772161603e-13,0.0,0.0,1200.0000000002567,10800.000000000298
12,2092122.4357974117,1676632.0938822317,3.645936885732226e-14,0.0,415490.34191518003,93438.32324666668,277537.5479733333,2691358.380125132,2691358.380125132,753801.1547287654,610578.9353303,1.7053025658242404e-13,0.0,0.0,1200.0000000002985,10800.000000000333
