month,total_cost,planned_purchase_cost,downward_penalty,upward_adjustment_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1887143.7405857106,1567664.1336560908,0.0,18809.702228233004,300669.90470138675,65175.744016666686,373162.8033566666,2006874.8736466665,2021866.73614,0.0,0.0,0.0,14991.862493333338,491.0,6000.0,6000.0
3,1888782.9682419372,1514409.0317661508,0.0,23865.0869118545,350508.8495639317,78147.23351333335,516168.5017033333,1946676.4856,1964338.93559,0.0,0.0,0.0,17662.44999,528.0,6000.0,6000.0
4,1676690.269901724,1325937.8962598736,0.0,29462.972121827002,321289.4015200234,75876.65046000002,600471.5035466666,1720546.4460466665,1742324.4569866667,0.0,0.0,0.0,21778.010940000004,586.0,6000.0,6000.0
5,1716013.8892263644,1353700.326165017,0.0,40534.86440059749,321778.69866075006,81337.00118666668,661264.3779966666,1737406.7181233333,1766737.8499099999,0.0,0.0,0.0,29331.131786666665,603.0,6000.0,6000.0
6,2028738.5729852482,1708207.831776172,0.0,64698.749580859505,255831.99162821673,68943.01840666668,530955.9388833332,2161476.6958266664,2212006.0923766666,0.0,0.0,0.0,50529.396550000005,890.0,6000.0,6000.0
7,2306320.869185762,1891215.9987087662,0.0,57113.303390487505,357991.5670865084,93020.76444666668,615691.0033966666,2424520.84325,2467489.50745,0.0,0.0,0.0,42968.66420000001,807.0,6000.0,6000.0
8,2072660.2697649735,1713068.5051240115,0.0,29850.124475303495,329741.6401656584,80227.39369000001,720260.2216133332,2202397.05701,2224145.6979233334,0.0,0.0,0.0,21748.64091333333,505.0,6000.0,6000.0
9,1908726.620467303,1547692.2707463223,0.0,30987.286168643997,330047.06355233677,74650.72840000002,680463.36426,1971671.4393799999,1994196.5068599998,0.0,0.0,0.0,22525.06748,602.0,6000.0,6000.0
10,1920041.010171671,1554435.84073051,0.0,24112.3328819525,341492.8365592084,75202.94862333336,608168.6454699999,1990356.6136033332,2008099.2900466665,0.0,0.0,0.0,17742.676443333334,467.0,6000.0,6000.0
11,1986571.990678494,1625867.5762777906,0.0,48474.098927244995,312230.31547345844,68093.25288333336,382227.6881466666,2065921.7418333332,2102106.8425633335,0.0,0.0,0.0,36185.10073,875.0,6000.0,6000.0
12,2410060.4379749577,2025756.802154243,0.0,47962.779634449995,336340.85618626507,74776.17658666668,330749.4529266666,2579037.05691,2620010.21234,0.0,0.0,0.0,40973.15542999999,834.0,6000.0,6000.0
