month,total_cost,planned_purchase_cost,downward_penalty,upward_adjustment_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1631079.5444024897,1244926.6231893136,8.703287335265486e-12,17662.313998616686,368490.60721455934,78439.58711500869,300673.2454110436,2035859.6589850257,2054200.8763921743,621513.3752428395,503425.83394670003,1.460875864722766e-11,18341.21740714856,258.0,1200.0,10800.0
3,1566590.4354685193,1166208.1925754943,8.696819975284597e-12,32383.50153540218,367998.7413576229,81658.84467813333,401604.3834161263,1924440.4377171008,1961773.669650596,607949.8079610699,492439.34444846667,1.5290879673557356e-11,37333.23193349549,269.0,1200.0,10800.0
4,1384542.328760649,984000.7670885979,1.1514401876411285e-11,39793.13398498544,360748.42768706573,83468.07417313501,440857.3382835078,1624380.9168997626,1671018.0421235028,504732.4953322633,408833.32121913333,1.91562321560923e-11,46637.12522374031,376.0,1200.0,10800.0
5,1420299.6512018938,1004054.5521640687,4.902253181171545e-12,51636.52113226461,364608.57790556044,90260.39418797739,481487.4347733979,1606694.6778119465,1669889.2670441135,483430.2808352263,391578.5274765333,7.958078640513122e-12,63194.58923216704,378.0,1200.0,10800.0
6,1718438.1703755592,1386509.6102458918,1.7646982541918989e-12,50343.435472054814,281585.1246576127,73785.40879993088,450257.7519363912,2190817.735373959,2243540.260132308,616182.8689255144,499108.1238296667,3.410605131648481e-12,52722.52475834928,445.0,1200.0,10800.0
7,2001704.3184941278,1551835.2506923508,3.6723221796819415e-12,58715.2353079984,391153.8324937785,99843.36536280003,512824.1225119623,2406523.466265772,2470876.9163945667,595141.5302389711,482064.6394935666,6.45172804070171e-12,64353.45012879478,475.0,1200.0,10800.0
8,1752527.6828301258,1352337.1953376327,4.029277533845744e-12,39094.79947103934,361095.68802145385,86547.29435172348,531090.5384395584,2082420.6594204574,2128131.1364675174,523552.74936674885,424077.7269870667,7.780442956573097e-12,45710.47704705962,304.0,1200.0,10800.0
9,1573151.1434770864,1198558.2003043275,7.931187440135546e-12,39303.331999377915,335289.6111733811,75549.610988414,521229.08585972915,1892165.76554718,1939409.7507729542,554454.7626402057,449108.35773856664,1.361399881716352e-11,47243.985225774086,313.0,1200.0,10800.0
10,1585488.842593501,1184117.7214890223,7.1532781475980304e-12,28022.81718915948,373348.30391531927,80949.11204073047,451642.4834543028,1932220.6120403262,1962672.453961334,614976.2597250617,498130.7703773,1.1709744285326451e-11,30451.84192100781,275.0,1200.0,10800.0
11,1691116.8861861133,1282792.7532946493,1.4539268988755793e-11,54226.180452002685,354097.9524394613,77095.2126601334,307480.9977651823,2091849.0704547928,2144932.210008489,666179.0400181068,539605.0224146666,2.452793523843866e-11,53083.13955369629,527.0,1200.0,10800.0
12,2103765.7728181486,1676632.0938822317,5.9916658301517605e-12,43650.90528406551,383482.7736518514,84086.31535979836,310922.81286346825,2691358.380125132,2734638.427853928,756657.865001358,612892.8706511,1.1425527191022411e-11,43280.047728795886,413.0,1200.0,10800.0
