template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_status,termination_condition,mip_gap,runtime_seconds,adjustment_objective
2025-01-01,2025-01-01T00:00:00,initial_0000,1,144,COLD_START_NO_SOLVE,INITIAL_PLAN,,0.0,0.0
2025-01-01,2025-01-01T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.01212239998858422,0.0
2025-01-01,2025-01-01T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.008716500014998019,0.0
2025-01-01,2025-01-01T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.008006100018974394,0.0
2025-01-01,2025-01-02T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00022489999537356198,0.0
2025-01-02,2025-01-02T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-02,2025-01-02T06:00:00,update_0600,36,109,OPTIMAL,Optimal,1.9880270544156842e-13,0.01507530000526458,17.906291054999727
2025-01-02,2025-01-02T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.010424699983559549,666.5844965075045
2025-01-02,2025-01-02T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.009203400026308373,0.0
2025-01-02,2025-01-03T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0002700999903026968,0.0
2025-01-03,2025-01-03T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-03,2025-01-03T06:00:00,update_0600,36,109,OPTIMAL,Optimal,9.533276861891483e-16,0.014485199993941933,834.7684385759222
2025-01-03,2025-01-03T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.023045800015097484,366.9989011042002
2025-01-03,2025-01-03T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.007889000000432134,0.0
2025-01-03,2025-01-04T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00025770001229830086,0.0
2025-01-04,2025-01-04T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-04,2025-01-04T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.031773700000485405,604.3677019503676
2025-01-04,2025-01-04T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.024265999993076548,1103.5566923460458
2025-01-04,2025-01-04T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.008543500007363036,0.0
2025-01-04,2025-01-05T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00023450001026503742,0.0
2025-01-05,2025-01-05T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-05,2025-01-05T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.026072600012412295,979.4095696295358
2025-01-05,2025-01-05T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.020597900002030656,538.3198511045373
2025-01-05,2025-01-05T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.015405900019686669,0.0
2025-01-05,2025-01-06T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0003066000062972307,0.0
2025-01-06,2025-01-06T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-06,2025-01-06T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.03573880001204088,188.5536424124983
2025-01-06,2025-01-06T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.020340199989732355,691.7848504974041
2025-01-06,2025-01-06T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.011639199976343662,0.0
2025-01-06,2025-01-07T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0003358999965712428,0.0
2025-01-07,2025-01-07T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-07,2025-01-07T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.045622300007380545,4458.507606118315
2025-01-07,2025-01-07T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.013431700004730374,3565.9609251008105
2025-01-07,2025-01-07T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.025711299997055903,0.0
2025-01-07,2025-01-08T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.00033439998514950275,0.0
2025-01-08,2025-01-08T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-08,2025-01-08T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.017320499988272786,0.0
2025-01-08,2025-01-08T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.05258629997842945,0.0
2025-01-08,2025-01-08T18:00:00,update_1800,108,37,OPTIMAL,Optimal,0.0,0.010754299990367144,0.0
2025-01-08,2025-01-09T00:00:00,update_nextday_0000_slot144,144,1,OPTIMAL,Optimal,0.0,0.0005221000174060464,0.0
2025-01-09,2025-01-09T00:00:00,initial_0000,1,144,OPTIMAL,INITIAL_PLAN,,0.0,0.0
2025-01-09,2025-01-09T06:00:00,update_0600,36,109,OPTIMAL,Optimal,0.0,0.032535100006498396,1201.824920552851
2025-01-09,2025-01-09T12:00:00,update_1200,72,73,OPTIMAL,Optimal,0.0,0.033738500002073124,1732.6326509705557
