template_date,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2025-02-01,26318.71509759234,25467.374007370658,25467.374007370658,0.0,0.0,0.0,25467.374007370658,851.3410902216807,168.86182111111663,10029.545141111117,48127.335771437654,48127.335771437654,20465.662375987653,16577.186524549994,37042.84890053765,0.0,0.0,0.0,1200.0,10800.0
2025-02-02,60158.90979885758,59898.955022395385,59898.955022395385,0.0,0.0,0.0,59898.955022395385,259.9547764622005,74.33885222221704,11490.803898888878,94491.07608,94491.07608,24833.333333333332,20115.0,44948.33333333333,0.0,0.0,0.0,1200.0000000000002,10800.0
2025-02-03,61282.62731112965,60561.00749516186,60561.00749516186,0.0,0.0,0.0,60561.00749516186,721.6198159677841,164.0411700000008,10791.26763666666,95690.73162141975,95690.73162141975,25508.362919753086,20661.773965,46170.13688475308,0.0,0.0,0.0,1200.0,10800.0
2025-02-04,63366.98969859085,63052.11919457588,63052.11919457588,0.0,0.0,0.0,63052.11919457588,314.8705040149743,143.9523772222168,12737.188703888876,98664.76649333333,98664.76649333333,25666.666666666664,20790.000000000004,46456.666666666664,0.0,0.0,0.0,1200.0,10800.0
2025-02-05,59657.0452530482,58385.5529897946,58385.5529897946,0.0,0.0,0.0,58385.5529897946,1271.4922632535925,333.65681388888476,7231.963497222214,92365.06741666666,92365.06741666666,24833.333333333332,20115.0,44948.33333333333,0.0,0.0,0.0,1200.0,10800.0
2025-02-06,63415.11644155086,63035.47013430644,63035.47013430644,2.4306245904881506e-14,1.2153122952440753e-14,0.0,63035.47013430644,379.6463072444189,102.42095055555042,13576.908867222213,98622.21268333333,98622.21268333333,25666.666666666664,20790.0,46456.666666666664,5.684341886080802e-14,0.0,0.0,1200.0,10800.0
2025-02-07,25674.62882864678,24989.62090899011,24989.62090899011,0.0,0.0,0.0,24989.62090899011,685.0079196566682,119.07464000000033,12207.927276666667,47942.20557304526,47942.20557304526,21303.542823045267,17255.86968666667,38559.41250971193,0.0,0.0,0.0,1200.000000000002,10800.0
2025-02-08,26304.446732097946,19509.883713285406,19509.883713285406,0.0,0.0,0.0,19509.883713285406,6794.563018812541,1733.8447011111164,4288.222162777782,37806.524798909464,37806.524798909464,19342.023353909462,15667.038916666666,35009.06227057613,0.0,0.0,0.0,1200.000000000001,10800.0
2025-02-09,58638.55010952674,56835.13022605171,56835.13022605171,0.0,0.0,0.0,56835.13022605171,1803.4198834750239,422.72147111111815,6331.974967777781,90142.8952742524,90142.8952742524,24622.239882030182,19944.01430444445,44566.25418647463,0.0,0.0,0.0,1200.0000000000016,10800.0
2025-02-10,55674.90033468635,54581.75752333601,54581.75752333601,0.0,0.0,0.0,54581.75752333601,1093.1428113503357,298.43640722223427,8249.564563888898,86992.72231155007,86992.72231155007,24815.562920438948,20100.60596555555,44916.1688859945,0.0,0.0,0.0,1200.0,10800.0
