track,question_id,model_version,split,metric,value,status
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,total_cost,15166440.65884618,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,planned_purchase_cost,13782350.11264918,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,fulfilled_normal_purchase_cost,13782350.11264918,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,cancelled_purchase_principal,4.861249180976301e-13,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,downward_penalty,2.4306245904881506e-13,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,upward_adjustment_cost,0.0,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,regular_purchase_cost,13782350.11264918,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,emergency_purchase_cost,1384090.5461970004,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,emergency_energy,353399.9479366668,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,spill_energy,3617227.8693026123,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,planned_grid_energy,22519082.405572794,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,final_grid_energy,22519082.405572794,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,total_charge,6926657.605825514,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,total_discharge,5610592.660718666,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,storage_throughput,12537250.26654418,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,adjust_down_energy,1.1368683772161603e-12,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,adjust_up_energy,0.0,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,adjustment_count,0.0,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,soc_min,1200.0,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,soc_max,10800.0,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,soc_boundary_hits,32394.0,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,solver_runtime_seconds,11.456759699736722,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,failed_updates,0.0,HUMAN_RUN_UNREVIEWED
Q3_A3_0ONLY_INTERP,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,infeasible_updates,0.0,HUMAN_RUN_UNREVIEWED
