month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1323197.255061852,1241084.6029762442,1241084.6029762442,7.291873771464452e-14,3.645936885732226e-14,0.0,1241084.6029762442,82112.65208560774,20595.67457999999,222774.5511577777,2036682.943135262,2036682.943135262,634865.2092499177,514240.81949243334,1149106.028742351,1.7053025658242404e-13,0.0,0.0,1200.0,10800.0
3,1255747.7690432994,1149618.8959520392,1149618.8959520392,9.722498361952602e-14,4.861249180976301e-14,0.0,1149618.8959520392,106128.8730912601,26723.832724444477,306160.95057444443,1928176.7039554594,1928176.7039554594,644325.8879234705,521903.9692180111,1166229.8571414815,2.2737367544323206e-13,0.0,0.0,1200.0,10800.0
4,1079691.380137939,951041.1268579033,951041.1268579033,2.4306245904881506e-14,1.2153122952440753e-14,0.0,951041.1268579033,128650.25328003558,31725.48018999999,338651.4860633333,1633839.378186568,1633839.378186568,574651.4127012346,465467.644288,1040119.0569892345,5.684341886080802e-14,0.0,0.0,1200.0,10800.0
5,1096108.2408474986,959391.4272375129,959391.4272375129,7.291873771464452e-14,3.645936885732226e-14,0.0,959391.4272375129,136716.8136099858,33485.15796888888,358570.5888505555,1616345.459969333,1616345.459969333,549734.5051982441,445284.94921057776,995019.4544088219,1.7053025658242404e-13,0.0,0.0,1200.0,10800.0
6,1494811.6883137417,1360916.7073261342,1360916.7073261342,0.0,0.0,0.0,1360916.7073261342,133894.98098760736,35092.730553333364,359656.90368742775,2194077.503937753,2194077.503937753,629053.4679139917,509533.30901033327,1138586.776924325,0.0,0.0,0.0,1200.0,10800.0
7,1776298.884784097,1512707.2105120337,1512707.2105120337,0.0,0.0,0.0,1512707.2105120337,263591.67427206354,68200.94761388893,413133.0834658848,2408550.56931805,2408550.56931805,625258.7629792318,506459.59801317775,1131718.3609924095,0.0,0.0,0.0,1200.0,10800.0
8,1421533.7716644453,1305521.9299382123,1305521.9299382123,0.0,0.0,0.0,1305521.9299382123,116011.84172623287,28785.981707222247,419669.2207544238,2087053.5060967633,2087053.5060967633,589775.7739450617,477718.37689550006,1067494.1508405618,0.0,0.0,0.0,1200.0,10800.0
9,1280713.5763581288,1171942.3165533508,1171942.3165533508,0.0,0.0,0.0,1171942.3165533508,108771.25980477802,28635.26213888889,423852.3995644444,1898113.45274918,1898113.45274918,602697.0753874965,488184.6310638722,1090881.7064513688,0.0,0.0,0.0,1200.0,10800.0
10,1269040.864750569,1169707.4536424922,1169707.4536424922,9.722498361952602e-14,4.861249180976301e-14,0.0,1169707.4536424922,99333.4111080767,24483.00190388889,358740.73247876536,1932942.8121518542,1932942.8121518542,650270.9914577777,526719.5030808,1176990.4945385777,2.2737367544323206e-13,0.0,0.0,1200.0,10800.0
11,1368831.4712410385,1278025.9991047834,1278025.9991047834,4.861249180976301e-14,2.4306245904881506e-14,0.0,1278025.9991047834,90805.4721362551,22650.36727333329,198897.216696111,2091816.5902243636,2091816.5902243636,671564.9131662414,543967.5796646555,1215532.492830897,1.1368683772161603e-13,0.0,0.0,1200.0,10800.0
12,1800465.7566435714,1682392.4425484736,1682392.4425484736,7.291873771464452e-14,3.645936885732226e-14,0.0,1682392.4425484736,118073.3140950977,33021.51128277783,217120.7360094444,2691483.4858482075,2691483.4858482075,754459.6059028463,611112.2807813055,1365571.8866841518,1.7053025658242404e-13,0.0,0.0,1200.0,10800.0
