month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1520400.7167809415,1240632.0080055946,1240632.0080055946,7.291873771464452e-14,3.645936885732226e-14,0.0,1240632.0080055946,279768.70877534675,65046.15376000002,269055.48975333327,2038971.8149838436,2038971.8149838436,637277.9062658435,516195.10407533334,1153473.010341177,1.7053025658242404e-13,0.0,0.0,1200.0,10800.0
3,1474636.8577310028,1144708.8999515243,1144708.8999515243,9.722498361952602e-14,4.861249180976301e-14,0.0,1144708.8999515243,329927.9577794784,75709.50650333335,356077.5997740329,1932298.9403189572,1932298.9403189572,661121.9981487242,535508.8185004666,1196630.8166491908,2.2737367544323206e-13,0.0,0.0,1200.0,10800.0
4,1383121.3330848922,940263.0934325206,940263.0934325206,2.4306245904881506e-14,1.2153122952440753e-14,0.0,940263.0934325206,442858.2396523717,97613.67558333334,407077.6664033333,1641900.7575957065,1641900.7575957065,603721.9098721398,489014.7469964333,1092736.656868573,5.684341886080802e-14,0.0,0.0,1200.0,10800.0
5,1356154.8281813518,936699.1660271685,936699.1660271685,7.291873771464452e-14,3.645936885732226e-14,0.0,936699.1660271685,419455.6621541834,91299.36335,417354.68829666666,1625734.4988396429,1625734.4988396429,594045.7936472428,481177.09285426664,1075222.8865015095,1.7053025658242404e-13,0.0,0.0,1200.0,10800.0
6,1652424.663607237,1345784.3450192087,1345784.3450192087,0.0,0.0,0.0,1345784.3450192087,306640.31858802837,71469.85403333335,395886.4177042798,2196959.188514674,2196959.188514674,644997.1207564608,522447.6678127333,1167444.7885691943,0.0,0.0,0.0,1200.0,10800.0
7,2005001.4651630067,1493083.0606846667,1493083.0606846667,0.0,0.0,0.0,1493083.0606846667,511918.40447834,118776.80361333334,462744.57714588474,2411583.222866989,2411583.222866989,646295.6886023046,523499.50776786666,1169795.1963701712,0.0,0.0,0.0,1200.0,10800.0
8,1652930.1615591687,1284057.4233801854,1284057.4233801854,0.0,0.0,0.0,1284057.4233801854,368872.7381789834,79434.41940000001,468263.69983604935,2090896.2775938099,2090896.2775938099,620811.1955671605,502857.0684094,1123668.2639765604,0.0,0.0,0.0,1200.0,10800.0
9,1506583.4807548905,1165516.4762186604,1165516.4762186604,0.0,0.0,0.0,1165516.4762186604,341067.0045362301,79396.93081000003,475694.2729660905,1903344.53392733,1903344.53392733,624543.7935328395,505880.4727616,1130424.2662944396,0.0,0.0,0.0,1200.0,10800.0
10,1495421.6823307846,1167956.4621504028,1167956.4621504028,9.722498361952602e-14,4.861249180976301e-14,0.0,1167956.4621504028,327465.22018038185,75590.43602246916,412195.33347053494,1937907.935765909,1937907.935765909,664049.7111465432,537880.2660287,1201929.9771752432,2.2737367544323206e-13,0.0,0.0,1200.0,10800.0
11,1600746.815120629,1277564.4793866104,1277564.4793866104,4.861249180976301e-14,2.4306245904881506e-14,0.0,1277564.4793866104,323182.3357340184,76400.3659266667,255492.95756333324,2095974.4142490036,2095974.4142490036,678470.606907037,549561.1915947,1228031.798501737,1.1368683772161603e-13,0.0,0.0,1200.0,10800.0
12,1992013.56198102,1687259.576223273,1687259.576223273,7.291873771464452e-14,3.645936885732226e-14,0.0,1687259.576223273,304753.9857577468,76989.2576466667,261088.48237333327,2689319.368494529,2689319.368494529,743069.5145676954,601886.3067998333,1344955.8213675288,1.7053025658242404e-13,0.0,0.0,1200.0,10800.0
