template_date,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2025-02-01,26974.604822992304,25467.374007370658,25467.374007370658,2.685368372112862e-13,1.342684186056431e-13,1061.348557344984,26528.72256471564,445.88225827665985,73.94145999999898,10903.15233477099,48127.335771437654,49262.67460898909,21343.616495884766,17288.329361666667,38631.94585755143,4.831690603168681e-13,1135.3388375514317,3.0,1200.0,10800.0
2025-02-02,60444.93582072288,59898.955022395385,59898.955022395385,7.774019650241826e-13,3.887009825120913e-13,298.1635239841845,60197.11854637957,247.8172743433109,71.84152222221701,11740.651233440332,94491.07608,94715.83532722223,24688.14692633745,19997.399010333338,44685.54593667079,1.1368683772161603e-12,224.75924722223328,16.0,1200.0,10800.0
2025-02-03,61436.56051833269,60561.00749516186,60561.00749516186,5.010497261537238e-12,2.505248630768619e-12,1.5713339962530883e-12,60561.007495161866,875.5530231708257,194.92332055555303,11003.826761456776,95690.73162141975,95690.73162141975,24552.16831851852,19887.256338000003,44439.424656518524,6.0822458181064576e-12,1.3642420526593924e-12,0.0,1200.0,10800.0
2025-02-04,63948.998234429055,63052.11919457588,63052.11919457588,3.2017965168051887e-12,1.6008982584025943e-12,345.3923033787523,63397.511497954634,551.4867364744221,200.2224805555508,13209.285224403275,98664.76649333333,98914.65705166665,24793.32004115226,20082.589233333332,44875.909274485595,5.7980287238024175e-12,249.8905583333351,4.0,1200.0,10800.0
2025-02-05,60884.7289484123,58385.5529897946,58385.5529897946,7.371568244707305e-13,3.6857841223536524e-13,1332.1025087707148,59717.65549856532,1167.0734498469803,257.2662361111187,8535.73997777778,92365.06741666666,93724.55456093964,24724.491680384097,20026.838261111116,44751.32994149521,1.2505552149377763e-12,1359.4871442729805,20.0,1200.0,10800.0
2025-02-06,63542.847791841676,63035.47013430644,63035.47013430644,1.498654000897659e-12,7.493270004488295e-13,4.879365178567241e-12,63035.470134306444,507.37765753523115,132.401607777768,13866.985701879277,98622.21268333333,98622.21268333333,24297.739417009605,19681.168927777784,43978.908344787385,1.8758328224066645e-12,4.035882739117369e-12,0.0,1200.0,10800.0
2025-02-07,25691.26208038148,24989.62090899011,24989.62090899011,1.4763088529434754e-13,7.381544264717377e-14,2.009613808695576e-13,24989.62090899011,701.6411713913689,123.32703722221703,12207.055996927294,47942.20557304526,47942.20557304526,21330.50954389574,17277.712730555548,38608.222274451284,1.9895196601282805e-13,1.7053025658242404e-13,0.0,1200.0,10800.0
2025-02-08,23371.678203599793,19509.883713285406,19509.883713285406,2.3925394998514093e-14,1.1962697499257047e-14,1346.6088339815842,20856.49254726699,2515.1856563328033,567.9433733333339,4724.350055,37806.524798909464,39408.55401890946,19342.023353909462,15667.038916666666,35009.06227057613,5.684341886080802e-14,1602.0292200000006,21.0,1200.0,10800.0
2025-02-09,58879.50386590945,56835.13022605171,56835.13022605171,9.248310561815742e-13,4.624155280907871e-13,679.9512163105192,57515.08144236223,1364.42242354722,312.6667216666674,6932.999276750002,90142.8952742524,90712.06828005795,23875.365920919066,19339.04639594445,43214.41231686351,1.2505552149377763e-12,569.1730058055566,21.0,1200.0,10800.0
2025-02-10,57081.62145794354,54581.75752333601,54581.757523336004,3.4659308312257054e-12,1.7329654156128527e-12,1253.9032792902742,55835.660802626284,1245.960655317257,324.5178744444522,9615.68127833333,86992.72231155007,88062.86482196159,23395.07483196159,18950.010613888888,42345.08544585048,4.376943252282217e-12,1070.1425104115206,19.0,1200.0,10800.0
2025-02-11,57411.2464442738,54701.40003660817,54701.40003660817,2.10964117286494e-12,1.05482058643247e-12,1.0821509022207464e-12,54701.40003660817,2709.8464076656305,569.9197833333501,7770.940843313459,86874.84833333333,86874.84833333333,23438.05354396432,18984.823370611102,42422.87691457542,2.7284841053187847e-12,1.1368683772161603e-12,0.0,1200.0,10800.0
2025-02-12,56674.87678845648,54895.57048916922,54895.57048916922,1.7050751921487971e-12,8.525375960743986e-13,1.1995609838777454e-12,54895.57048916922,1779.3062992872576,391.59827166667156,7978.919706543206,87394.65667750342,87394.65667750342,23897.888645404655,19357.28980277777,43255.17844818242,2.1600499167107046e-12,9.094947017729282e-13,0.0,1200.0,10800.0
