track,question_id,model_version,split,metric,value,status
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,total_cost,15149759.130803984,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,planned_purchase_cost,13782350.11264918,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,fulfilled_normal_purchase_cost,13782350.11264918,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,cancelled_purchase_principal,2.3149219376961128e-10,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,downward_penalty,1.1574609688480564e-10,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,upward_adjustment_cost,482409.0149012299,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,regular_purchase_cost,14264759.12755041,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,emergency_purchase_cost,885000.0032535732,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,emergency_energy,228429.17107581138,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,spill_energy,3993639.278587991,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,planned_grid_energy,22519082.405572794,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,final_grid_energy,23014303.704101853,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,total_charge,6894231.881524602,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,total_discharge,5584327.824034927,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,storage_throughput,12478559.70555953,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,adjust_down_energy,3.2182478904019263e-10,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,adjust_up_energy,495221.2985290608,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,adjustment_count,4979.0,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,soc_min,1200.0,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,soc_max,10800.0,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,soc_boundary_hits,26656.0,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,solver_runtime_seconds,33.9907880006067,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,failed_updates,0.0,HUMAN_RUN_UNREVIEWED
Q3_COST_A_SENSITIVITY,Q3,M3-Q3-POINT-MODEL-B-v2.0,formal_output,infeasible_updates,0.0,HUMAN_RUN_UNREVIEWED
