month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1319451.9485020926,1241084.6029762442,1241084.6029762442,3.724496551171796e-11,1.862248275585898e-11,17712.82836197239,1258797.4313382166,60654.51716387584,14643.399595511088,236494.7789059001,2036682.943135262,2054471.7235184584,624950.8810951029,506210.2136870334,1131161.0947821361,5.0327741973887896e-11,17788.78038319654,307.0,1200.0,10800.0
3,1242695.4167534527,1149618.8959520392,1149618.8959520392,2.5212826848530767e-11,1.2606413424265383e-11,36537.60616155946,1186156.5021135986,56538.9146398541,14825.770014889007,332695.3430830929,1928176.7039554594,1965491.5889719515,638443.9394934088,517139.59098966117,1155583.5304830698,3.4711788998720294e-11,37314.88501649222,298.0,1200.0,10800.0
4,1053360.8926623703,951041.1268579033,951041.1268579033,8.300240139647031e-12,4.1501200698235156e-12,39428.18401744736,990469.3108753507,62891.5817870196,15619.177528333314,366469.0683439266,1633839.378186568,1676863.3023635847,569914.7770946913,461630.96944669995,1031545.7465413912,1.02891029030161e-11,43023.924177016845,447.0,1200.0,10800.0
5,1108592.1425721452,959391.4272375129,959391.4272375129,7.12015513215647e-12,3.560077566078235e-12,55812.20240019243,1015203.6296377053,93388.51293443996,22255.726023472173,411187.87422598776,1616345.459969333,1681749.5238315572,557931.065942325,451924.1634132833,1009855.2293556083,1.1763034990508459e-11,65404.063862224335,454.0,1200.0,10800.0
6,1523387.2731831896,1360916.7073261342,1360916.7073261342,1.969345220231844e-11,9.84672610115922e-12,53660.46517441426,1414577.1725005487,108810.10068264093,28911.529125555597,402468.8060865989,2194077.503937753,2244236.136829956,635187.8314153291,514502.1434464166,1149689.9748617457,2.929567699538893e-11,50158.63289220307,520.0,1200.0,10800.0
7,1755795.10356553,1512707.2105120337,1512707.2105120337,1.3634806350637518e-11,6.817403175318759e-12,60861.25341141444,1573568.463923448,182226.63964208195,48272.3004977778,451921.9010783713,2408550.56931805,2466959.6267310204,623635.5665811934,505144.8089307666,1128780.37551196,1.9184653865522705e-11,58409.0574129703,591.0,1200.0,10800.0
8,1418634.0033102564,1305521.9299382123,1305521.9299382123,1.2185596176550462e-11,6.092798088275231e-12,42911.49820807939,1348433.4281462918,70200.57516396468,18054.28732000006,455666.45284570695,2087053.5060967633,2133135.7981989523,586372.4351223458,474961.6724491001,1061334.1075714459,1.871569565992104e-11,46082.29210218927,386.0,1200.0,10800.0
9,1276833.7362385578,1171942.3165533508,1171942.3165533508,2.4162169864894167e-11,1.2081084932447083e-11,45902.648451288165,1217844.9650046388,58988.77123391906,15522.965090000047,461689.90159302915,1898113.45274918,1947890.6829941913,596525.660479801,483185.7849886389,1079711.44546844,3.111466639893479e-11,49777.2302450115,422.0,1200.0,10800.0
10,1259907.159725442,1169707.4536424922,1169707.4536424922,2.722566989632469e-11,1.3612834948162344e-11,31600.22247240276,1201307.676114895,58599.48361054704,14392.204494161095,383027.23274793784,1932942.8121518542,1964230.8353575866,634011.6521253155,513549.43822150567,1147561.0903468211,3.6782132895041286e-11,31288.023205732516,348.0,1200.0,10800.0
11,1380490.2184637329,1278025.9991047834,1278025.9991047832,2.4950010235613716e-11,1.2475005117806858e-11,54966.38142417706,1332992.3805289604,47497.83793477252,12445.229901111179,241672.20275494116,2091816.5902243636,2145495.843209026,675244.5423957681,546948.0793405722,1222192.6217363405,3.47686324175811e-11,53679.252984662395,643.0,1200.0,10800.0
12,1810611.2358272134,1682392.4425484736,1682392.4425484736,3.176230141122005e-11,1.5881150705610026e-11,43015.724818282186,1725408.167366756,85203.06846045755,23486.581485000017,250345.7169224982,2691483.4858482075,2733778.642095569,752013.5297793209,609130.95912125,1361144.488900571,4.487166194167003e-11,42295.15624736182,563.0,1200.0,10800.0
