template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_name,solver_version,solver_status,termination_condition,mip_gap,runtime_seconds,objective,rows,columns,binary_count
2025-01-01,2025-01-01T00:00:00,initial_0000,1,144,NONE,N/A,COLD_START_NO_SOLVE,Q2-COLDSTART-001,,0.0,0.0,0,0,0
2025-01-01,2025-01-01T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.011275800003204495,0.0,655,764,109
2025-01-01,2025-01-01T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008601999987149611,0.0,439,512,73
2025-01-01,2025-01-01T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008002899994608015,0.0,223,260,37
2025-01-01,2025-01-02T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00024599998141638935,0.0,7,8,1
2025-01-02,2025-01-02T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.013210200006142259,63329.33195395027,577,865,144
2025-01-02,2025-01-02T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023224800010211766,48732.81472771236,655,764,109
2025-01-02,2025-01-02T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03494780001346953,33897.69431082543,439,512,73
2025-01-02,2025-01-02T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.007901100005256012,13039.330400418334,223,260,37
2025-01-02,2025-01-03T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002598999999463558,0.0,7,8,1
2025-01-03,2025-01-03T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025139500008663163,61911.86292460476,577,865,144
2025-01-03,2025-01-03T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02241840001079254,47516.36575578179,655,764,109
2025-01-03,2025-01-03T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.044187999999849126,33275.405761588925,439,512,73
2025-01-03,2025-01-03T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008155999996233732,13367.744879396667,223,260,37
2025-01-03,2025-01-04T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0003225000109523535,263.4514866666666,7,8,1
2025-01-04,2025-01-04T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.022752199991373345,25336.611017185187,577,865,144
2025-01-04,2025-01-04T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03905539997504093,13687.65362967147,655,764,109
2025-01-04,2025-01-04T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025861900008749217,12862.315342834314,439,512,73
2025-01-04,2025-01-04T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009033800015458837,4930.090982376666,223,260,37
2025-01-04,2025-01-05T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002361999941058457,208.035952,7,8,1
2025-01-05,2025-01-05T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.022165699978359044,25406.02178837469,577,865,144
2025-01-05,2025-01-05T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025514399982057512,14067.153200259416,655,764,109
2025-01-05,2025-01-05T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01730080001289025,12397.980252959902,439,512,73
2025-01-05,2025-01-05T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00801990000763908,5136.533455366666,223,260,37
