template_date,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2025-02-01,38218.22253074825,38182.67871298706,37359.34213218611,823.3365808009454,411.6682904004727,1.3298498850000022,37772.340272471585,445.8822582766679,73.94146000000018,16040.61291833333,51354.52263166667,50344.84805833333,0.0,0.0,0.0,1010.7458983333336,1.0713250000000016,35.0,6000.0,6000.0
2025-02-02,71743.33189640075,71304.90791506189,69897.11294283383,1407.7949722280566,703.8974861140283,894.5041931095842,71495.51462205744,247.8172743433102,71.8415222222169,10112.864060555547,89772.74274666666,88397.30023833332,0.0,0.0,0.0,2048.061066666666,672.6185583333328,66.0,6000.0,6000.0
2025-02-03,71607.67184550238,71984.73081960072,69249.23368641516,2735.497133185554,1367.748566592777,0.0,70616.98225300794,990.6895924944421,221.5947800000006,7328.018238333328,90844.14266666667,87323.33965833332,0.0,0.0,0.0,3520.8030083333333,0.0,66.0,6000.0,6000.0
2025-02-04,74552.43094474722,74560.60064231443,71953.92833876028,2606.672303554163,1303.3361517770816,576.9391189087502,73834.20360944611,718.2273353011121,241.9157566666673,10069.316274999994,93788.09982666666,91022.26401833333,0.0,0.0,0.0,3234.565058333333,468.72925,66.0,6000.0,6000.0
2025-02-05,72370.08741716517,69783.89394957389,69304.1312878475,479.762661726387,239.8813308631935,1659.0013486074993,71203.01396731818,1167.0734498469712,257.2662361111172,8386.806127777778,87646.73408333333,88877.96729166666,0.0,0.0,0.0,581.2069916666665,1812.440199999999,66.0,6000.0,6000.0
2025-02-06,73146.73170454931,74553.37306922821,70349.28960986099,4204.083459367224,2102.041729683612,55.620128056668,72506.95146760128,639.7802369480357,159.7933038888843,8503.501470555546,93745.54601666666,88614.76626666666,0.0,0.0,0.0,5188.609516666666,57.8297666666665,66.0,6000.0,6000.0
2025-02-07,37995.03764847714,37685.65758818522,36689.78527363933,995.8723145458883,497.9361572729442,105.67504617349964,37293.39647708578,701.6411713913687,123.327037222217,17490.867693888882,50358.106285,49173.22045666666,0.0,0.0,0.0,1257.568695,72.68286666666643,38.0,6000.0,6000.0
2025-02-08,36180.75627535195,33123.00069258794,33045.39410309183,77.60658949611143,38.80329474805571,820.5301198792571,33904.72751771915,2276.0287576328105,508.75499777778396,14299.525645555566,44798.20702833333,45367.93354777778,0.0,0.0,0.0,86.72918333333325,656.455702777783,31.0,6000.0,6000.0
2025-02-09,70905.76714536092,68204.55711164873,66627.66417972094,1576.8929319277768,788.4464659638884,1916.379184306666,69332.48982999151,1573.2773153694186,364.6000772222175,6346.216598888881,85464.66969666666,85537.03272166666,0.0,0.0,0.0,1705.5189666666663,1777.8819916666666,66.0,6000.0,6000.0
2025-02-10,66431.48965934981,65895.0761058941,63874.153446362165,2020.9226595319406,1010.4613297659703,136.05781291833446,65020.672589046466,1410.8170703033409,371.27707166666755,6227.092926666665,82400.83084777776,80182.45305499999,0.0,0.0,0.0,2332.1985094444335,113.82071666666673,62.0,6000.0,6000.0
