month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1633247.953535452,1575611.8460697061,1526282.8598855748,49328.98618413149,24664.493092065746,17317.416210107363,1568264.7691877477,64983.18434770427,15626.12320055559,261073.14694166664,2004874.8297916665,1959326.700541111,0.0,0.0,0.0,59623.98807999998,14075.858829444449,1449.0,6000.0,6000.0
3,1574745.2913402375,1516277.7328157593,1471332.777532885,44944.95528287407,22472.477641437035,23608.96667801973,1517414.221852342,57331.06948789562,14580.993983333423,393829.5536688889,1940860.3161155554,1905566.2270855554,0.0,0.0,0.0,52601.11872277773,17307.029692777764,1428.0,6000.0,6000.0
4,1391252.523476129,1318715.6322589084,1287033.164225191,31682.46803371735,15841.234016858674,27960.67053640933,1330835.068778459,60417.4546976698,14942.757513888851,495189.8627366665,1712502.0159683332,1697976.7091227777,0.0,0.0,0.0,35440.24128777778,20914.93444222222,1259.0,6000.0,6000.0
5,1458402.058637257,1336853.0913032014,1315002.3914323144,21850.69987088711,10925.349935443555,38953.128616501075,1364880.869984259,93521.18865299788,22100.690262777804,568752.3915783333,1728227.497547222,1733462.1744155555,0.0,0.0,0.0,23253.69615500007,28488.373023333384,1202.0,6000.0,6000.0
6,1843354.3145647077,1695430.5208241951,1645400.7653678227,50029.75545637236,25014.87772818618,63523.30883215809,1733938.9519281671,109415.36263654074,29034.269866666717,423001.441985,2152023.7693783334,2143960.344018333,0.0,0.0,0.0,58846.83835499998,50783.412995,1901.0,6000.0,6000.0
7,2076805.2771351307,1872123.4655766212,1829335.1461456693,42788.319430952106,21394.159715476053,56117.43959278665,1906846.7454539319,169958.53168119877,45143.154554444496,505628.61458222225,2412152.772762222,2405304.728527778,0.0,0.0,0.0,49762.44234277777,42914.3981083333,1683.0,6000.0,6000.0
8,1766142.2653416889,1690203.9853812198,1648039.605241686,42164.38013953382,21082.19006976691,28668.593552229933,1697790.3888636827,68351.876478006,17419.67084444455,587210.6381677778,2182197.9830744443,2153903.837323333,0.0,0.0,0.0,48900.77419388888,20606.628442777797,1294.0,6000.0,6000.0
9,1618022.4920112507,1547144.8132262174,1514897.010419645,32247.802806572236,16123.901403286118,29665.35404603587,1560686.2658689672,57336.226142283485,14932.46669500004,576987.5607616666,1964337.263881111,1950438.9650666665,0.0,0.0,0.0,35944.612994999996,22046.314180555582,1281.0,6000.0,6000.0
10,1619350.1700355287,1559402.4163116722,1513099.680446255,46302.73586541705,23151.367932708526,23750.86140970685,1560001.9097886705,59348.26024685829,14388.86056333332,489123.34160888876,1984880.0930872222,1949868.0742455556,0.0,0.0,0.0,52322.63300777778,17310.614166111114,1231.0,6000.0,6000.0
11,1719289.2151734151,1635665.248201151,1612202.9809651668,23462.267235984007,11731.133617992004,47387.717602411896,1671321.8321855708,47967.38298784422,12377.479128333405,296036.5781016666,2062737.5777377777,2071631.5062733332,0.0,0.0,0.0,27805.1295677778,36699.058103333315,1545.0,6000.0,6000.0
12,2161870.393296286,2040430.359195289,2011094.8957461286,29335.463449160434,14667.731724580217,44709.88342539059,2070472.5108960995,91397.88240018673,25293.24452277779,242936.36054944436,2579674.008867222,2581680.0520266667,0.0,0.0,0.0,37605.94588722222,39611.98904666666,1732.0,6000.0,6000.0
