month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1300775.0783390887,1241084.6029762442,1196516.7082092327,44567.89476701151,22283.947383505754,14335.485052517604,1233136.140645256,67638.93769383263,16650.583876111144,170621.9880104833,2036682.943135262,1986937.7345194514,626771.8609741015,507685.2073890223,1134457.0683631238,63957.75576297165,14212.547147160978,876.0,1200.0,10800.0
3,1219783.801774065,1149618.8959520392,1099386.1642923148,50232.73165972455,25116.365829862276,27167.948388233955,1151670.478510411,68113.32326365405,17768.530266666792,249752.4880153959,1928176.7039554594,1879214.2561486685,636382.2684207339,515469.63742079446,1151851.9058415284,77608.26671653692,28645.8189097461,815.0,1200.0,10800.0
4,1039776.4899508068,951041.1268579033,923411.6941556055,27629.43270229786,13814.71635114893,36394.39344828698,973620.8039550415,66155.6859957654,16503.702783888868,320896.7316418332,1633839.378186568,1629711.171620208,566255.4676961248,458666.9288338612,1024922.396529986,43821.53273957703,39693.32617321722,718.0,1200.0,10800.0
5,1101942.5988276761,959391.4272375129,941923.088809569,17468.33842794385,8734.169213971925,56196.93901635252,1006854.1970398935,95088.4017877826,22681.404457222256,385019.53435500007,1616345.459969333,1654197.0917385141,552886.7828459807,447838.29410524445,1000725.0769512252,27939.444774977517,65791.0765441586,689.0,1200.0,10800.0
6,1504684.1909974066,1360916.7073261342,1325291.8508468806,35624.85647925365,17812.428239626825,50640.7138436793,1393744.9929301867,110939.1980672198,29507.237324444468,348551.2911736588,2194077.503937753,2190374.968232233,638619.6972790465,517281.95479602774,1155901.6520750744,50381.087499568814,46678.551794049155,967.0,1200.0,10800.0
7,1736417.601583133,1512707.2105120337,1476687.8553905657,36019.35512146793,18009.677560733966,56959.01887396764,1551656.5518252673,184761.0497578656,48919.49521000004,397255.1277050309,2408550.56931805,2411846.7708697906,624694.051972421,506002.1820976611,1130696.2340700822,51354.31026297829,54650.511814719175,976.0,1200.0,10800.0
8,1396498.0186936914,1305521.9299382123,1266071.170705719,39450.75923249354,19725.37961624677,37341.84964899085,1323138.3999709564,73359.61872273478,18722.43830166675,393015.7835868722,2087053.5060967633,2068993.0648947018,582036.0505762964,471449.2009668001,1053485.2515430965,58711.14569563636,40650.70449357483,800.0,1200.0,10800.0
9,1255561.224471305,1171942.3165533508,1133023.7500004575,38918.56655289309,19459.283276446546,41876.60839297788,1194359.641669882,61201.58280142293,16197.235293888929,397680.7356733333,1898113.45274918,1883300.8678869763,597018.4026712207,483584.90616368887,1080603.3088349097,60723.18437227684,45910.5995100733,819.0,1200.0,10800.0
10,1237000.7126127968,1169707.4536424922,1116820.0344571816,52887.41918531053,26443.709592655265,26401.781935971023,1169665.5259858079,67335.18662698889,17120.109327222155,297422.0929961109,1932942.8121518542,1876509.0827080712,637228.9781009603,516155.47226177785,1153384.450362738,82778.79158723175,26345.062143448664,830.0,1200.0,10800.0
11,1369005.883449225,1278025.9991047834,1258019.0490349482,20006.950069835024,10003.475034917512,51902.53018599251,1319925.0542558583,49080.82919336671,12834.508826111187,208045.5891383277,2091816.5902243636,2111175.765010372,673643.5652534498,545651.2878552945,1219294.8531087444,31427.443773660976,50786.618559669376,929.0,1200.0,10800.0
12,1805058.9139536966,1682392.4425484736,1658523.7527426977,23868.689805775968,11934.344902887984,42774.890935237614,1713232.9885808234,91825.92537287316,25449.644983888928,217641.16216888878,2691483.4858482075,2699361.419415301,753331.4012121124,610198.4349818112,1363529.8361939236,34139.00859089915,42016.942157992955,1024.0,1200.0,10800.0
