template_date,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2025-02-01,25849.59604918525,25467.374007370658,24529.135910556477,938.2380968141816,469.1190484070908,0.0,24998.254958963567,851.3410902216807,168.86182111111663,8665.271691111117,48127.335771437654,46747.54476966811,20383.991050884768,16511.032751216662,36895.02380210143,1379.791001769553,0.0,19.0,1200.0,10800.0
2025-02-02,60303.88785542747,59898.955022395385,59719.835433621265,179.11958877411703,89.55979438705852,246.6753530758335,60056.07058108416,247.8172743433102,71.8415222222169,11500.526252222211,94491.07608,94477.142886893,24695.686615226336,20003.506158333334,44699.19277355967,209.2436181069981,195.3104250000006,19.0,1200.0,10800.0
2025-02-03,60775.45298777496,60561.00749516186,59395.42306501639,1165.5844301454747,582.7922150727373,1.4716761143063195e-12,59978.21528008913,797.2377076858368,180.82059500000074,9467.54789499999,95690.73162141975,94221.97683333333,24833.333333333336,20114.999999999996,44948.33333333333,1468.7547880864201,2.1600499167107046e-12,24.0,1200.0,10800.0
2025-02-04,62634.15199717613,63052.11919457588,60779.73012917416,2272.3890654017155,1136.1945327008577,1.5521663954132236e-13,61915.92466187502,718.2273353011121,241.9157566666673,10081.286108333326,98664.76649333333,95808.68002339505,25128.664061728392,20354.217890000004,45482.88195172839,2856.0864699382737,2.2737367544323206e-13,25.0,1200.0,10800.0
2025-02-05,59623.626315826594,58385.5529897946,57914.85177051251,470.70121928209255,235.35060964104628,1.591388354427181e-13,58150.20238015356,1473.4239356730357,377.3902138888846,6694.489905555547,92365.06741666666,91770.13103164609,24761.073368312755,20056.469428333334,44817.542796646085,594.9363850205785,1.1368683772161603e-13,24.0,1200.0,10800.0
2025-02-06,62007.415740998666,63035.47013430644,59699.800873794826,3335.669260511617,1667.8346302558084,0.0,61367.63550405063,639.7802369480362,159.79330388888454,9686.07080388888,98622.21268333333,94519.23559495884,24852.10523662551,20130.205241666667,44982.31047829218,4102.977088374487,0.0,25.0,1200.0000000000002,10800.0
2025-02-07,24892.61967136,24989.62090899011,23392.336090947152,1597.2848180429576,798.6424090214788,0.0,24190.97849996863,701.6411713913685,123.32703722221697,9516.621323888883,47942.20557304526,45231.16724201646,21222.069238683125,17189.876083333333,38411.94532201646,2711.0383310288066,0.0,21.0,1200.000000000002,10800.0
2025-02-08,24287.014188985915,19509.883713285406,19509.883713285406,4.387175067677163e-14,2.1935875338385814e-14,1385.6041571807436,20895.48787046615,3391.526318519766,943.6699127777828,5154.787158333332,37806.524798909464,39463.26458279834,19342.023353909462,15667.038916666666,35009.06227057613,1.1368683772161603e-13,1656.7397838888808,21.0,1200.000000000001,10800.0
2025-02-09,59606.33204119728,56835.13022605171,56835.13022605171,1.1532051757967566e-12,5.766025878983783e-13,1406.77939159835,58241.90961765006,1364.4224235472184,312.6667216666668,7349.428218333329,90142.8952742524,91310.51103,24833.333333333332,20115.0,44948.33333333333,2.7284841053187847e-12,1167.6157557475976,24.0,1200.0,10800.0
2025-02-10,55584.2473684219,54581.75752333601,54231.87855961773,349.878963718272,174.939481859136,98.60962030583566,54505.427661782705,1078.8197066391945,295.53746277778424,7926.874161111115,86992.72231155007,86640.05766374485,24642.546133744854,19960.462368333334,44603.00850207819,431.47206447187864,78.80741666666756,20.0,1200.0,10800.0
2025-02-11,56374.94120348593,54701.40003660817,51430.34748524139,3271.0525513667753,1635.5262756833877,0.0,53065.87376092478,3309.0674425611464,744.4782194444507,3801.6723027777803,86874.84833333333,82682.98666930727,23185.239399862818,18780.043913888883,41965.2833137517,4191.861664026063,0.0,24.0,1200.0000000000005,10800.0
