month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1311881.8076650475,1241084.6029762442,1215507.4888785167,25577.114097727645,12788.557048863822,13142.024866934358,1241438.0707943148,70443.73687073261,17809.26223722224,200389.73067499994,2036682.943135262,2015931.2157969088,628795.1082059533,509324.0376468222,1138119.1458527755,33944.599916803854,13192.872578450599,557.0,1200.0,10800.0
3,1234412.9891402067,1149618.8959520392,1120296.9294428031,29321.966509236005,14660.983254618002,13003.662931481027,1147961.5756289023,86451.4135113044,22354.864173333393,274689.38462918706,1928176.7039554594,1899339.73672096,635197.625605823,514510.07674071664,1149707.7023465396,41181.87559528807,12344.908360788766,553.0,1200.0,10800.0
4,1047604.0775489302,951041.1268579033,934535.1320471813,16505.994810722146,8252.997405361073,26769.407073759667,969557.536526302,78046.54102262823,20163.152932222147,328611.8543233332,1633839.378186568,1634744.1302862747,571399.0789219136,462833.25392675,1034232.3328486636,23743.325893319612,24648.077993026396,527.0,1200.0,10800.0
5,1102888.5013439914,959391.4272375129,948647.7797214038,10743.647516109086,5371.823758054543,29790.63826036325,983810.2417398216,119078.25960416978,29254.70850555556,368616.19855601666,1616345.459969333,1630812.0934512003,550737.5278986281,446097.3975978889,996834.9254965171,14380.500508470395,28847.13399033778,524.0,1200.0,10800.0
6,1502967.9067770059,1360916.7073261342,1338949.0674918718,21967.639834262518,10983.819917131259,33066.24290489727,1382999.1303139003,119968.77646310566,31955.115273888918,356432.99805964995,2194077.503937753,2194528.0709162196,631879.032791886,511822.01656142774,1143701.0493533139,28039.72664004801,28490.293618514606,680.0,1200.0,10800.0
7,1744995.9079031304,1512707.2105120337,1490401.639030478,22305.57148155567,11152.785740777836,36553.15014583641,1538107.5749170922,206888.33298603815,55590.465790555594,403226.40991398477,2408550.56931805,2411180.245261489,624868.5928318929,506143.5601938333,1131012.1530257263,28910.884498683172,31540.56044212209,685.0,1200.0,10800.0
8,1404412.9344591459,1305521.9299382123,1275812.7434958145,29709.186442397822,14854.593221198911,21875.922473182804,1312543.2591901962,91869.67526894959,23471.21677444448,395148.04866068496,2087053.5060967633,2067091.408205641,585798.4543126337,474496.7479932334,1060295.202305867,38797.651464339164,18835.553573216734,633.0,1200.0,10800.0
9,1262018.402437378,1171942.3165533508,1147683.1354351707,24259.181118179993,12129.590559089997,20688.955144748463,1180501.681139009,81516.7212983689,22598.80891611108,405084.35249740543,1898113.45274918,1884239.1904412045,596683.0308416323,483313.2549817222,1079996.2858233545,34535.548727976675,20661.286420001354,570.0,1200.0,10800.0
10,1242650.1714585167,1169707.4536424922,1139929.9578944317,29777.495748060657,14888.747874030329,15411.58731252032,1170230.2930809823,72419.87837753443,18343.149481111104,326119.8789513265,1932942.8121518542,1904860.5142091196,641843.1133626542,519892.92182375,1161736.0351864041,42783.72951869003,14701.431575955432,573.0,1200.0,10800.0
11,1356535.5335735176,1278025.9991047834,1265721.6429780852,12304.356126698116,6152.178063349058,20873.9457883611,1292747.7668297954,63787.76674372214,16407.577857222255,194887.8962466666,2091816.5902243636,2094248.9561904736,672611.7394791014,544815.5089780722,1217427.2484571736,17001.37695395544,19433.742920065488,582.0,1200.0,10800.0
12,1800600.5786485479,1682392.4425484736,1670693.242979661,11699.1995688127,5849.59978440635,21463.64976034926,1698006.4925244167,102594.08612413116,29482.60636666669,217113.54661833326,2691483.4858482075,2695333.7027624287,756135.9290040123,612470.1024932499,1368606.0314972622,14922.562842030173,18772.779756251733,515.0,1200.0,10800.0
