template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_name,solver_version,solver_status,termination_condition,mip_gap,runtime_seconds,objective,rows,columns,binary_count
2025-01-01,2025-01-01T00:00:00,initial_0000,1,144,NONE,N/A,COLD_START_NO_SOLVE,Q2-COLDSTART-001,,0.0,0.0,0,0,0
2025-01-01,2025-01-01T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.010586699994746596,0.0,439,512,73
2025-01-01,2025-01-02T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002738999901339412,0.0,7,8,1
2025-01-02,2025-01-02T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01356099999975413,63329.33195395027,577,865,144
2025-01-02,2025-01-02T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03633639999316074,33865.797041371785,439,512,73
2025-01-02,2025-01-03T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00027129999944008887,0.0,7,8,1
2025-01-03,2025-01-03T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.025705200008815154,61911.86292460476,577,865,144
2025-01-03,2025-01-03T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.024014800001168624,33782.38414647538,439,512,73
2025-01-03,2025-01-04T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00026030000299215317,263.4514866666666,7,8,1
2025-01-04,2025-01-04T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023811599996406585,25336.611017185187,577,865,144
2025-01-04,2025-01-04T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023552099999506027,12060.773706270547,439,512,73
2025-01-04,2025-01-05T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00026840000646188855,208.035952,7,8,1
2025-01-05,2025-01-05T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02233680000063032,25406.02178837469,577,865,144
2025-01-05,2025-01-05T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02856550001888536,12310.11588033115,439,512,73
2025-01-05,2025-01-06T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002738999901339412,196.94828399999994,7,8,1
2025-01-06,2025-01-06T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,1.178862146492648e-16,0.013447400007862598,61720.1734386914,577,865,144
2025-01-06,2025-01-06T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.029776300012599677,33067.08079807294,439,512,73
2025-01-06,2025-01-07T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002632999967318028,256.23929999999996,7,8,1
2025-01-07,2025-01-07T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.012212400004500523,59583.14917157077,577,865,144
2025-01-07,2025-01-07T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.024054599984083325,35020.8661262776,439,512,73
2025-01-07,2025-01-08T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002578999847173691,260.0884126666666,7,8,1
2025-01-08,2025-01-08T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.024298800010001287,65716.93197907864,577,865,144
2025-01-08,2025-01-08T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03349919998436235,34884.730441558546,439,512,73
2025-01-08,2025-01-09T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002682000049389899,263.4514866666666,7,8,1
2025-01-09,2025-01-09T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.012994999997317791,65824.71344211372,577,865,144
2025-01-09,2025-01-09T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01645749999443069,38052.81096096984,439,512,73
2025-01-09,2025-01-10T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00026970001636072993,208.035952,7,8,1
2025-01-10,2025-01-10T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.020956499996827915,33268.624394835395,577,865,144
2025-01-10,2025-01-10T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.028700700000626966,15030.173517041752,439,512,73
2025-01-10,2025-01-11T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002710000262595713,196.94828399999994,7,8,1
2025-01-11,2025-01-11T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.020009800005936995,29470.094320419383,577,865,144
2025-01-11,2025-01-11T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.034787299984600395,14806.60160112715,439,512,73
