month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1528535.3080049984,1240632.0080055946,1195290.5265373266,45341.481468268044,22670.740734134022,14603.52406716083,1232564.7913386214,295970.5166663769,68393.16519000006,223503.76317330005,2038971.8149838436,1988400.9170679336,628477.0646559669,509066.4223713333,1137543.4870273003,64668.84030792027,14097.942392010425,868.0,1200.0,10800.0
3,1506670.5564009892,1144708.8999515243,1094805.7549780176,49903.14497350658,24951.57248675329,26933.265831887944,1146690.593296659,359979.9631043301,81822.07243000003,313021.8537451666,1932298.9403189572,1881957.110279304,654945.5871796707,530505.9256155334,1185451.512795204,77842.0122549599,27500.182215306682,787.0,1200.0,10800.0
4,1332969.7321457828,940263.0934325206,909095.6209359891,31167.472496531547,15583.736248265774,39958.763870796225,964638.121055051,368331.6110907317,79353.73721333334,384514.7712799999,1641900.7575957065,1635735.7473164722,593921.6281568723,481076.5188070667,1074998.146963939,47145.52923384747,40980.51895461326,752.0,1200.0,10800.0
5,1348295.5342128787,936699.1660271685,917457.2269112921,19241.939115876357,9620.969557938179,59212.94202030177,986291.138489532,362004.3957233467,76202.81865000002,437039.4996396687,1625734.4988396429,1659938.0868140163,591004.9090755143,478713.97635116667,1069718.885426681,28211.810561259794,62415.39853563339,671.0,1200.0,10800.0
6,1654080.8477844917,1345784.3450192087,1307714.5625047819,38069.78251442682,19034.89125721341,53434.147161763,1380183.6009237582,273897.2468607334,63083.53787333335,380927.59709055966,2196959.188514674,2191015.0095075686,648304.0967912757,525126.3184009334,1173430.415192209,53843.84624866968,47899.667241564304,939.0,1200.0,10800.0
7,1951671.3622030073,1493083.0606846667,1453761.7224970888,39321.3381875778,19660.6690937889,59640.52575181292,1533062.9173426908,418608.44486031664,96031.80875666667,441469.6157209366,2411583.222866989,2412282.6075728834,642239.6426769136,520214.11056830006,1162453.7532452138,54680.57780130871,55379.96250720293,981.0,1200.0,10800.0
8,1679568.4645213112,1284057.4233801854,1239572.2085144543,44485.21486573096,22242.60743286548,42163.48507831969,1303978.3010256395,375590.1634956717,80713.03998,450655.35241672833,2090896.2775938099,2070023.7301001386,610360.7771758436,494392.22951243335,1104753.006688277,63833.022248225614,42960.474754554416,807.0,1200.0,10800.0
9,1500567.6620604845,1165516.4762186604,1124930.7625782995,40585.713640360795,20292.856820180397,44258.71358091109,1189482.332979391,311085.3290810934,70726.97090000001,451231.2958583728,1903344.53392733,1886240.8683435107,617645.6441323045,500292.97174716665,1117938.6158794712,63918.478263000114,46814.81267918076,810.0,1200.0,10800.0
10,1526339.6471852658,1167956.4621504028,1114548.0286463785,53408.43350402419,26704.216752012097,27665.485533513292,1168917.730931904,357421.91625336173,82603.6037766667,364695.8248842382,1937907.935765909,1881469.3791153352,653913.4989882304,529669.9341804667,1183583.4331686972,83019.24310713931,26580.686456565567,787.0,1200.0,10800.0
11,1595776.5383042153,1277564.4793866104,1255836.0922903474,21728.387096263137,10864.193548131569,51624.73561077952,1318325.0214492586,277451.51685495675,65325.159256666695,260040.18319733322,2095974.4142490036,2111273.0683012283,676766.5108450616,548180.8737845,1224947.3846295618,34256.300585036,49554.95463726057,909.0,1200.0,10800.0
12,1984600.220954922,1687259.576223273,1662579.4845257387,24680.091697534506,12340.045848767253,43733.34939331942,1718652.8797678254,265947.3411870968,66120.99085000005,257804.91407666658,2689319.368494529,2696527.698100323,741088.625650823,600281.7867771668,1341370.4124279898,35871.63680171015,43079.9664075043,1002.0,1200.0,10800.0
