template_date,decision_time,plan_version,start_slot,remaining_intervals,solver_name,solver_version,solver_status,termination_condition,mip_gap,runtime_seconds,objective,rows,columns,binary_count
2025-01-01,2025-01-01T00:00:00,initial_0000,1,144,NONE,N/A,COLD_START_NO_SOLVE,Q2-COLDSTART-001,,0.0,0.0,0,0,0
2025-01-01,2025-01-01T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.012543699995148927,0.0,655,764,109
2025-01-01,2025-01-01T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009649000014178455,0.0,439,512,73
2025-01-01,2025-01-01T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.006822499999543652,0.0,223,260,37
2025-01-01,2025-01-02T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002401999954599887,0.0,7,8,1
2025-01-02,2025-01-02T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.02243730000918731,63414.60270008926,577,865,144
2025-01-02,2025-01-02T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03003789999638684,47795.853658312124,655,764,109
2025-01-02,2025-01-02T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.029363600013311952,31835.521141275643,439,512,73
2025-01-02,2025-01-02T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009047800005646423,13039.330400418332,223,260,37
2025-01-02,2025-01-03T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002906000008806586,0.0,7,8,1
2025-01-03,2025-01-03T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.014676599996164441,62180.23161181722,577,865,144
2025-01-03,2025-01-03T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.047864099993603304,47491.653440601614,655,764,109
2025-01-03,2025-01-03T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.029228600003989413,31237.093939514783,439,512,73
2025-01-03,2025-01-03T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.015788399992743507,13367.744879396665,223,260,37
2025-01-03,2025-01-04T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00023599999258294702,263.4514866666666,7,8,1
2025-01-04,2025-01-04T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.022870299988426268,25363.373207438333,577,865,144
2025-01-04,2025-01-04T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.05939489998854697,13883.881452180834,655,764,109
2025-01-04,2025-01-04T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0423667999857571,11775.819580506291,439,512,73
2025-01-04,2025-01-04T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00918140000430867,4930.090982376667,223,260,37
2025-01-04,2025-01-05T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00023070001043379307,208.035952,7,8,1
2025-01-05,2025-01-05T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.021008100011385977,25322.40739792333,577,865,144
2025-01-05,2025-01-05T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.022557099990081042,14116.636609026662,655,764,109
2025-01-05,2025-01-05T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01731999998446554,11016.915483623332,439,512,73
2025-01-05,2025-01-05T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.009355500020319596,5136.533455366665,223,260,37
2025-01-05,2025-01-06T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00023030000738799572,196.94828399999994,7,8,1
2025-01-06,2025-01-06T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.018116599996574223,61784.57161263296,577,865,144
2025-01-06,2025-01-06T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.024542300001485273,47008.24825556657,655,764,109
2025-01-06,2025-01-06T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03372399997897446,31197.93575918492,439,512,73
2025-01-06,2025-01-06T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.008899299980839714,13109.672986908332,223,260,37
2025-01-06,2025-01-07T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00023020000662654638,256.23929999999996,7,8,1
2025-01-07,2025-01-07T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,2.4376001788279277e-16,0.017126600025221705,59697.71152283002,577,865,144
2025-01-07,2025-01-07T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.04410910001024604,49626.68954474409,655,764,109
2025-01-07,2025-01-07T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03512919999775477,33910.47456060798,439,512,73
2025-01-07,2025-01-07T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.015877300000283867,13095.938727391667,223,260,37
2025-01-07,2025-01-08T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00025189999723806977,260.0884126666666,7,8,1
2025-01-08,2025-01-08T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,2.210391129242845e-16,0.014428900001803413,65834.11883919167,577,865,144
2025-01-08,2025-01-08T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.03447810001671314,48562.01118875999,655,764,109
2025-01-08,2025-01-08T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023614799982169643,32666.70249190009,439,512,73
2025-01-08,2025-01-08T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.016679400025168434,13302.781887084999,223,260,37
2025-01-08,2025-01-09T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00026909998268820345,263.4514866666666,7,8,1
2025-01-09,2025-01-09T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.013684800011105835,66147.59384708041,577,865,144
2025-01-09,2025-01-09T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.047582600003806874,51598.553648606925,655,764,109
2025-01-09,2025-01-09T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,2.0574021382233722e-16,0.023867799987783656,35364.781045996344,439,512,73
2025-01-09,2025-01-09T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.01596010001958348,14362.961551983,223,260,37
2025-01-09,2025-01-10T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.0002722000062931329,208.035952,7,8,1
2025-01-10,2025-01-10T00:00:00,initial_0000,1,144,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.022348900005454198,33340.417263792726,577,865,144
2025-01-10,2025-01-10T06:00:00,update_0600,36,109,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.023473400011425838,17974.398858514065,655,764,109
2025-01-10,2025-01-10T12:00:00,update_1200,72,73,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.028362699988065287,13419.001996685083,439,512,73
2025-01-10,2025-01-10T18:00:00,update_1800,108,37,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.016317300003720447,5507.290417221667,223,260,37
2025-01-10,2025-01-11T00:00:00,update_nextday_0000_slot144,144,1,HiGHS,1.15.1,OPTIMAL,Optimal,0.0,0.00023990002227947116,196.94828399999994,7,8,1
