metric,value
realized_total_cost,16023740.93621176
regular_purchase_cost,14408715.923599154
emergency_purchase_cost,1615025.0126126069
grid_purchase_energy,22348358.879910536
emergency_energy,398641.72002666706
spill_energy,3500463.3695490896
charge,6880777.322569006
discharge,5573429.631280897
storage_throughput,12454206.953849917
soc_min,1199.999999999994
soc_max,10800.000000000002
soc_boundary_hits,17721.0
days,334.0
price_sample_count,48096.0
price_MAE,0.08975288520128709
price_RMSE,0.11663271600971029
price_bias,-0.000525598136845382
price_P90_absolute_error,0.19644912792495467
price_rank_correlation,0.9118223892331853
price_peak10_recall,0.7230769230769231
price_offpeak10_recall,0.3152760481527605
price_negative_prediction_count,0.0
price_nonfinite_prediction_count,0.0
solver_days,334
optimal_count,334
infeasible_count,0
failure_count,0
reference_only_count,0
runtime_seconds,8.217704100021365
level_bound_hit_count,0
