period,baseline,template_date,template_slot,interval_start,interval_end,decision_time,level_bound_hit_count,load_actual_kwh,pv_actual_kwh,price_actual,price_pred,grid_plan_kwh,grid_emergency_kwh,charge_bus_kwh,discharge_bus_kwh,spill_kwh,soc_before_kwh,soc_after_kwh,regular_purchase_cost,emergency_purchase_cost,realized_total_cost
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,1,2025-02-01 00:10:00,2025-02-01 00:20:00,2025-02-01 00:00:00,0,422.0304,0.0,0.3281,0.3381,1302.8465933333334,0.0,833.3333333333336,0.0,47.482859999999846,1200.0,1950.0000000000002,427.4639672726667,0.0,427.4639672726667
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,2,2025-02-01 00:20:00,2025-02-01 00:30:00,2025-02-01 00:00:00,0,415.4073,0.0,0.3257,0.3528,1295.1084299999998,0.0,833.3333333333333,0.0,46.367796666666436,1950.0000000000002,2700.0,421.8168156509999,0.0,421.8168156509999
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,3,2025-02-01 00:30:00,2025-02-01 00:40:00,2025-02-01 00:00:00,0,410.7167,0.0,0.3041,0.3008,1291.0883333333331,0.0,833.3333333333333,0.0,47.038299999999936,2700.0,3450.0,392.6199621666666,0.0,392.6199621666666
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,4,2025-02-01 00:40:00,2025-02-01 00:50:00,2025-02-01 00:00:00,0,430.2948,0.0,0.3126,0.3039,1328.2761166666664,0.0,833.3333333333333,0.0,64.64798333333329,3450.0,4200.0,415.21911406999993,0.0,415.21911406999993
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,5,2025-02-01 00:50:00,2025-02-01 01:00:00,2025-02-01 00:00:00,0,424.4106,0.0,0.3286,0.3343,1344.90592,0.0,833.3333333333333,0.0,87.16198666666673,4200.0,4950.0,441.936085312,0.0,441.936085312
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,6,2025-02-01 01:00:00,2025-02-01 01:10:00,2025-02-01 00:00:00,0,406.0517,0.0,0.3438,0.3558,1338.0116666666665,0.0,833.3333333333333,0.0,98.6266333333333,4950.0,5700.0,460.00841099999997,0.0,460.00841099999997
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,7,2025-02-01 01:10:00,2025-02-01 01:20:00,2025-02-01 00:00:00,0,436.7502,0.0,0.3704,0.3641,1179.81892,0.0,666.6666666666666,0.0,76.40205333333324,5700.0,6300.0,437.004927968,0.0,437.004927968
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,8,2025-02-01 01:20:00,2025-02-01 01:30:00,2025-02-01 00:00:00,0,451.7977,0.0,0.3746,0.3577,1339.6870166666665,0.0,833.3333333333333,0.0,54.55598333333319,6300.0,7050.0,501.8467564433333,0.0,501.8467564433333
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,9,2025-02-01 01:30:00,2025-02-01 01:40:00,2025-02-01 00:00:00,0,446.08,0.0,0.3606,0.3605,1330.991,0.0,833.3333333333333,0.0,51.5776666666668,7050.0,7800.0,479.95535459999996,0.0,479.95535459999996
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,10,2025-02-01 01:40:00,2025-02-01 01:50:00,2025-02-01 00:00:00,0,471.7663,0.0,0.3582,0.393,524.5926333333333,0.0,0.0,0.0,52.82633333333331,7800.0,7800.0,187.90908126,0.0,187.90908126
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,11,2025-02-01 01:50:00,2025-02-01 02:00:00,2025-02-01 00:00:00,0,448.026,0.0,0.3041,0.3685,522.2951733333333,0.0,0.0,0.0,74.2691733333333,7800.0,7800.0,158.82996221066665,0.0,158.82996221066665
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,12,2025-02-01 02:00:00,2025-02-01 02:10:00,2025-02-01 00:00:00,0,397.4033,0.0,0.2537,0.3052,1361.9686666666666,0.0,833.3333333333333,0.0,131.23203333333345,7800.0,8550.0,345.5314507333333,0.0,345.5314507333333
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,13,2025-02-01 02:10:00,2025-02-01 02:20:00,2025-02-01 00:00:00,0,434.0906,0.0,0.3346,0.3159,1355.35709,0.0,833.3333333333333,0.0,87.93315666666672,8550.0,9300.0,453.502482314,0.0,453.502482314
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,14,2025-02-01 02:20:00,2025-02-01 02:30:00,2025-02-01 00:00:00,0,490.5609,0.0,0.3971,0.3649,545.17553,0.0,0.0,0.0,54.61462999999998,9300.0,9300.0,216.489202963,0.0,216.489202963
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,15,2025-02-01 02:30:00,2025-02-01 02:40:00,2025-02-01 00:00:00,0,503.22,0.0,0.367,0.3905,535.4833333333333,0.0,0.0,0.0,32.26333333333332,9300.0,9300.0,196.52238333333332,0.0,196.52238333333332
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,16,2025-02-01 02:40:00,2025-02-01 02:50:00,2025-02-01 00:00:00,0,474.0728,0.0,0.3185,0.37,514.46477,0.0,0.0,0.0,40.39197000000007,9300.0,9300.0,163.857029245,0.0,163.857029245
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,17,2025-02-01 02:50:00,2025-02-01 03:00:00,2025-02-01 00:00:00,0,461.3844,0.0,0.3285,0.3817,530.20038,0.0,0.0,0.0,68.81597999999997,9300.0,9300.0,174.17082483000002,0.0,174.17082483000002
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,18,2025-02-01 03:00:00,2025-02-01 03:10:00,2025-02-01 00:00:00,0,476.9417,0.0,0.3772,0.4212,541.3283333333334,0.0,0.0,0.0,64.38663333333335,9300.0,9300.0,204.18904733333335,0.0,204.18904733333335
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,19,2025-02-01 03:10:00,2025-02-01 03:20:00,2025-02-01 00:00:00,0,483.3995,0.0,0.3815,0.4101,545.0774466666666,0.0,0.0,0.0,61.67794666666657,9300.0,9300.0,207.9470459033333,0.0,207.9470459033333
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,20,2025-02-01 03:20:00,2025-02-01 03:30:00,2025-02-01 00:00:00,0,486.6019,0.0,0.3822,0.402,540.0665066666666,0.0,0.0,0.0,53.464606666666555,9300.0,9300.0,206.41341884799994,0.0,206.41341884799994
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,21,2025-02-01 03:30:00,2025-02-01 03:40:00,2025-02-01 00:00:00,0,498.8483,0.0,0.3962,0.4175,538.8696666666666,0.0,0.0,0.0,40.02136666666661,9300.0,9300.0,213.50016193333332,0.0,213.50016193333332
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,22,2025-02-01 03:40:00,2025-02-01 03:50:00,2025-02-01 00:00:00,0,518.3097,0.0,0.3879,0.4191,526.20491,0.0,0.0,0.0,7.89521000000002,9300.0,9300.0,204.11488458900004,0.0,204.11488458900004
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,23,2025-02-01 03:50:00,2025-02-01 04:00:00,2025-02-01 00:00:00,0,509.1335,0.0,0.3405,0.4048,543.1417566666667,0.0,0.0,0.0,34.008256666666625,9300.0,9300.0,184.93976814500002,0.0,184.93976814500002
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,24,2025-02-01 04:00:00,2025-02-01 04:10:00,2025-02-01 00:00:00,0,483.6167,0.0,0.3164,0.3922,555.3586666666666,0.0,0.0,0.0,71.74196666666666,9300.0,9300.0,175.71548213333332,0.0,175.71548213333332
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,25,2025-02-01 04:10:00,2025-02-01 04:20:00,2025-02-01 00:00:00,0,491.1868,0.0,0.3916,0.3983,545.5918566666666,0.0,0.0,0.0,54.40505666666655,9300.0,9300.0,213.65377107066664,0.0,213.65377107066664
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,26,2025-02-01 04:20:00,2025-02-01 04:30:00,2025-02-01 00:00:00,0,504.6453,0.0,0.4109,0.3977,551.7023433333334,0.0,0.0,0.0,47.057043333333354,9300.0,9300.0,226.69449287566667,0.0,226.69449287566667
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,27,2025-02-01 04:30:00,2025-02-01 04:40:00,2025-02-01 00:00:00,0,505.5783,0.0,0.361,0.3819,577.206,0.0,0.0,0.0,71.6277,9300.0,9300.0,208.371366,0.0,208.371366
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,28,2025-02-01 04:40:00,2025-02-01 04:50:00,2025-02-01 00:00:00,0,503.231,0.0,0.3799,0.3738,576.3750833333334,0.0,0.0,0.0,73.14408333333336,9300.0,9300.0,218.96489415833335,0.0,218.96489415833335
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,29,2025-02-01 04:50:00,2025-02-01 05:00:00,2025-02-01 00:00:00,0,502.847,0.0002,0.4094,0.4078,581.4273933333334,0.0,0.0,0.0,78.58059333333341,9300.0,9300.0,238.0363748306667,0.0,238.0363748306667
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,30,2025-02-01 05:00:00,2025-02-01 05:10:00,2025-02-01 00:00:00,0,499.6417,0.0,0.4052,0.4431,571.8389999999999,0.0,0.0,0.0,72.19729999999993,9300.0,9300.0,231.70916279999997,0.0,231.70916279999997
formal_output,Q2_FROZEN_REFERENCE,2025-02-01,31,2025-02-01 05:10:00,2025-02-01 05:20:00,2025-02-01 00:00:00,0,488.7836,0.0,0.3896,0.4078,563.1363133333333,0.0,0.0,0.0,74.35271333333333,9300.0,9300.0,219.39790767466667,0.0,219.39790767466667
