month,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-02,0,1371019.1755758438,1289517.2588726708,81501.91670317335,2009115.177158959,20859.151910000008,196055.4880876954,631785.0746382304,511745.91045696667,1143530.9850951969,1199.9999999999955,10800.0,1308.0,28.0
2025-03,0,1266528.9443164887,1124325.2313465874,142203.71296990168,1886664.9751642393,35948.09371333334,275534.86822666664,635581.7539521401,514821.22070123337,1150402.974653373,1199.9999999999995,10800.0,1540.0,31.0
2025-04,0,1065999.6952023115,931790.3888598013,134209.30634251004,1639885.1457757722,35926.09595000002,348857.0605933332,574866.1959602056,465641.6187277667,1040507.8146879725,1199.999999999999,10800.0,1488.0,30.0
2025-05,0,1118576.285423456,955512.9759106176,163063.30951283834,1650502.3454519024,41484.01921333334,400958.29420333327,548513.6703258023,444296.0729638999,992809.7432897023,1199.9999999999955,10800.0,1604.0,31.0
2025-06,0,1655891.1076315022,1426035.1097989823,229855.99783252014,2159981.4159125653,55739.73952333335,347150.01783094654,624094.5563418517,505516.5906368999,1129611.1469787515,1199.9999999999993,10800.0,1486.0,30.0
2025-07,0,1999211.971944043,1725816.9025273675,273395.0694166751,2410209.772995163,63786.728886666664,410649.86687864206,623828.2447536213,505300.87825043325,1129129.1230040547,1199.9999999999968,10800.0,1580.0,31.0
2025-08,0,1588035.4320015016,1422543.920709259,165491.51129224172,2056212.734152048,38167.704313333335,399843.9672466666,581176.8485195473,470753.2473008332,1051930.0958203806,1199.999999999999,10800.000000000002,1641.0,31.0
2025-09,0,1284439.3027274148,1157598.4648425381,126840.83788487672,1871215.384475477,32635.27298,401968.4405764608,597359.7151527159,483861.36927369994,1081221.084426416,1199.9999999999952,10800.0,1570.0,30.0
2025-10,0,1214883.159898505,1143067.2304997507,71815.92939875343,1896194.6282785067,19593.817533333353,318626.8102166666,642252.8547114402,520224.8123162667,1162477.667027707,1199.9999999999995,10800.0,1598.0,31.0
2025-11,0,1414518.833260374,1333875.447620259,80643.38564011507,2079287.7870588736,20553.61778000002,184873.10526074973,668399.4330427573,541403.5407646333,1209802.97380739,1200.0,10800.0,1374.0,30.0
2025-12,0,2055799.8221685407,1909779.2161275034,146020.60604103678,2689385.2241004934,33984.96927000003,215944.97459666664,754675.1724938268,611286.8897200001,1365962.0622138267,1200.0,10800.0,1426.0,31.0
