template_date,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-02-01,0,21320.606460779552,20800.19925449622,520.4072062833343,49162.49350757201,112.74759666666682,10489.865583333329,23195.783794238683,18788.584873333333,41984.36866757201,1200.0,10800.0,50.0,1.0
2025-02-02,0,67202.92892451031,66999.04040138698,203.8885231233345,94731.22668510287,58.356193333333636,11455.20238999999,26200.540991769543,21222.43820333333,47422.979195102875,1200.0,10800.0,42.0,1.0
2025-02-03,0,66144.08228875398,65259.52420622565,884.5580825283375,91339.98266666665,203.39253333333392,6766.458999999989,24000.0,19440.0,43440.0,1200.0,10800.0,72.0,1.0
2025-02-04,0,69283.36954360157,66574.47062514823,2708.898918453341,93473.8767110288,592.1835466666685,7957.390173333326,25862.13991769547,20948.333333333336,46810.4732510288,1200.0,10800.0,45.0,1.0
2025-02-05,0,68490.02232104815,67847.72005877481,642.3022622733421,94111.83496497941,149.75681333333526,8681.228296666659,25431.24253497942,20599.30645333333,46030.54898831275,1200.0,10800.0,55.0,1.0
2025-02-06,0,67879.72555451526,67319.99307938693,559.7324751283335,93885.64728855964,136.0702600000003,8814.581026666656,25979.360115226336,21043.281693333334,47022.64180855967,1200.0,10800.0,41.0,1.0
2025-02-07,0,20202.837536484803,19259.189344341466,943.6481921433366,46243.92673543209,195.04838333333413,10402.426536666662,22267.730432098764,18036.86165,40304.59208209877,1200.0,10800.0,32.0,1.0
2025-02-08,0,22278.473169747213,16913.213152250544,5365.260017496669,40526.10649617284,1573.4701533333339,6095.179826666661,23301.23117283951,18873.99725,42175.228422839515,1200.0,10800.0,29.0,1.0
2025-02-09,0,69437.73701134209,60567.414329050414,8870.322682291675,86098.72881749998,1969.3586033333354,3950.577499999993,24011.019583333335,19448.9258625,43459.945445833335,1200.0,10800.0,44.0,1.0
2025-02-10,0,62345.322551640005,61472.54528151333,872.777270126674,89049.54562333332,250.00255333333513,10571.244309999991,23166.666666666664,18765.0,41931.666666666664,1200.0,10800.0,45.0,1.0
2025-02-11,0,60477.251182831,56724.78568865266,3752.465494178343,83000.45206666665,697.9750566666688,3917.830023333325,24000.0,19440.0,43439.99999999999,1200.0,10800.0,42.0,1.0
2025-02-12,0,60131.37009293601,57655.05510829434,2476.3149846416723,84683.96714275719,505.04298333333446,5034.714679999994,25723.994979423864,20836.435933333334,46560.430912757205,1200.0,10800.0,32.0,1.0
2025-02-13,0,59396.32453177366,57777.22250333366,1619.1020284400036,84762.80273999998,392.1724900000009,9138.829263333328,24666.666666666664,19980.0,44646.666666666664,1200.0,10800.0,47.0,1.0
2025-02-14,0,20137.988206115875,15657.51293907754,4480.475267038335,37398.72660641975,1838.425126666667,5355.810436666663,21471.262086419752,17391.722289999998,38862.98437641975,1199.9999999999995,10800.0,37.0,1.0
