period,baseline,template_date,template_slot,interval_start,interval_end,decision_time,level_bound_hit_count,load_actual_kwh,pv_actual_kwh,price_actual,price_pred,grid_plan_kwh,grid_emergency_kwh,charge_bus_kwh,discharge_bus_kwh,spill_kwh,soc_before_kwh,soc_after_kwh,regular_purchase_cost,emergency_purchase_cost,realized_total_cost
formal_output,Q4_2_NOSTORAGE,2025-02-01,1,2025-02-01 00:10:00,2025-02-01 00:20:00,2025-02-01 00:00:00,0,422.0304,0.0,0.3281,0.3381,469.51325999999995,0.0,0.0,0.0,47.48285999999996,1200.0,1200.0,154.047300606,0.0,154.047300606
formal_output,Q4_2_NOSTORAGE,2025-02-01,2,2025-02-01 00:20:00,2025-02-01 00:30:00,2025-02-01 00:00:00,0,415.4073,0.0,0.3257,0.3528,461.7750966666666,0.0,0.0,0.0,46.36779666666661,1200.0,1200.0,150.40014898433333,0.0,150.40014898433333
formal_output,Q4_2_NOSTORAGE,2025-02-01,3,2025-02-01 00:30:00,2025-02-01 00:40:00,2025-02-01 00:00:00,0,410.7167,0.0,0.3041,0.3008,457.755,0.0,0.0,0.0,47.03829999999999,1200.0,1200.0,139.2032955,0.0,139.2032955
formal_output,Q4_2_NOSTORAGE,2025-02-01,4,2025-02-01 00:40:00,2025-02-01 00:50:00,2025-02-01 00:00:00,0,430.2948,0.0,0.3126,0.3039,494.94278333333324,0.0,0.0,0.0,64.64798333333323,1200.0,1200.0,154.71911406999996,0.0,154.71911406999996
formal_output,Q4_2_NOSTORAGE,2025-02-01,5,2025-02-01 00:50:00,2025-02-01 01:00:00,2025-02-01 00:00:00,0,424.4106,0.0,0.3286,0.3343,511.57258666666667,0.0,0.0,0.0,87.16198666666668,1200.0,1200.0,168.10275197866667,0.0,168.10275197866667
formal_output,Q4_2_NOSTORAGE,2025-02-01,6,2025-02-01 01:00:00,2025-02-01 01:10:00,2025-02-01 00:00:00,0,406.0517,0.0,0.3438,0.3558,504.6783333333333,0.0,0.0,0.0,98.6266333333333,1200.0,1200.0,173.50841099999997,0.0,173.50841099999997
formal_output,Q4_2_NOSTORAGE,2025-02-01,7,2025-02-01 01:10:00,2025-02-01 01:20:00,2025-02-01 00:00:00,0,436.7502,0.0,0.3704,0.3641,513.1522533333333,0.0,0.0,0.0,76.4020533333333,1200.0,1200.0,190.07159463466667,0.0,190.07159463466667
formal_output,Q4_2_NOSTORAGE,2025-02-01,8,2025-02-01 01:20:00,2025-02-01 01:30:00,2025-02-01 00:00:00,0,451.7977,0.0,0.3746,0.3577,506.35368333333327,0.0,0.0,0.0,54.555983333333245,1200.0,1200.0,189.68008977666665,0.0,189.68008977666665
formal_output,Q4_2_NOSTORAGE,2025-02-01,9,2025-02-01 01:30:00,2025-02-01 01:40:00,2025-02-01 00:00:00,0,446.08,0.0,0.3606,0.3605,497.6576666666667,0.0,0.0,0.0,51.577666666666744,1200.0,1200.0,179.45535460000002,0.0,179.45535460000002
formal_output,Q4_2_NOSTORAGE,2025-02-01,10,2025-02-01 01:40:00,2025-02-01 01:50:00,2025-02-01 00:00:00,0,471.7663,0.0,0.3582,0.393,524.5926333333333,0.0,0.0,0.0,52.82633333333331,1200.0,1200.0,187.90908126,0.0,187.90908126
formal_output,Q4_2_NOSTORAGE,2025-02-01,11,2025-02-01 01:50:00,2025-02-01 02:00:00,2025-02-01 00:00:00,0,448.026,0.0,0.3041,0.3685,522.2951733333333,0.0,0.0,0.0,74.2691733333333,1200.0,1200.0,158.82996221066665,0.0,158.82996221066665
formal_output,Q4_2_NOSTORAGE,2025-02-01,12,2025-02-01 02:00:00,2025-02-01 02:10:00,2025-02-01 00:00:00,0,397.4033,0.0,0.2537,0.3052,528.6353333333333,0.0,0.0,0.0,131.23203333333328,1200.0,1200.0,134.11478406666663,0.0,134.11478406666663
formal_output,Q4_2_NOSTORAGE,2025-02-01,13,2025-02-01 02:10:00,2025-02-01 02:20:00,2025-02-01 00:00:00,0,434.0906,0.0,0.3346,0.3159,522.0237566666665,0.0,0.0,0.0,87.93315666666649,1200.0,1200.0,174.66914898066662,0.0,174.66914898066662
formal_output,Q4_2_NOSTORAGE,2025-02-01,14,2025-02-01 02:20:00,2025-02-01 02:30:00,2025-02-01 00:00:00,0,490.5609,0.0,0.3971,0.3649,545.17553,0.0,0.0,0.0,54.61462999999998,1200.0,1200.0,216.489202963,0.0,216.489202963
formal_output,Q4_2_NOSTORAGE,2025-02-01,15,2025-02-01 02:30:00,2025-02-01 02:40:00,2025-02-01 00:00:00,0,503.22,0.0,0.367,0.3905,535.4833333333333,0.0,0.0,0.0,32.26333333333332,1200.0,1200.0,196.52238333333332,0.0,196.52238333333332
formal_output,Q4_2_NOSTORAGE,2025-02-01,16,2025-02-01 02:40:00,2025-02-01 02:50:00,2025-02-01 00:00:00,0,474.0728,0.0,0.3185,0.37,514.4647699999998,0.0,0.0,0.0,40.391969999999844,1200.0,1200.0,163.85702924499995,0.0,163.85702924499995
formal_output,Q4_2_NOSTORAGE,2025-02-01,17,2025-02-01 02:50:00,2025-02-01 03:00:00,2025-02-01 00:00:00,0,461.3844,0.0,0.3285,0.3817,530.20038,0.0,0.0,0.0,68.81597999999997,1200.0,1200.0,174.17082483000002,0.0,174.17082483000002
formal_output,Q4_2_NOSTORAGE,2025-02-01,18,2025-02-01 03:00:00,2025-02-01 03:10:00,2025-02-01 00:00:00,0,476.9417,0.0,0.3772,0.4212,541.3283333333331,0.0,0.0,0.0,64.38663333333312,1200.0,1200.0,204.18904733333326,0.0,204.18904733333326
formal_output,Q4_2_NOSTORAGE,2025-02-01,19,2025-02-01 03:10:00,2025-02-01 03:20:00,2025-02-01 00:00:00,0,483.3995,0.0,0.3815,0.4101,545.0774466666664,0.0,0.0,0.0,61.67794666666646,1200.0,1200.0,207.94704590333325,0.0,207.94704590333325
