month,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-02,0,1376743.423334969,1295241.5066317955,81501.91670317347,2013464.3229479892,20859.151910000037,196055.48808769532,654675.3156331277,530287.0056628332,1184962.3212959608,1199.9999999999989,10800.0,1141.0,28.0
2025-03,0,1271837.7172465252,1129634.0042766235,142203.71296990183,1894512.1467585878,35948.09371333338,275534.86822666647,676882.657080288,548274.9522350333,1225157.6093153213,1199.9999999999989,10800.0,1321.0,31.0
2025-04,0,1070654.0158950281,936444.709552518,134209.30634251013,1646375.1107081342,35926.09595000003,348857.06059333315,609023.9061305351,493309.36396573344,1102333.2700962685,1199.99999999999,10800.000000000002,1353.0,30.0
2025-05,0,1124763.6621179525,961688.1074555542,163075.55466239847,1658174.0771830862,41488.377693333365,400962.6526833332,588891.2057530863,477001.8766599999,1065893.0824130862,1199.9999999999945,10800.0,1492.0,31.0
2025-06,0,1655684.6701287327,1425828.6722962125,229855.9978325202,2163148.4554277337,55739.73952333337,347150.0178309464,640763.1853690535,519018.1801489332,1159781.3655179865,1199.9999999999961,10800.0,1577.0,30.0
2025-07,0,1996352.8084596437,1722855.4491225276,273497.35933711694,2412911.047862256,63819.77360333337,410682.9115953086,638045.4808962139,516816.8395259332,1154862.3204221474,1199.9999999999995,10800.0,1781.0,31.0
2025-08,0,1585155.247865635,1419690.8320512685,165464.4158143668,2060628.6692839384,38150.138363333375,399826.40129666653,604418.6123716047,489579.0760209999,1093997.688392605,1199.9999999998863,10800.0,1817.0,31.0
2025-09,0,1288498.7008106615,1161657.8629257842,126840.8378848768,1877285.459948234,32635.27298000003,401968.4405764607,629307.4807988065,509739.0594470332,1139046.54024584,1199.9999999999995,10800.0,1417.0,30.0
2025-10,0,1220860.3292757622,1149044.399877009,71815.92939875349,1903827.1734331532,19593.817533333375,318626.81021666643,682424.1449990536,552763.5574492331,1235187.7024482866,1199.9999999999955,10800.0,1360.0,31.0
2025-11,0,1418279.6649755705,1337636.2793354553,80643.38564011516,2081501.4931813194,20553.61778000004,184911.072138683,679850.6922244031,550679.0607017667,1230529.7529261694,1199.9999999999673,10800.0,1208.0,30.0
2025-12,0,2059864.4400104932,1913843.8339694557,146020.60604103692,2692072.697409645,33984.96927000006,215944.9745966664,768819.7688577778,622744.0127748,1391563.7816325775,1199.9999999999986,10800.0,1433.0,31.0
