template_date,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-02-01,0,32712.167883903,32323.551249944663,388.6166339583352,50571.57197666666,82.54464666666706,16275.940023333329,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-02,0,77220.45762100197,77016.56909787864,203.8885231233345,89753.12389666666,58.356193333333636,11455.202389999991,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-03,0,75889.83282095932,75005.27473843098,884.5580825283371,86814.41639,203.3925333333338,6800.892723333323,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-04,0,79241.61945469634,76532.720536243,2708.8989184533393,88560.07012666666,592.183546666668,7957.390173333324,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-05,0,78261.65580236034,77619.353540087,642.3022622733412,89279.89888333331,149.75681333333492,8681.228296666657,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-06,0,77645.44246289466,77085.70998776633,559.7324751283328,88949.56886666664,136.07025999999996,8814.581026666656,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-07,0,31809.56019135933,30919.924889020993,889.6353023383369,48955.32630666666,183.16828000000086,17332.814786666662,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-08,0,30572.899482476663,29525.164966193326,1047.7345162833371,46765.53924,272.09799333333433,15460.474333333332,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-09,0,78465.68328466432,69759.22767519098,8706.45560947334,81584.78190999999,1926.7107900000017,3956.076499999993,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-10,0,72333.30421846535,71460.52694833867,872.7772701266742,84647.87895666665,250.00255333333524,10571.244309999993,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-11,0,70900.73011993835,67202.33976318,3698.390356758344,79119.60812333334,678.2928900000023,4577.303913333324,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-12,0,70605.79900760067,68147.29607280066,2458.5029348000057,80213.56634666666,501.2022833333345,5448.0322299999925,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
2025-02-13,0,69931.58909566166,68312.48706722166,1619.102028440003,80566.77648333332,392.1724900000007,9629.469673333326,0.0,0.0,0.0,1200.0,1200.0,145.0,1.0
