metric,value
realized_total_cost,19505477.686764814
regular_purchase_cost,18332120.981610857
emergency_purchase_cost,1173356.70515396
grid_purchase_energy,22607282.99479
emergency_energy,274647.24067333376
spill_energy,4942740.696363332
charge,0.0
discharge,0.0
storage_throughput,0.0
soc_min,1200.0
soc_max,1200.0
soc_boundary_hits,48430.0
days,334.0
price_sample_count,48096.0
price_MAE,0.08975288520128709
price_RMSE,0.11663271600971029
price_bias,-0.000525598136845382
price_P90_absolute_error,0.19644912792495467
price_rank_correlation,0.9118223892331853
price_peak10_recall,0.7230769230769231
price_offpeak10_recall,0.3152760481527605
price_negative_prediction_count,0.0
price_nonfinite_prediction_count,0.0
solver_days,334
optimal_count,334
infeasible_count,0
failure_count,0
reference_only_count,0
runtime_seconds,0.0
level_bound_hit_count,0
