month,level_bound_hit_count,realized_total_cost,regular_purchase_cost,emergency_purchase_cost,grid_purchase_energy,emergency_energy,spill_energy,charge,discharge,storage_throughput,soc_min,soc_max,soc_boundary_hits,days
2025-02,0,1658778.702324092,1594843.8186821868,63934.883641905144,1977277.5780033332,14793.834716666703,278191.73591999983,0.0,0.0,0.0,1200.0,1200.0,4060.0,28.0
2025-03,0,1554437.995609191,1469138.0321714492,85299.96343774183,1918952.6089466664,20306.615050000044,412941.5565966665,0.0,0.0,0.0,1200.0,1200.0,4495.0,31.0
2025-04,0,1334532.6709363044,1266721.4808255893,67811.19011071514,1714635.8808033331,16483.121626666703,513389.39852999983,0.0,0.0,0.0,1200.0,1200.0,4350.0,30.0
2025-05,0,1407463.1518976244,1294539.2398282108,112923.91206941348,1740500.3218233332,26793.46356000004,580483.3122833332,0.0,0.0,0.0,1200.0,1200.0,4495.0,31.0
2025-06,0,1912302.2409352327,1725327.0186625759,186975.22227265686,2134354.6976766665,44073.51389333338,428435.03966999985,0.0,0.0,0.0,1200.0,1200.0,4350.0,30.0
2025-07,0,2351150.1621029386,2118802.7931913803,232347.3689115585,2407527.6064166664,52644.911893333374,515353.2498099999,0.0,0.0,0.0,1200.0,1200.0,4495.0,31.0
2025-08,0,1950440.0546548585,1851394.4773455902,99045.57730926847,2158971.675433333,21818.460570000032,596677.2660033331,0.0,0.0,0.0,1200.0,1200.0,4495.0,31.0
2025-09,0,1606381.612520193,1523614.7860832696,82766.82643692347,1948862.1278699997,20372.389170000035,580850.6460399998,0.0,0.0,0.0,1200.0,1200.0,4350.0,30.0
2025-10,0,1570279.1953048797,1521616.785430498,48662.40987438183,1963655.2277799998,12308.490310000041,500830.1248899998,0.0,0.0,0.0,1200.0,1200.0,4495.0,31.0
2025-11,0,1728231.0512219912,1666394.723098936,61836.32812305517,2062324.5060966664,14926.663580000042,289278.7623766665,0.0,0.0,0.0,1200.0,1200.0,4350.0,30.0
2025-12,0,2431480.84925751,2299727.82629117,131753.02296634024,2580220.7639399995,30125.776303333387,246309.60424333313,0.0,0.0,0.0,1200.0,1200.0,4495.0,31.0
