metric,value
realized_total_cost,16068694.680120975
regular_purchase_cost,14453565.657494204
emergency_purchase_cost,1615129.0226267702
grid_purchase_energy,22403900.654144075
emergency_energy,398699.04832000047
spill_energy,3500520.6978424266
charge,7173102.45011395
discharge,5810212.9845923
storage_throughput,12983315.43470625
soc_min,1199.9999999998863
soc_max,10800.000000000002
soc_boundary_hits,15900.0
days,334.0
price_sample_count,48096.0
price_MAE,0.08432593978709249
price_RMSE,0.12383718140836511
price_bias,-0.0005953551230871593
price_P90_absolute_error,0.22940000000000002
price_rank_correlation,0.9138268538239501
price_peak10_recall,0.7636174636174636
price_offpeak10_recall,0.4518472395184724
price_negative_prediction_count,0.0
price_nonfinite_prediction_count,0.0
solver_days,334
optimal_count,334
infeasible_count,0
failure_count,0
reference_only_count,0
runtime_seconds,10.619633000023896
level_bound_hit_count,0
