metric,value
realized_total_cost,16034903.73014998
regular_purchase_cost,14419862.147115339
emergency_purchase_cost,1615041.5830346423
grid_purchase_energy,22348654.590524
emergency_energy,398679.21107333346
spill_energy,3500462.8937178273
charge,6882533.519892139
discharge,5574852.151112633
storage_throughput,12457385.671004772
soc_min,1199.9999999999952
soc_max,10800.000000000002
soc_boundary_hits,16615.0
days,334.0
price_sample_count,48096.0
price_MAE,0.04715118305056554
price_RMSE,0.06534801504178886
price_bias,-0.00015473843978709224
price_P90_absolute_error,0.0976
price_rank_correlation,0.9719055035323327
price_peak10_recall,0.8671517671517671
price_offpeak10_recall,0.7557077625570776
price_negative_prediction_count,0.0
price_nonfinite_prediction_count,0.0
solver_days,334
optimal_count,0
infeasible_count,0
failure_count,0
reference_only_count,334
runtime_seconds,0.0
level_bound_hit_count,0
