month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1373368.2950940288,1312535.466327365,1262044.5710883152,50490.89523904994,25245.44761952497,15892.522873871423,1303182.5415817115,70185.75351231736,16650.583876111144,170621.9880104833,2036682.943135262,1986937.7345194514,626771.8609741015,507685.2073890223,1134457.0683631238,63957.75576297165,14212.547147160978,876.0,1200.0,10800.0
3,1219692.4927717908,1150571.8034578878,1098571.41297017,52000.39048771789,26000.195243858943,27767.883582581475,1152339.4917966104,67353.00097518046,17768.530266666792,249752.4880153959,1928176.7039554594,1879214.2561486685,636382.2684207339,515469.63742079446,1151851.9058415284,77608.26671653692,28645.8189097461,815.0,1200.0,10800.0
4,1015102.3294720344,930816.7170159974,904149.120509086,26667.596506911417,13333.798253455709,34809.34950445032,952292.2682669921,62810.061205042344,16503.702783888868,320896.7316418332,1633839.378186568,1629711.171620208,566255.4676961248,458666.9288338612,1024922.396529986,43821.53273957703,39693.32617321722,718.0,1200.0,10800.0
5,1077750.0447055376,938702.7228706188,922230.4839496487,16472.23892097008,8236.11946048504,54035.95848474287,984502.5618948766,93247.48281066095,22681.404457222256,385019.53435500007,1616345.459969333,1654197.0917385141,552886.7828459807,447838.29410524445,1000725.0769512252,27939.444774977517,65791.0765441586,689.0,1200.0,10800.0
6,1600288.0833412486,1449194.60585262,1412095.133275379,37099.472577241,18549.7362886205,54304.6964913668,1484949.5660553663,115338.51728588229,29507.237324444468,348551.2911736588,2194077.503937753,2190374.968232233,638619.6972790465,517281.95479602774,1155901.6520750744,50381.087499568814,46678.551794049155,967.0,1200.0,10800.0
7,1974086.124641078,1725651.8620759652,1688319.4481741409,37332.41390182419,18666.206950912096,62042.39777450616,1769028.0528995593,205058.07174151894,48919.49521000004,397255.1277050309,2408550.56931805,2411846.7708697906,624694.051972421,506002.1820976611,1130696.2340700822,51354.31026297829,54650.511814719175,976.0,1200.0,10800.0
8,1542761.3976242996,1442643.3685192845,1403926.2413179858,38717.12720129876,19358.56360064938,38012.27390946636,1461297.0788281015,81464.31879619816,18722.43830166675,393015.7835868722,2087053.5060967633,2068993.0648947018,582036.0505762964,471449.2009668001,1053485.2515430965,58711.14569563636,40650.70449357483,800.0,1200.0,10800.0
9,1260503.1135432748,1176980.4320540274,1139475.0022876246,37505.429766402835,18752.714883201417,41436.07943586661,1199663.7966066927,60839.31693658209,16197.235293888929,397680.7356733333,1898113.45274918,1883300.8678869763,597018.4026712207,483584.90616368887,1080603.3088349097,60723.18437227684,45910.5995100733,819.0,1200.0,10800.0
10,1233230.2032114877,1166295.1130274858,1113512.6916044457,52782.42142304007,26391.210711520034,26783.024988329693,1166686.9273042954,66543.27590719229,17120.109327222155,297422.0929961109,1932942.8121518542,1876509.0827080712,637228.9781009603,516155.47226177785,1153384.450362738,82778.79158723175,26345.062143448664,830.0,1200.0,10800.0
11,1432216.4984112212,1335714.4367284337,1314108.079485,21606.35724343352,10803.17862171676,57793.90381530272,1382705.1619220197,49511.33648920147,12834.508826111187,208045.5891383277,2091816.5902243636,2111175.765010372,673643.5652534498,545651.2878552945,1219294.8531087444,31427.443773660976,50786.618559669376,929.0,1200.0,10800.0
12,2055671.7470228102,1911446.3468435097,1880484.4024252652,30961.944418244653,15480.972209122327,54028.59397582254,1949993.9686102099,105677.77841260015,25449.644983888928,217641.16216888878,2691483.4858482075,2699361.419415301,753331.4012121124,610198.4349818112,1363529.8361939236,34139.00859089915,42016.942157992955,1024.0,1200.0,10800.0
