template_date,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2025-02-01,21135.489567780165,21038.438829405677,20077.317127390186,961.1217020154909,480.56085100774544,8.981231758298237e-12,20557.87797839794,577.6115893822227,119.13436333333317,8107.561599999998,48442.08055067901,46539.875749012346,21964.589012345677,17791.3171,39755.90611234568,1902.2048016666768,8.526512829121202e-12,24.0,1200.000000000001,10800.0
2025-02-02,67140.94413575051,66907.58574016548,65363.6741416177,1543.9115985477813,771.9557992738906,728.9487716222811,66864.57871251387,276.3654232366373,71.84152222221678,10091.873977222218,94707.4284427572,93297.08534121398,25898.81676954732,20978.041583333335,46876.858352880656,1910.1034750000038,499.7603734567972,50.0,1200.0,10800.0
2025-02-03,68069.31584339036,68512.03188919855,65326.28610319382,3185.7457860047243,1592.8728930023622,4.265362463229394e-12,66919.15899619619,1150.156847194164,221.59478000000067,7328.018238333329,95404.14266666665,91883.33965833332,23999.999999999996,19440.000000000004,43440.0,3520.80300833334,5.4001247917767614e-12,50.0,1200.0,10800.0
2025-02-04,71299.21755818916,71509.11412034226,68713.40309492391,2795.7110254183526,1397.8555127091763,373.9473960777406,70485.20600371083,814.0115544783368,241.91575666666756,10069.316274999996,98266.7050133196,95436.84486203428,23234.63601947874,18820.055175777783,42054.69119525653,3070.131581618655,240.27143033333869,43.0,1200.0,10800.0
2025-02-05,69157.595518227,66183.56551513479,66083.64758424729,99.91793088750279,49.958965443751396,1704.138049859534,67837.74459955057,1319.8509186764218,257.2662361111174,8386.806127777778,92304.9034864952,93520.88679050753,24436.418414951993,19793.49891611112,44229.91733106311,118.21524166667118,1334.198545679014,23.0,1200.0,10800.0
2025-02-06,69861.78456678848,71584.22724656205,66767.74301961051,4816.484226951533,2408.2421134757665,2.4975861379061824e-13,69175.98513308629,685.7994337021988,159.79330388888442,8503.501470555548,98965.07972917694,93675.63005041837,26636.125177640613,21575.261393888904,48211.38657152952,5289.449678758572,2.2737367544323206e-13,47.0,1200.0000000000002,10800.0
2025-02-07,20573.08126039286,20543.549157940357,19395.92725064929,1147.6219072910678,573.8109536455339,3.1505464903602843e-14,19969.738204294823,603.3430560980379,123.32703722221694,9684.899107222216,47997.81343652949,45457.62445282579,21528.27675171467,17437.904168888886,38966.180920603554,2540.188983703703,5.684341886080802e-14,22.0,1200.000000000001,10800.0
2025-02-08,19187.815866893594,15932.13498046159,15932.134980461586,2.7467820018500788e-12,1.3733910009250394e-12,1094.8753337447629,17027.01031420635,2160.805552687245,567.9433733333339,4724.350054999997,38327.07561158436,39929.10483158436,22081.764473251027,17886.22922333333,39967.99369658435,7.105427357601002e-12,1602.0292200000097,21.0,1200.0,10800.0
2025-02-09,67008.59697967608,64110.21716826245,63075.965351415805,1034.251816846636,517.125908423318,1681.2621892589357,65274.35344909806,1734.2435305780186,364.6000772222162,6346.216598888881,90278.05557711935,90377.6166746845,25476.75764746228,20636.173694444446,46112.931341906726,1059.5610219821745,1159.1221195473354,31.0,1200.000000000003,10800.0
2025-02-10,60868.284148111125,59428.12368597772,56371.82333276716,3056.300353210559,1528.1501766052795,407.7363571047891,58307.70986647723,2560.5742816338984,727.2080250000002,5049.933598333331,86795.58337065844,83262.28362215363,24278.53078326475,19665.609934444452,43944.1407177092,3848.6111250000026,315.3113764951984,37.0,1200.0,10800.0
2025-02-11,61668.1886710294,60263.09160807169,56622.328501291864,3640.7631067798297,1820.3815533899149,9.138494760918547e-12,58442.71005468179,3225.478616347607,638.7072211111339,3628.2469377778016,86769.26199074074,82737.81054048766,23829.861704320992,19302.18798050001,43132.049684821,4031.451450253099,1.1709744285326451e-11,36.0,1200.0,10800.0
2025-02-12,60861.71165129883,60126.7822469773,56368.8261533265,3757.956093650801,1878.9780468254005,5.824938398291124e-12,58247.804200151906,2613.907451146924,541.3572772222174,3658.613998888882,87273.44361550068,82857.24500006858,23543.430938957466,19070.17906055555,42613.60999951301,4416.198615432099,4.433786671143025e-12,47.0,1200.0,10800.0
2025-02-13,57930.87769625735,55206.09470852004,52917.01646483215,2289.0782436878867,1144.5391218439433,1080.911015234589,55142.46660191068,2788.4110943466667,623.282606666668,4972.700071666669,82271.54253452674,80197.12051148148,23780.124981481476,19261.901234999998,43042.02621648147,2977.6335183333363,903.2114952880694,41.0,1200.0000000000007,10800.0
2025-02-14,18917.389561677475,15808.31897954833,15808.31897954833,6.097593541198876e-14,3.048796770599438e-14,677.8490372041687,16486.168016752497,2431.221544924978,708.7427722222172,5972.276167472216,38175.20226635802,38903.322174691355,20199.933049691357,16361.94577025,36561.878819941354,1.1368683772161603e-13,728.1199083333324,16.0,1200.000000000001,10800.0
