track,question_id,model_version,split,metric,value,status
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,total_cost,15823020.024317618,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,planned_purchase_cost,14572771.3091637,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,fulfilled_normal_purchase_cost,14166659.986149192,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,cancelled_purchase_principal,406111.3230145087,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,downward_penalty,203055.66150725435,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,upward_adjustment_cost,474997.6553597467,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,regular_purchase_cost,14844713.303016193,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,emergency_purchase_cost,978306.7213014269,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,emergency_energy,242474.44325931702,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,spill_energy,3380727.928998823,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,planned_grid_energy,22573550.073233124,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,final_grid_energy,22437635.40128752,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,total_charge,7158907.244463223,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,total_discharge,5798714.868015211,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,storage_throughput,12957622.112478433,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,adjust_down_energy,591386.3428473101,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,adjust_up_energy,455471.6709017036,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,adjustment_count,9529.0,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,soc_min,1200.0,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,soc_max,10800.0,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,realized_total_cost,15823020.024317618,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_BASELINE_P0,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,soc_boundary_hits,27816.0,HUMAN_RUN_UNREVIEWED
