month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1380850.0320640511,1318466.0508547176,1266635.9603492026,51830.090505515116,25915.045252757558,17805.09219205253,1310356.0977940126,70493.93427003849,16719.03480055559,170107.6365382722,2040351.9641922934,1990225.599410026,647143.7940647873,524186.47319247783,1171330.2672572653,65501.25776651347,15374.892984246266,925.0,1200.0,10800.0
3,1225919.2558748296,1156274.761648801,1102894.384543093,53380.377105708176,26690.188552854088,28836.179216659868,1158420.752312607,67498.50356222285,17856.144745000085,248310.0041207445,1936270.5222732904,1885566.509759501,677868.3314934567,549073.3485097,1226941.6800031567,79564.38895006021,28860.376436270875,850.0,1200.0,10800.0
4,1020340.9472389214,935084.6507815475,907801.2122145292,27283.43856701831,13641.719283509156,36132.79795801745,957575.7294560558,62765.217782865606,16493.699789872197,320826.6003927777,1640742.077044363,1635971.3444526182,599520.2102616461,485611.37031193334,1085131.5805735793,44974.56057639183,40203.8279846472,679.0,1200.0,10800.0
5,1082593.584680929,944413.6762915809,930359.7316612259,14053.944630355047,7026.972315177523,51853.151375838745,989239.8553522421,93353.72932868703,22717.777794444464,385055.9076922223,1624453.6694597602,1661503.18568148,591339.9088615911,478985.3261778889,1070325.23503948,24606.937029224984,61656.45325094493,665.0,1200.0,10800.0
6,1600104.0919089853,1447984.894646341,1409351.1558189858,38633.73882735529,19316.869413677647,56122.784673694485,1484790.809906358,115313.28200262731,29500.76507944447,346702.4947607366,2196398.4964519506,2190506.112706631,649006.3743438888,525695.16321855,1174701.5375624388,54390.844316668445,48498.460571348776,938.0,1200.0,10800.0
7,1971615.0555834293,1722465.1222346926,1684654.229529098,37810.89270559467,18905.446352797335,63048.76962820524,1766608.4455101003,205006.61007332895,48903.34784000004,397181.8889345809,2412164.9777729525,2414661.924766324,639811.13248286,518247.0173111167,1158058.1497939767,52688.32367604495,55185.270669416524,978.0,1200.0,10800.0
8,1541375.4558120386,1440167.5164253344,1400742.711029806,39424.805395528296,19712.402697764148,39417.26833513167,1459872.3820627017,81503.07374933679,18734.046794444537,393027.3920796501,2091276.11819085,2072431.5177180127,600133.1706989849,486107.86826617783,1086241.0389651626,59553.14754546522,40708.54707262787,821.0,1200.0,10800.0
9,1265805.3892004506,1181732.4431523802,1143738.1214542151,37994.32169816494,18997.16084908247,42230.789960570866,1204966.0722638685,60839.31693658208,16197.235293888927,397680.73567333334,1903748.671182128,1889337.9418919259,628792.4763814815,509321.905869,1138114.3822504815,60861.22403990704,46450.49474970507,819.0,1200.0,10800.0
10,1239167.0786404095,1171777.0635751057,1118183.8819418864,53593.18163321938,26796.59081660969,27928.96212219615,1172909.4348806923,66257.64375971736,17045.220943888857,297248.50286555546,1939822.1561001765,1883800.2226222197,676122.8815818586,547659.5340813055,1223782.415663164,82956.8625306884,26934.929052731684,885.0,1200.0,10800.0
11,1435664.6651652828,1338992.8142600786,1316685.4789451903,22307.3353148884,11153.6676574442,58227.88713922791,1386067.0337418623,49597.63142342033,12857.525193888956,206945.60377206106,2093965.536096629,2111638.080315,681987.3391412002,552409.7447043721,1234397.0838455723,32904.310847370936,50576.85506574195,989.0,1200.0,10800.0
12,2059584.4681482916,1915412.3152931205,1885613.1186619592,29799.196631161096,14899.598315580548,53393.97275815179,1953906.6897356915,105677.77841260008,25449.644983888895,217641.1621688888,2694355.884468731,2701992.961963779,767181.6251514677,621417.1163726889,1388598.7415241566,33384.48556897467,41021.563064022404,980.0,1200.0,10800.0
