month,total_cost,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,emergency_energy,spill_energy,planned_grid_energy,final_grid_energy,total_charge,total_discharge,storage_throughput,adjust_down_energy,adjust_up_energy,adjustment_count,soc_min,soc_max
2,1379448.6291007781,1318510.8832930778,1267154.0043629778,51356.87893010001,25678.439465050003,15575.791032154535,1308408.2348601825,71040.39424059574,16852.75487268337,169145.39965557776,2041652.179430922,1990343.9803371353,653535.046074952,529363.3873207112,1182898.433395663,65282.28680109535,13974.08770730862,886.0,1200.0,10800.0
3,1225009.6178582935,1156017.015745644,1102370.3475316109,53646.66821403295,26823.334107016475,28317.432657443205,1157511.1142960708,67498.50356222286,17856.14474500009,247255.57680604595,1935659.1542068205,1884261.8108187516,676551.112408978,548006.4010512723,1224557.5134602503,80525.08067182575,29127.737283756796,831.0,1200.0,10800.0
4,1020188.0052826045,935407.8162930632,907962.3561415661,27445.46015149712,13722.73007574856,35741.80536471355,957426.8915820282,62761.11370057621,16489.9939183333,320822.89452123886,1640369.505947317,1635986.741776593,599601.248808882,485677.0115351944,1085278.2603440764,45069.30146712526,40686.53729640143,688.0,1200.0,10800.0
5,1083511.6363692652,943819.0925227499,928014.5762829365,15804.516239813438,7902.258119906719,54241.07263773499,990157.9070405782,93353.72932868703,22717.777794444468,385055.9076922223,1623707.3769291092,1660831.2788836479,587803.5572940533,476120.8814081832,1063924.4387022364,26735.44350976615,63859.34546430488,678.0,1200.0,10800.0
6,1600289.3088105929,1449660.5529561513,1409924.1911537766,39736.36180237485,19868.180901187425,55158.41946974653,1484950.7915247104,115338.5172858823,29507.23732444447,342596.7694268755,2198020.013336981,2187370.9739679415,654148.7892921604,529860.51932665,1184009.3086188105,58176.26214720254,47527.22277816292,948.0,1200.0,10800.0
7,1972812.7486511786,1723505.2128399927,1685534.140280121,37971.072559871754,18985.536279935877,63312.129510436105,1767831.806070493,204980.9425806856,48895.679063333366,397506.3513056364,2410622.975562549,2413960.659426667,634372.2036019135,513841.48491755,1148213.6885194634,52171.12423891681,55508.80810303424,986.0,1200.0,10800.0
8,1542481.768365382,1441445.8420337199,1402518.308701969,38927.533331750914,19463.766665875457,38974.14703790066,1460956.2224057452,81525.54595963679,18740.725014444535,392947.67899965006,2091644.037573641,2072964.9626129442,603395.4664617833,488750.32783404447,1092145.7942958276,59155.28107976349,40476.20611906683,834.0,1200.0,10800.0
9,1265531.2501147937,1180788.7785359088,1142185.9105429912,38602.86799291755,19301.433996458774,43132.37353750168,1204619.7180769516,60911.53203784207,16222.00041777781,397705.5007972222,1904273.0074619034,1889461.692999632,629443.7980009876,509849.47638079996,1139293.2743817875,62176.52449063172,47365.2100283603,826.0,1200.0,10800.0
10,1238820.1873926488,1171634.137291395,1118552.723583767,53081.41370762822,26540.70685381411,27547.481905812892,1172640.9123433938,66179.27504925492,17025.99738555553,297299.95043969434,1940596.6819166658,1884533.8448910536,679612.098089026,550485.7994521111,1230097.8975411372,82670.63401340607,26607.796987793932,856.0,1200.0,10800.0
11,1435297.8020083564,1339034.818186185,1316751.545575268,22283.272610916847,11141.636305458424,57723.7092321596,1385616.8911128861,49680.91089547036,12877.346560555632,206339.65859497778,2093272.2641398339,2110171.9207488825,677564.2179708435,548827.0165563833,1226391.2345272268,33224.5675419675,50124.22415101599,1005.0,1200.0,10800.0
12,2063212.8810193439,1919724.2107240784,1889276.390367783,30447.82035629545,15223.910178147726,53034.80206081318,1957535.1026067438,105677.77841260009,25449.644983888906,217641.1621688888,2693921.8690183125,2701691.0525849727,765592.6284209106,620130.0290209376,1385722.6574418482,33279.85440126093,41049.037967921206,1020.0,1200.0,10800.0
