track,question_id,model_version,split,metric,value,status
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,total_cost,15783984.28521735,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,planned_purchase_cost,14529366.699787308,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,fulfilled_normal_purchase_cost,14123216.828980448,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,cancelled_purchase_principal,406149.8708068597,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,downward_penalty,203074.93540342984,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,upward_adjustment_cost,480221.54322310095,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,regular_purchase_cost,14806513.307606978,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,emergency_purchase_cost,977470.9776103719,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,emergency_energy,242215.2146375448,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,spill_energy,3388183.998412913,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,planned_grid_energy,22516956.66387479,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,final_grid_energy,22389004.759436626,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,total_charge,6862349.666111879,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,total_discharge,5558503.229550622,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,storage_throughput,12420852.895662501,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,adjust_down_energy,589137.2069467531,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,adjust_up_energy,461185.3025085878,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,adjustment_count,9552.0,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,soc_min,1200.0,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,soc_max,10800.0,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,realized_total_cost,15783984.28521735,HUMAN_RUN_UNREVIEWED
Q4_3_PRICE_CANDIDATE_P2,Q4-3,M4-Q4-3-PRICE-AWARE-ROLLING-v0.1,formal_template_days,soc_boundary_hits,31246.0,HUMAN_RUN_UNREVIEWED
