template_date,template_slot,interval_start,interval_end,soc_before,soc_after,price,pv_forecast_source,issue_datetime,load_actual_kwh,pv_actual_kwh,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_adjustment_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,total_cost,cost_semantics,grid_plan_kwh,grid_final_kwh,charge_bus_kwh,discharge_bus_kwh,grid_emergency_kwh,spill_kwh,adjust_down_kwh,adjust_up_kwh
2025-01-31,144,2025-02-01 00:00:00,2025-02-01 00:10:00,1200.000000000001,1200.000000000001,0.309,attachment3,2025-01-31 18:00:00,423.96,0.0,147.398047,147.39804699999996,1.7564616427989676e-14,8.782308213994838e-15,0.0,147.39804699999996,0.0,147.39804699999996,MODEL_B,477.0163333333333,477.01633333333325,0.0,0.0,0.0,53.05633333333327,5.684341886080802e-14,0.0
2025-02-01,1,2025-02-01 00:10:00,2025-02-01 00:20:00,1200.000000000001,1950.0000000000011,0.3281,attachment3,2025-01-31 18:00:00,422.0304,0.0,427.4639672726667,427.4639672726667,0.0,0.0,0.0,427.4639672726667,0.0,427.4639672726667,MODEL_B,1302.8465933333334,1302.8465933333334,833.3333333333336,0.0,0.0,47.482859999999846,0.0,0.0
2025-02-01,2,2025-02-01 00:20:00,2025-02-01 00:30:00,1950.0000000000011,2700.000000000001,0.3257,attachment3,2025-01-31 18:00:00,415.4073,0.0,421.8168156509999,421.8168156509999,0.0,0.0,0.0,421.8168156509999,0.0,421.8168156509999,MODEL_B,1295.1084299999998,1295.1084299999998,833.3333333333333,0.0,0.0,46.367796666666436,0.0,0.0
2025-02-01,3,2025-02-01 00:30:00,2025-02-01 00:40:00,2700.000000000001,3450.000000000001,0.3041,attachment3,2025-01-31 18:00:00,410.7167,0.0,392.6199621666666,392.6199621666666,0.0,0.0,0.0,392.6199621666666,0.0,392.6199621666666,MODEL_B,1291.0883333333331,1291.0883333333331,833.3333333333333,0.0,0.0,47.038299999999936,0.0,0.0
2025-02-01,4,2025-02-01 00:40:00,2025-02-01 00:50:00,3450.000000000001,4200.000000000001,0.3126,attachment3,2025-01-31 18:00:00,430.2948,0.0,415.21911406999993,415.21911406999993,0.0,0.0,0.0,415.21911406999993,0.0,415.21911406999993,MODEL_B,1328.2761166666664,1328.2761166666664,833.3333333333333,0.0,0.0,64.64798333333329,0.0,0.0
2025-02-01,5,2025-02-01 00:50:00,2025-02-01 01:00:00,4200.000000000001,4950.000000000001,0.3286,attachment3,2025-01-31 18:00:00,424.4106,0.0,441.936085312,441.936085312,0.0,0.0,0.0,441.936085312,0.0,441.936085312,MODEL_B,1344.90592,1344.90592,833.3333333333333,0.0,0.0,87.16198666666673,0.0,0.0
2025-02-01,6,2025-02-01 01:00:00,2025-02-01 01:10:00,4950.000000000001,5550.000000000001,0.3438,attachment3,2025-02-01 00:00:00,406.0517,0.0,402.7084109999999,402.7084109999999,0.0,0.0,0.0,402.7084109999999,0.0,402.7084109999999,MODEL_B,1171.3449999999998,1171.3449999999998,666.6666666666666,0.0,0.0,98.6266333333333,0.0,0.0
2025-02-01,7,2025-02-01 01:10:00,2025-02-01 01:20:00,5550.000000000001,6300.000000000001,0.3704,attachment3,2025-02-01 00:00:00,436.7502,0.0,498.73826130133335,498.73826130133335,0.0,0.0,0.0,498.73826130133335,0.0,498.73826130133335,MODEL_B,1346.4855866666667,1346.4855866666667,833.3333333333333,0.0,0.0,76.40205333333347,0.0,0.0
2025-02-01,8,2025-02-01 01:20:00,2025-02-01 01:30:00,6300.000000000001,7050.000000000001,0.3746,attachment3,2025-02-01 00:00:00,451.7977,0.0,501.8467564433333,501.8467564433333,0.0,0.0,0.0,501.8467564433333,0.0,501.8467564433333,MODEL_B,1339.6870166666665,1339.6870166666665,833.3333333333333,0.0,0.0,54.55598333333319,0.0,0.0
2025-02-01,9,2025-02-01 01:30:00,2025-02-01 01:40:00,7050.000000000001,7800.000000000001,0.3606,attachment3,2025-02-01 00:00:00,446.08,0.0,479.95535459999996,479.95535459999996,0.0,0.0,0.0,479.95535459999996,0.0,479.95535459999996,MODEL_B,1330.991,1330.991,833.3333333333333,0.0,0.0,51.5776666666668,0.0,0.0
2025-02-01,10,2025-02-01 01:40:00,2025-02-01 01:50:00,7800.000000000001,7800.000000000001,0.3582,attachment3,2025-02-01 00:00:00,471.7663,0.0,187.90908126,187.90908126,0.0,0.0,0.0,187.90908126,0.0,187.90908126,MODEL_B,524.5926333333333,524.5926333333333,0.0,0.0,0.0,52.82633333333331,0.0,0.0
2025-02-01,11,2025-02-01 01:50:00,2025-02-01 02:00:00,7800.000000000001,8550.0,0.3041,attachment3,2025-02-01 00:00:00,448.026,0.0,412.24662887733325,412.24662887733325,0.0,0.0,0.0,412.24662887733325,0.0,412.24662887733325,MODEL_B,1355.6285066666665,1355.6285066666665,833.3333333333333,0.0,0.0,74.26917333333313,0.0,0.0
2025-02-01,12,2025-02-01 02:00:00,2025-02-01 02:10:00,8550.0,9300.0,0.2537,attachment3,2025-02-01 00:00:00,397.4033,0.0,345.5314507333333,345.5314507333333,0.0,0.0,0.0,345.5314507333333,0.0,345.5314507333333,MODEL_B,1361.9686666666666,1361.9686666666666,833.3333333333333,0.0,0.0,131.23203333333345,0.0,0.0
2025-02-01,13,2025-02-01 02:10:00,2025-02-01 02:20:00,9300.0,10050.0,0.3346,attachment3,2025-02-01 00:00:00,434.0906,0.0,453.502482314,453.502482314,0.0,0.0,0.0,453.502482314,0.0,453.502482314,MODEL_B,1355.35709,1355.35709,833.3333333333333,0.0,0.0,87.93315666666672,0.0,0.0
2025-02-01,14,2025-02-01 02:20:00,2025-02-01 02:30:00,10050.0,10050.0,0.3971,attachment3,2025-02-01 00:00:00,490.5609,0.0,216.489202963,216.489202963,0.0,0.0,0.0,216.489202963,0.0,216.489202963,MODEL_B,545.17553,545.17553,0.0,0.0,0.0,54.61462999999998,0.0,0.0
2025-02-01,15,2025-02-01 02:30:00,2025-02-01 02:40:00,10050.0,10050.0,0.367,attachment3,2025-02-01 00:00:00,503.22,0.0,196.52238333333332,196.52238333333332,0.0,0.0,0.0,196.52238333333332,0.0,196.52238333333332,MODEL_B,535.4833333333333,535.4833333333333,0.0,0.0,0.0,32.26333333333332,0.0,0.0
2025-02-01,16,2025-02-01 02:40:00,2025-02-01 02:50:00,10050.0,10050.0,0.3185,attachment3,2025-02-01 00:00:00,474.0728,0.0,163.857029245,163.857029245,0.0,0.0,0.0,163.857029245,0.0,163.857029245,MODEL_B,514.46477,514.46477,0.0,0.0,0.0,40.39197000000007,0.0,0.0
2025-02-01,17,2025-02-01 02:50:00,2025-02-01 03:00:00,10050.0,10050.0,0.3285,attachment3,2025-02-01 00:00:00,461.3844,0.0,174.17082483000002,174.17082483000002,0.0,0.0,0.0,174.17082483000002,0.0,174.17082483000002,MODEL_B,530.20038,530.20038,0.0,0.0,0.0,68.81597999999997,0.0,0.0
2025-02-01,18,2025-02-01 03:00:00,2025-02-01 03:10:00,10050.0,10050.0,0.3772,attachment3,2025-02-01 00:00:00,476.9417,0.0,204.18904733333335,204.18904733333335,0.0,0.0,0.0,204.18904733333335,0.0,204.18904733333335,MODEL_B,541.3283333333334,541.3283333333334,0.0,0.0,0.0,64.38663333333335,0.0,0.0
2025-02-01,19,2025-02-01 03:10:00,2025-02-01 03:20:00,10050.0,10050.0,0.3815,attachment3,2025-02-01 00:00:00,483.3995,0.0,207.9470459033333,207.9470459033333,0.0,0.0,0.0,207.9470459033333,0.0,207.9470459033333,MODEL_B,545.0774466666666,545.0774466666666,0.0,0.0,0.0,61.67794666666657,0.0,0.0
2025-02-01,20,2025-02-01 03:20:00,2025-02-01 03:30:00,10050.0,10050.0,0.3822,attachment3,2025-02-01 00:00:00,486.6019,0.0,206.41341884799994,206.41341884799994,0.0,0.0,0.0,206.41341884799994,0.0,206.41341884799994,MODEL_B,540.0665066666666,540.0665066666666,0.0,0.0,0.0,53.464606666666555,0.0,0.0
2025-02-01,21,2025-02-01 03:30:00,2025-02-01 03:40:00,10050.0,10050.0,0.3962,attachment3,2025-02-01 00:00:00,498.8483,0.0,213.50016193333332,213.50016193333332,0.0,0.0,0.0,213.50016193333332,0.0,213.50016193333332,MODEL_B,538.8696666666666,538.8696666666666,0.0,0.0,0.0,40.02136666666661,0.0,0.0
2025-02-01,22,2025-02-01 03:40:00,2025-02-01 03:50:00,10050.0,10050.0,0.3879,attachment3,2025-02-01 00:00:00,518.3097,0.0,204.11488458900004,204.11488458900004,0.0,0.0,0.0,204.11488458900004,0.0,204.11488458900004,MODEL_B,526.20491,526.20491,0.0,0.0,0.0,7.89521000000002,0.0,0.0
2025-02-01,23,2025-02-01 03:50:00,2025-02-01 04:00:00,10050.0,10050.0,0.3405,attachment3,2025-02-01 00:00:00,509.1335,0.0,184.93976814500002,184.93976814500002,0.0,0.0,0.0,184.93976814500002,0.0,184.93976814500002,MODEL_B,543.1417566666667,543.1417566666667,0.0,0.0,0.0,34.008256666666625,0.0,0.0
2025-02-01,24,2025-02-01 04:00:00,2025-02-01 04:10:00,10050.0,10050.0,0.3164,attachment3,2025-02-01 00:00:00,483.6167,0.0,175.71548213333332,175.71548213333332,0.0,0.0,0.0,175.71548213333332,0.0,175.71548213333332,MODEL_B,555.3586666666666,555.3586666666666,0.0,0.0,0.0,71.74196666666666,0.0,0.0
2025-02-01,25,2025-02-01 04:10:00,2025-02-01 04:20:00,10050.0,10050.0,0.3916,attachment3,2025-02-01 00:00:00,491.1868,0.0,213.65377107066664,213.65377107066664,0.0,0.0,0.0,213.65377107066664,0.0,213.65377107066664,MODEL_B,545.5918566666666,545.5918566666666,0.0,0.0,0.0,54.40505666666655,0.0,0.0
2025-02-01,26,2025-02-01 04:20:00,2025-02-01 04:30:00,10050.0,10050.0,0.4109,attachment3,2025-02-01 00:00:00,504.6453,0.0,226.69449287566667,226.69449287566667,0.0,0.0,0.0,226.69449287566667,0.0,226.69449287566667,MODEL_B,551.7023433333334,551.7023433333334,0.0,0.0,0.0,47.057043333333354,0.0,0.0
2025-02-01,27,2025-02-01 04:30:00,2025-02-01 04:40:00,10050.0,10050.0,0.361,attachment3,2025-02-01 00:00:00,505.5783,0.0,208.371366,208.371366,0.0,0.0,0.0,208.371366,0.0,208.371366,MODEL_B,577.206,577.206,0.0,0.0,0.0,71.6277,0.0,0.0
2025-02-01,28,2025-02-01 04:40:00,2025-02-01 04:50:00,10050.0,10050.0,0.3799,attachment3,2025-02-01 00:00:00,503.231,0.0,218.96489415833335,218.96489415833335,0.0,0.0,0.0,218.96489415833335,0.0,218.96489415833335,MODEL_B,576.3750833333334,576.3750833333334,0.0,0.0,0.0,73.14408333333336,0.0,0.0
2025-02-01,29,2025-02-01 04:50:00,2025-02-01 05:00:00,10050.0,10050.0,0.4094,attachment3,2025-02-01 00:00:00,502.847,0.0002,238.03649082733332,238.03649082733332,0.0,0.0,0.0,238.03649082733332,0.0,238.03649082733332,MODEL_B,581.4276766666667,581.4276766666667,0.0,0.0,0.0,78.58087666666671,0.0,0.0
2025-02-01,30,2025-02-01 05:00:00,2025-02-01 05:10:00,10050.0,10050.0,0.4052,attachment3,2025-02-01 00:00:00,499.6417,0.0,231.70916279999997,231.70916279999997,0.0,0.0,0.0,231.70916279999997,0.0,231.70916279999997,MODEL_B,571.8389999999999,571.8389999999999,0.0,0.0,0.0,72.19729999999993,0.0,0.0
2025-02-01,31,2025-02-01 05:10:00,2025-02-01 05:20:00,10050.0,10050.0,0.3896,attachment3,2025-02-01 00:00:00,488.7836,0.0,219.39790767466667,219.39790767466667,0.0,0.0,0.0,219.39790767466667,0.0,219.39790767466667,MODEL_B,563.1363133333333,563.1363133333333,0.0,0.0,0.0,74.35271333333333,0.0,0.0
