template_date,template_slot,interval_start,interval_end,soc_before,soc_after,price,pv_forecast_source,issue_datetime,load_actual_kwh,pv_actual_kwh,planned_purchase_cost,fulfilled_normal_purchase_cost,cancelled_purchase_principal,downward_adjustment_penalty,upward_adjustment_cost,regular_purchase_cost,emergency_purchase_cost,total_cost,cost_semantics,grid_plan_kwh,grid_final_kwh,charge_bus_kwh,discharge_bus_kwh,grid_emergency_kwh,spill_kwh,adjust_down_kwh,adjust_up_kwh
2025-01-01,1,2025-01-01 00:10:00,2025-01-01 00:20:00,6000.0,6000.0,0.4527,fallback_q2_pv,,588.2883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331.5905670500001,1331.5905670500001,MODEL_B,0.0,0.0,0.0,0.0,588.2883,0.0,0.0,0.0
2025-01-01,2,2025-01-01 00:20:00,2025-01-01 00:30:00,6000.0,6000.0,0.4733,fallback_q2_pv,,601.5881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1423.65823865,1423.65823865,MODEL_B,0.0,0.0,0.0,0.0,601.5881,0.0,0.0,0.0
2025-01-01,3,2025-01-01 00:30:00,2025-01-01 00:40:00,6000.0,6000.0,0.4843,fallback_q2_pv,,621.0933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503.97742595,1503.97742595,MODEL_B,0.0,0.0,0.0,0.0,621.0933,0.0,0.0,0.0
2025-01-01,4,2025-01-01 00:40:00,2025-01-01 00:50:00,6000.0,6000.0,0.4541,fallback_q2_pv,,585.1052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1328.4813566,1328.4813566,MODEL_B,0.0,0.0,0.0,0.0,585.1052,0.0,0.0,0.0
2025-01-01,5,2025-01-01 00:50:00,2025-01-01 01:00:00,6000.0,6000.0,0.4266,fallback_q2_pv,,583.7604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.1609332,1245.1609332,MODEL_B,0.0,0.0,0.0,0.0,583.7604,0.0,0.0,0.0
2025-01-01,6,2025-01-01 01:00:00,2025-01-01 01:10:00,6000.0,6000.0,0.4311,attachment3,2025-01-01 00:00:00,631.1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.4832706500001,1360.4832706500001,MODEL_B,0.0,0.0,0.0,0.0,631.1683,0.0,0.0,0.0
2025-01-01,7,2025-01-01 01:10:00,2025-01-01 01:20:00,6000.0,6000.0,0.4544,attachment3,2025-01-01 00:00:00,650.0534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.9213248,1476.9213248,MODEL_B,0.0,0.0,0.0,0.0,650.0534,0.0,0.0,0.0
2025-01-01,8,2025-01-01 01:20:00,2025-01-01 01:30:00,6000.0,6000.0,0.4483,attachment3,2025-01-01 00:00:00,652.8063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.2653214499999,1463.2653214499999,MODEL_B,0.0,0.0,0.0,0.0,652.8063,0.0,0.0,0.0
2025-01-01,9,2025-01-01 01:30:00,2025-01-01 01:40:00,6000.0,6000.0,0.4251,attachment3,2025-01-01 00:00:00,636.2133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.2713691499998,1352.2713691499998,MODEL_B,0.0,0.0,0.0,0.0,636.2133,0.0,0.0,0.0
2025-01-01,10,2025-01-01 01:40:00,2025-01-01 01:50:00,6000.0,6000.0,0.444,attachment3,2025-01-01 00:00:00,588.8356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.215032,1307.215032,MODEL_B,0.0,0.0,0.0,0.0,588.8356,0.0,0.0,0.0
2025-01-01,11,2025-01-01 01:50:00,2025-01-01 02:00:00,6000.0,6000.0,0.478,attachment3,2025-01-01 00:00:00,615.7769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1471.7067909999996,1471.7067909999996,MODEL_B,0.0,0.0,0.0,0.0,615.7769,0.0,0.0,0.0
2025-01-01,12,2025-01-01 02:00:00,2025-01-01 02:10:00,6000.0,6000.0,0.4941,attachment3,2025-01-01 00:00:00,677.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1673.6525775,1673.6525775,MODEL_B,0.0,0.0,0.0,0.0,677.455,0.0,0.0,0.0
