metric,value
total_cost,14966504.514652891
planned_purchase_cost,13782350.11264918
fulfilled_normal_purchase_cost,13395675.118645173
cancelled_purchase_principal,386674.9940040075
downward_penalty,193337.49700200374
upward_adjustment_cost,441992.15972220787
regular_purchase_cost,14031004.775369383
emergency_purchase_cost,935499.7392835065
emergency_energy,242354.89065111152
spill_energy,3385902.524464935
planned_grid_energy,22519082.405572794
final_grid_energy,22391622.193044286
total_charge,6888868.527002448
total_discharge,5579983.506871983
storage_throughput,12468852.033874432
adjust_down_energy,582841.9717763154
adjust_up_energy,455381.75924781035
adjustment_count,9443.0
soc_min,1200.0
soc_max,10800.0
