natural_date,interval,charge_bus_kwh,discharge_bus_kwh,soc_time,soc_kwh
2025-03-20,0:00-4:00,9000.0000,0.0000,00:00,1200.0000
2025-03-20,4:00-8:00,1666.6667,4396.4254,24:00,1200.0000
2025-03-20,8:00-12:00,5245.7001,4243.5746,,
2025-03-20,12:00-16:00,6012.6623,479.2735,,
2025-03-20,16:00-20:00,0.0000,4915.8905,,
2025-03-20,20:00-24:00,0.0000,3724.1095,,
2025-06-21,0:00-4:00,1532.3167,0.0000,00:00,1200.0000
2025-06-21,4:00-8:00,833.3333,1916.1765,24:00,1200.0000
2025-06-21,8:00-12:00,5126.4486,0.0000,,
2025-06-21,12:00-16:00,5540.2180,0.0000,,
2025-06-21,16:00-20:00,0.0000,5152.1737,,
2025-06-21,20:00-24:00,0.0000,3487.8263,,
2025-09-23,0:00-4:00,9000.0000,0.0000,00:00,1200.0000
2025-09-23,4:00-8:00,1666.6667,5689.1326,24:00,1200.0000
2025-09-23,8:00-12:00,4990.4550,2950.8674,,
2025-09-23,12:00-16:00,5928.6544,204.4786,,
2025-09-23,16:00-20:00,0.0000,4912.2392,,
2025-09-23,20:00-24:00,0.0000,3727.7608,,
2025-12-21,0:00-4:00,9000.0000,0.0000,00:00,1200.0000
2025-12-21,4:00-8:00,2500.0000,675.0000,24:00,1200.0000
2025-12-21,8:00-12:00,5000.0000,8640.0000,,
2025-12-21,12:00-16:00,9166.6667,2835.0000,,
2025-12-21,16:00-20:00,0.0000,4841.6934,,
2025-12-21,20:00-24:00,0.0000,3798.3066,,
