natural_date,interval,emergency_kwh
2025-03-20,0:30-0:40,1.7000
2025-03-20,1:10-1:50,132.8971
2025-03-20,3:20-4:10,83.5192
2025-03-20,5:20-5:30,0.9070
2025-03-20,6:50-7:00,11.8724
2025-03-20,8:20-8:30,9.5471
2025-03-20,10:00-10:10,17.2685
2025-03-20,11:10-11:40,149.0303
2025-03-20,12:30-13:00,242.5267
2025-03-20,13:10-13:30,79.4803
2025-03-20,13:40-13:50,4.7537
2025-03-20,15:30-17:10,406.6560
2025-03-20,17:30-17:40,7.3099
2025-03-20,18:50-19:10,35.7645
2025-03-20,20:10-20:30,11.7953
2025-03-20,21:20-21:50,25.7376
2025-03-20,23:40-24:00,8.2292
2025-06-21,3:10-3:20,6.1073
2025-06-21,4:10-4:20,6.5496
2025-06-21,5:50-6:30,61.8204
2025-09-23,0:50-1:00,15.9897
2025-09-23,2:20-2:30,15.4814
2025-09-23,5:00-5:20,51.4771
2025-09-23,6:20-6:40,10.4619
2025-09-23,8:40-8:50,1.1804
2025-09-23,9:40-10:00,113.8039
2025-09-23,10:10-10:30,67.7007
2025-09-23,11:00-11:10,8.6426
2025-09-23,14:10-15:20,397.9051
2025-09-23,16:10-16:20,3.6290
2025-09-23,18:20-18:30,25.2502
2025-09-23,19:00-19:10,1.2614
2025-09-23,20:10-20:40,79.0268
2025-09-23,21:00-21:20,74.7532
2025-09-23,21:30-21:40,29.5307
2025-09-23,22:30-22:40,20.2150
2025-12-21,3:10-3:20,0.0996
2025-12-21,3:40-4:00,66.9551
2025-12-21,10:30-11:50,493.9892
2025-12-21,15:30-15:40,2.0039
2025-12-21,18:30-19:10,43.3279
2025-12-21,20:00-20:10,5.9500
