method,issue_hour,period,n,MAE_kw,RMSE_kw,bias_kw
H1_INTERP,0,ALL,50370,199.98870847197406,382.5829818915424,-28.134745739527503
H1_INTERP,0,afternoon_14_18,8760,349.6777614859208,488.73462481270207,-47.411473544520554
H1_INTERP,0,morning_06_10,8760,218.0452741438356,315.0587525165471,-20.571942557077627
H1_INTERP,0,night_18_06,24090,11.010400004842952,46.02651523667841,9.665312322540473
H1_INTERP,0,noon_10_14,8760,551.9334380707763,705.4620701168174,-120.37098078767126
H1_INTERP,6,ALL,50335,120.3370820760902,235.47273017946281,-11.961056690175827
H1_INTERP,6,afternoon_14_18,8760,231.13636373287673,315.7994038645677,-9.770961541095899
H1_INTERP,6,morning_06_10,6570,122.03493924403855,176.09753473463215,-24.53928310502283
H1_INTERP,6,night_18_06,26245,10.376276455197813,46.31365364321257,8.759437008954086
H1_INTERP,6,noon_10_14,8760,337.70748328767127,434.9571686256188,-66.7961757648402
H1_INTERP,12,ALL,50299,197.40328743546925,496.00465223056017,-26.84597111970417
H1_INTERP,12,afternoon_14_18,8760,122.0784812956621,166.35070674047267,11.858423304794515
H1_INTERP,12,morning_06_10,8736,407.6260026232448,615.2183404046307,-43.58610327953297
H1_INTERP,12,night_18_06,26245,9.823938297453484,43.4778473375094,9.194581148790245
H1_INTERP,12,noon_10_14,6558,768.6688684100843,1156.8146494148077,-200.48015759377856
H1_INTERP,18,ALL,50263,273.1499744954871,530.8937553028868,-59.49496819330324
H1_INTERP,18,afternoon_14_18,8736,456.0569069234585,647.0572516305479,-89.69066503548535
H1_INTERP,18,morning_06_10,8736,311.21928532890723,454.46715398641015,-41.96152553800368
H1_INTERP,18,night_18_06,24055,5.1181602418069705,31.49245812610638,4.817113159426315
H1_INTERP,18,noon_10_14,8736,790.2123406517094,996.8313791311534,-223.9191513850733
H1_ZOH,0,ALL,50370,373.9810374449077,637.6320217014008,-28.134745739527503
H1_ZOH,0,afternoon_14_18,8760,745.81351163242,934.1069904537317,571.3499096461187
H1_ZOH,0,morning_06_10,8760,673.1909533333334,863.7975454660082,-640.7155594520548
H1_ZOH,0,night_18_06,24090,29.85066271897053,139.22152549499762,9.55589211706102
H1_ZOH,0,noon_10_14,8760,649.2971778652968,815.9654474660906,-118.68784151826486
H1_ZOH,6,ALL,50335,307.795300236416,550.3214193312288,8.451675533922712
H1_ZOH,6,afternoon_14_18,8760,693.3752343721461,870.8934678425495,614.3876941666667
H1_ZOH,6,morning_06_10,6570,712.9793131659056,879.3347385146116,-703.4620831811263
H1_ZOH,6,night_18_06,26245,27.21047014288436,132.3781022733555,8.869701897504285
H1_ZOH,6,noon_10_14,8760,458.96078857305935,591.0321906507452,-64.80143295662101
H1_ZOH,12,ALL,50299,367.22223616374083,694.2335856270025,-24.432678892224505
H1_ZOH,12,afternoon_14_18,8760,658.6315919520548,834.7940297883596,640.3271914269407
H1_ZOH,12,morning_06_10,8736,746.6682407051283,991.4404358754708,-656.7702185210624
H1_ZOH,12,night_18_06,26245,27.223235949704705,132.65546699639702,9.094944618022481
H1_ZOH,12,noon_10_14,6558,833.1703161024703,1177.228051414758,-204.23264791094846
H1_ZOH,18,ALL,50263,422.73711330601043,733.1966744571201,-66.35973145852815
H1_ZOH,18,afternoon_14_18,8736,823.9539889880954,1028.6835121909994,516.8555649038461
H1_ZOH,18,morning_06_10,8736,711.5127259615384,916.0237948926165,-656.0250740155678
H1_ZOH,18,night_18_06,24055,9.782908750779464,75.25180577147665,-9.746670180835586
H1_ZOH,18,noon_10_14,8736,869.834069860348,1086.3218683507205,-215.79649719551284
