month,count,mean,median,std,min,max
1,4464,0.8596450492831541,0.85965,0.37445895578213473,0.2432,1.6401
2,4032,0.769570064484127,0.77595,0.32006178084337356,0.2247,1.447
3,4464,0.725502105734767,0.71465,0.31468215333088434,0.0913,1.3583
4,4320,0.6988475462962963,0.65265,0.3065572710579954,0.0076,1.3932
5,4464,0.6911818772401433,0.6347,0.30786527808752456,0.0389,1.4134
6,4320,0.7662646527777778,0.7357,0.3156254409206438,0.1708,1.4509
7,4464,0.8301136872759857,0.76385,0.36653849281630013,0.1337,1.7936
8,4464,0.7864668010752688,0.69245,0.3691614558846153,0.0665,1.7686
9,4320,0.7202856018518519,0.6864,0.32103153831922593,0.0376,1.4221
10,4464,0.720293167562724,0.72,0.3177331132528725,0.039,1.3793
11,4320,0.7609939351851852,0.77395,0.3245343411534301,0.2088,1.4244
12,4464,0.8617138216845879,0.87665,0.3760470008837635,0.2354,1.6698
