interval_index,sample_time_label,sample_minute,interval_start_day_offset,interval_start_minute,interval_end_day_offset,interval_end_minute,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_kwh
1,00:10:00,10,0,10,0,20,0.4248,3439.8466,0.0000,573.3078,0.0000
2,00:20:00,20,0,20,0,30,0.4245,3437.9792,0.0000,572.9965,0.0000
3,00:30:00,30,0,30,0,40,0.4269,3444.3031,0.0000,574.0505,0.0000
4,00:40:00,40,0,40,0,50,0.4272,3454.4437,0.0000,575.7406,0.0000
5,00:50:00,50,0,50,0,60,0.4271,3458.8273,0.0000,576.4712,0.0000
6,01:00:00,60,0,60,0,70,0.4285,3459.8401,0.0000,576.6400,0.0000
7,01:10:00,70,0,70,0,80,0.4311,3467.1582,0.0000,577.8597,0.0000
8,01:20:00,80,0,80,0,90,0.4302,3467.9632,0.0000,577.9939,0.0000
9,01:30:00,90,0,90,0,100,0.4279,3466.9683,0.0000,577.8280,0.0000
10,01:40:00,100,0,100,0,110,0.4312,3482.4927,0.0000,580.4154,0.0000
11,01:50:00,110,0,110,0,120,0.4333,3495.0841,0.0000,582.5140,0.0000
12,02:00:00,120,0,120,0,130,0.4311,3498.4443,0.0000,583.0740,0.0000
13,02:10:00,130,0,130,0,140,0.4293,3505.2295,0.0000,584.2049,0.0000
14,02:20:00,140,0,140,0,150,0.4324,3512.6387,0.0000,585.4398,0.0000
15,02:30:00,150,0,150,0,160,0.4367,3516.8685,0.0000,586.1447,0.0000
16,02:40:00,160,0,160,0,170,0.4348,3517.9246,0.0000,586.3208,0.0000
17,02:50:00,170,0,170,0,180,0.4335,3518.5518,0.0000,586.4253,0.0000
18,03:00:00,180,0,180,0,190,0.4357,3521.0976,0.0000,586.8496,0.0000
19,03:10:00,190,0,190,0,200,0.4374,3526.9261,0.0000,587.8210,0.0000
20,03:20:00,200,0,200,0,210,0.4371,3537.2854,0.0000,589.5476,0.0000
21,03:30:00,210,0,210,0,220,0.4356,3544.8808,0.0000,590.8135,0.0000
22,03:40:00,220,0,220,0,230,0.4353,3541.2787,0.0000,590.2131,0.0000
23,03:50:00,230,0,230,0,240,0.4360,3546.3976,0.0000,591.0663,0.0000
24,04:00:00,240,0,240,0,250,0.4378,3560.2070,0.0000,593.3678,0.0000
25,04:10:00,250,0,250,0,260,0.4401,3561.9581,0.0000,593.6597,0.0000
26,04:20:00,260,0,260,0,270,0.4389,3556.7183,0.0000,592.7864,0.0000
27,04:30:00,270,0,270,0,280,0.4364,3560.0272,0.0000,593.3379,0.0000
28,04:40:00,280,0,280,0,290,0.4393,3580.6540,0.5994,596.7757,0.0999
29,04:50:00,290,0,290,0,300,0.4422,3586.9160,0.2345,597.8193,0.0391
30,05:00:00,300,0,300,0,310,0.4395,3571.2635,0.2885,595.2106,0.0481
31,05:10:00,310,0,310,0,320,0.4333,3562.3171,18.6781,593.7195,3.1130
32,05:20:00,320,0,320,0,330,0.4439,3591.3809,54.4698,598.5635,9.0783
33,05:30:00,330,0,330,0,340,0.4301,3579.7045,108.9718,596.6174,18.1620
34,05:40:00,340,0,340,0,350,0.3713,3486.1190,184.1603,581.0198,30.6934
35,05:50:00,350,0,350,0,360,0.5708,3823.8994,277.0582,637.3166,46.1764
36,06:00:00,360,0,360,0,370,0.9099,4398.0727,388.5494,733.0121,64.7582
37,06:10:00,370,0,370,0,380,0.9368,4454.0123,521.2803,742.3354,86.8800
38,06:20:00,380,0,380,0,390,0.8758,4371.7919,672.7677,728.6320,112.1279
39,06:30:00,390,0,390,0,400,0.8759,4392.9530,844.2261,732.1588,140.7043
40,06:40:00,400,0,400,0,410,0.8601,4384.5956,1039.6744,730.7659,173.2791
41,06:50:00,410,0,410,0,420,0.8442,4434.7757,1259.3375,739.1293,209.8896
42,07:00:00,420,0,420,0,430,0.8334,4523.4561,1508.6318,753.9094,251.4386
43,07:10:00,430,0,430,0,440,0.8092,4524.0721,1791.4107,754.0120,298.5684
44,07:20:00,440,0,440,0,450,0.7972,4545.8867,2085.4865,757.6478,347.5811
45,07:30:00,450,0,450,0,460,0.7644,4523.2418,2381.2611,753.8736,396.8768
46,07:40:00,460,0,460,0,470,0.6899,4383.3566,2683.1752,730.5594,447.1959
47,07:50:00,470,0,470,0,480,0.8600,4910.4599,2986.3552,818.4100,497.7259
48,08:00:00,480,0,480,0,490,1.1617,5799.7327,3289.2040,966.6221,548.2007
49,08:10:00,490,0,490,0,500,1.1683,5884.8260,3593.3613,980.8043,598.8936
50,08:20:00,500,0,500,0,510,1.0956,5748.0713,3890.7332,958.0119,648.4555
51,08:30:00,510,0,510,0,520,1.0849,5769.0581,4181.3417,961.5097,696.8903
52,08:40:00,520,0,520,0,530,1.0610,5754.2105,4471.7657,959.0351,745.2943
53,08:50:00,530,0,530,0,540,1.0430,5824.1807,4752.8272,970.6968,792.1379
54,09:00:00,540,0,540,0,550,1.0360,5954.2601,5021.9074,992.3767,836.9846
55,09:10:00,550,0,550,0,560,1.0147,5958.9696,5285.4126,993.1616,880.9021
56,09:20:00,560,0,560,0,570,0.9922,5929.5554,5543.1742,988.2592,923.8624
57,09:30:00,570,0,570,0,580,0.9700,5923.7828,5788.4093,987.2971,964.7349
58,09:40:00,580,0,580,0,590,0.9422,5907.5860,6012.1304,984.5977,1002.0217
59,09:50:00,590,0,590,0,600,0.9569,5899.1262,6216.1528,983.1877,1036.0255
60,10:00:00,600,0,600,0,610,0.9977,5902.2196,6409.5941,983.7033,1068.2657
61,10:10,610,0,610,0,620,0.9919,5897.4793,6599.3808,982.9132,1099.8968
62,10:20,620,0,620,0,630,0.9588,5886.7568,6766.7204,981.1261,1127.7867
63,10:30,630,0,630,0,640,0.9549,5873.4708,6914.5923,978.9118,1152.4320
64,10:40,640,0,640,0,650,0.9839,5858.0308,7064.2053,976.3385,1177.3675
65,10:50,650,0,650,0,660,0.7990,5844.9948,7197.4315,974.1658,1199.5719
66,11:00,660,0,660,0,670,0.5025,5839.0587,7303.1142,973.1764,1217.1857
67,11:10,670,0,670,0,680,0.4662,5838.7103,7387.6848,973.1184,1231.2808
68,11:20,680,0,680,0,690,0.5007,5823.4378,7459.2270,970.5730,1243.2045
69,11:30,690,0,690,0,700,0.4827,5814.7932,7520.7191,969.1322,1253.4532
70,11:40,700,0,700,0,710,0.4785,5832.3951,7568.2039,972.0658,1261.3673
71,11:50,710,0,710,0,720,0.4662,5712.9010,7592.1539,952.1502,1265.3590
72,12:00,720,0,720,0,730,0.4432,5519.4607,7601.0433,919.9101,1266.8405
73,12:10,730,0,730,0,740,0.4411,5494.7907,7612.3160,915.7984,1268.7193
74,12:20,740,0,740,0,750,0.4551,5514.4524,7602.6524,919.0754,1267.1087
75,12:30,750,0,750,0,760,0.4463,5485.8290,7554.1872,914.3048,1259.0312
76,12:40,760,0,760,0,770,0.4113,5462.3628,7472.7384,910.3938,1245.4564
77,12:50,770,0,770,0,780,0.5682,5566.1066,7393.4172,927.6844,1232.2362
78,13:00,780,0,780,0,790,0.8279,5725.7548,7312.7979,954.2925,1218.7996
79,13:10,790,0,790,0,800,0.8636,5739.4957,7194.5410,956.5826,1199.0902
80,13:20,800,0,800,0,810,0.8416,5714.6836,7053.1371,952.4473,1175.5228
81,13:30,810,0,810,0,820,0.8618,5717.8505,6910.4064,952.9751,1151.7344
82,13:40,820,0,820,0,830,0.8623,5708.2486,6772.4075,951.3748,1128.7346
83,13:50,830,0,830,0,840,0.9026,5696.9182,6607.3600,949.4864,1101.2267
84,14:00,840,0,840,0,850,0.9754,5692.2983,6412.5085,948.7164,1068.7514
85,14:10,850,0,850,0,860,1.0002,5687.1291,6214.0158,947.8548,1035.6693
86,14:20,860,0,860,0,870,0.9978,5678.9620,6000.7112,946.4937,1000.1185
87,14:30,870,0,870,0,880,1.0271,5669.4508,5766.9816,944.9085,961.1636
88,14:40,880,0,880,0,890,1.0906,5664.1948,5521.5066,944.0325,920.2511
89,14:50,890,0,890,0,900,0.9376,5672.7011,5268.7810,945.4502,878.1302
90,15:00,900,0,900,0,910,0.6694,5682.2544,5009.7152,947.0424,834.9525
91,15:10,910,0,910,0,920,0.6600,5669.0195,4743.4484,944.8366,790.5747
92,15:20,920,0,920,0,930,0.7217,5656.3651,4471.2240,942.7275,745.2040
93,15:30,930,0,930,0,940,0.7308,5657.0867,4188.2025,942.8478,698.0338
94,15:40,940,0,940,0,950,0.7534,5662.6008,3889.3931,943.7668,648.2322
95,15:50,950,0,950,0,960,0.7823,5669.2596,3594.5946,944.8766,599.0991
96,16:00,960,0,960,0,970,0.8055,5673.4767,3303.8878,945.5794,550.6480
97,16:10,970,0,970,0,980,0.8271,5671.0146,2998.4247,945.1691,499.7374
98,16:20,980,0,980,0,990,0.8519,5661.5926,2687.4131,943.5988,447.9022
99,16:30,990,0,990,0,1000,0.8791,5665.8922,2383.1779,944.3154,397.1963
100,16:40,1000,0,1000,0,1010,0.9024,5689.0372,2089.1246,948.1729,348.1874
101,16:50,1010,0,1010,0,1020,0.9163,5603.6614,1791.0829,933.9436,298.5138
102,17:00,1020,0,1020,0,1030,0.9264,5466.7124,1501.7283,911.1187,250.2880
103,17:10,1030,0,1030,0,1040,0.9462,5467.3939,1255.1723,911.2323,209.1954
104,17:20,1040,0,1040,0,1050,0.9742,5464.7270,1036.3323,910.7878,172.7220
105,17:30,1050,0,1050,0,1060,0.9862,5492.4458,836.7775,915.4076,139.4629
106,17:40,1060,0,1060,0,1070,0.9760,5621.7308,665.2313,936.9551,110.8719
107,17:50,1070,0,1070,0,1080,1.0742,5091.2126,516.6758,848.5354,86.1126
108,18:00,1080,0,1080,0,1090,1.2313,4208.5688,386.6731,701.4281,64.4455
109,18:10,1090,0,1090,0,1100,1.2561,4122.7611,275.7933,687.1268,45.9655
110,18:20,1100,0,1100,0,1110,1.2447,4255.9358,182.9526,709.3226,30.4921
111,18:30,1110,0,1110,0,1120,1.2545,4225.9524,108.3414,704.3254,18.0569
112,18:40,1120,0,1120,0,1130,1.2522,4233.3384,54.3121,705.5564,9.0520
113,18:50,1130,0,1130,0,1140,1.2881,4246.4625,18.6569,707.7437,3.1095
114,19:00,1140,0,1140,0,1150,1.3466,4239.1795,0.2753,706.5299,0.0459
115,19:10,1150,0,1150,0,1160,1.3523,4244.6684,0.2296,707.4447,0.0383
116,19:20,1160,0,1160,0,1170,1.3445,4251.9187,0.6007,708.6531,0.1001
117,19:30,1170,0,1170,0,1180,1.3483,4256.6813,0.0000,709.4469,0.0000
118,19:40,1180,0,1180,0,1190,1.3490,4267.3947,0.0000,711.2324,0.0000
119,19:50,1190,0,1190,0,1200,1.3473,4269.9750,0.0000,711.6625,0.0000
120,20:00,1200,0,1200,0,1210,1.3482,4268.6702,0.0000,711.4450,0.0000
121,20:10,1210,0,1210,0,1220,1.3513,4282.2245,0.0000,713.7041,0.0000
122,20:20,1220,0,1220,0,1230,1.3400,4291.7049,0.0000,715.2841,0.0000
123,20:30,1230,0,1230,0,1240,1.3489,4291.3611,0.0000,715.2269,0.0000
124,20:40,1240,0,1240,0,1250,1.3952,4293.9182,0.0000,715.6530,0.0000
125,20:50,1250,0,1250,0,1260,1.2226,4295.2135,0.0000,715.8689,0.0000
126,21:00,1260,0,1260,0,1270,0.9332,4302.0307,0.0000,717.0051,0.0000
127,21:10,1270,0,1270,0,1280,0.9068,4320.9618,0.0000,720.1603,0.0000
128,21:20,1280,0,1280,0,1290,0.9371,4302.3292,0.0000,717.0549,0.0000
129,21:30,1290,0,1290,0,1300,0.9371,4322.6758,0.0000,720.4460,0.0000
130,21:40,1300,0,1300,0,1310,0.9871,4428.8083,0.0000,738.1347,0.0000
131,21:50,1310,0,1310,0,1320,0.7764,4030.1614,0.0000,671.6936,0.0000
132,22:00,1320,0,1320,0,1330,0.4209,3362.7419,0.0000,560.4570,0.0000
133,22:10,1330,0,1330,0,1340,0.3859,3309.3934,0.0000,551.5656,0.0000
134,22:20,1340,0,1340,0,1350,0.4368,3412.9563,0.0000,568.8260,0.0000
