source_date,interval_index,sample_minute,interval_start_date,interval_start_minute,interval_end_date,interval_end_minute,load_kw,pv_actual_kw,load_kwh,pv_actual_kwh
2025-01-01,1,10,2025-01-01,10,2025-01-01,20,3529.7296,0.0000,588.2883,0.0000
2025-01-01,2,20,2025-01-01,20,2025-01-01,30,3609.5287,0.0000,601.5881,0.0000
2025-01-01,3,30,2025-01-01,30,2025-01-01,40,3726.5600,0.0000,621.0933,0.0000
2025-01-01,4,40,2025-01-01,40,2025-01-01,50,3510.6311,0.0000,585.1052,0.0000
2025-01-01,5,50,2025-01-01,50,2025-01-01,60,3502.5625,0.0000,583.7604,0.0000
2025-01-01,6,60,2025-01-01,60,2025-01-01,70,3787.0100,0.0000,631.1683,0.0000
2025-01-01,7,70,2025-01-01,70,2025-01-01,80,3900.3205,0.0000,650.0534,0.0000
2025-01-01,8,80,2025-01-01,80,2025-01-01,90,3916.8376,0.0000,652.8063,0.0000
2025-01-01,9,90,2025-01-01,90,2025-01-01,100,3817.2800,0.0000,636.2133,0.0000
2025-01-01,10,100,2025-01-01,100,2025-01-01,110,3533.0136,0.0000,588.8356,0.0000
2025-01-01,11,110,2025-01-01,110,2025-01-01,120,3694.6613,0.0000,615.7769,0.0000
2025-01-01,12,120,2025-01-01,120,2025-01-01,130,4064.7300,0.0000,677.4550,0.0000
2025-01-01,13,130,2025-01-01,130,2025-01-01,140,3810.6710,0.0000,635.1118,0.0000
2025-01-01,14,140,2025-01-01,140,2025-01-01,150,3844.9495,0.0000,640.8249,0.0000
2025-01-01,15,150,2025-01-01,150,2025-01-01,160,4234.6200,0.0000,705.7700,0.0000
2025-01-01,16,160,2025-01-01,160,2025-01-01,170,4109.9755,0.0000,684.9959,0.0000
2025-01-01,17,170,2025-01-01,170,2025-01-01,180,3996.8945,0.0000,666.1491,0.0000
2025-01-01,18,180,2025-01-01,180,2025-01-01,190,4102.1900,0.0000,683.6983,0.0000
2025-01-01,19,190,2025-01-01,190,2025-01-01,200,4086.0577,0.0000,681.0096,0.0000
2025-01-01,20,200,2025-01-01,200,2025-01-01,210,4133.7626,0.0000,688.9604,0.0000
2025-01-01,21,210,2025-01-01,210,2025-01-01,220,4179.1800,0.0000,696.5300,0.0000
2025-01-01,22,220,2025-01-01,220,2025-01-01,230,3953.3711,0.0000,658.8952,0.0000
2025-01-01,23,230,2025-01-01,230,2025-01-01,240,3910.7496,0.0000,651.7916,0.0000
2025-01-01,24,240,2025-01-01,240,2025-01-01,250,4099.3100,0.0000,683.2183,0.0000
2025-01-01,25,250,2025-01-01,250,2025-01-01,260,4123.8623,0.0000,687.3104,0.0000
2025-01-01,26,260,2025-01-01,260,2025-01-01,270,4169.0068,0.0000,694.8345,0.0000
2025-01-01,27,270,2025-01-01,270,2025-01-01,280,4260.2400,0.0000,710.0400,0.0000
2025-01-01,28,280,2025-01-01,280,2025-01-01,290,4217.2222,0.0000,702.8704,0.0000
2025-01-01,29,290,2025-01-01,290,2025-01-01,300,4261.8570,0.0000,710.3095,0.0000
2025-01-01,30,300,2025-01-01,300,2025-01-01,310,4341.9000,0.0000,723.6500,0.0000
2025-01-01,31,310,2025-01-01,310,2025-01-01,320,4208.2208,0.0021,701.3701,0.0003
2025-01-01,32,320,2025-01-01,320,2025-01-01,330,4302.1233,0.0000,717.0205,0.0000
2025-01-01,33,330,2025-01-01,330,2025-01-01,340,4456.5900,0.0000,742.7650,0.0000
2025-01-01,34,340,2025-01-01,340,2025-01-01,350,4148.6370,0.0299,691.4395,0.0050
2025-01-01,35,350,2025-01-01,350,2025-01-01,360,4498.1333,0.0000,749.6889,0.0000
2025-01-01,36,360,2025-01-01,360,2025-01-01,370,5369.3800,0.0000,894.8967,0.0000
2025-01-01,37,370,2025-01-01,370,2025-01-01,380,5440.8991,0.4169,906.8165,0.0695
2025-01-01,38,380,2025-01-01,380,2025-01-01,390,5316.8930,0.0000,886.1488,0.0000
2025-01-01,39,390,2025-01-01,390,2025-01-01,400,5399.8200,0.0000,899.9700,0.0000
2025-01-01,40,400,2025-01-01,400,2025-01-01,410,5447.4007,5.8062,907.9001,0.9677
2025-01-01,41,410,2025-01-01,410,2025-01-01,420,5444.4010,0.0000,907.4002,0.0000
2025-01-01,42,420,2025-01-01,420,2025-01-01,430,5433.6300,3.0750,905.6050,0.5125
2025-01-01,43,430,2025-01-01,430,2025-01-01,440,5449.2818,175.7953,908.2136,29.2992
2025-01-01,44,440,2025-01-01,440,2025-01-01,450,5510.0042,421.4960,918.3340,70.2493
2025-01-01,45,450,2025-01-01,450,2025-01-01,460,5476.0000,677.1000,912.6667,112.8500
2025-01-01,46,460,2025-01-01,460,2025-01-01,470,5329.4215,950.8112,888.2369,158.4685
2025-01-01,47,470,2025-01-01,470,2025-01-01,480,6084.1163,1255.5705,1014.0194,209.2618
2025-01-01,48,480,2025-01-01,480,2025-01-01,490,7316.0000,1592.2875,1219.3333,265.3812
2025-01-01,49,490,2025-01-01,490,2025-01-01,500,7469.4947,1937.5212,1244.9158,322.9202
2025-01-01,50,500,2025-01-01,500,2025-01-01,510,7225.6910,2225.1261,1204.2818,370.8543
2025-01-01,51,510,2025-01-01,510,2025-01-01,520,7216.1300,2490.1125,1202.6883,415.0188
2025-01-01,52,520,2025-01-01,520,2025-01-01,530,7361.7004,2826.3146,1226.9501,471.0524
