issue_date,issue_time,lead_hour,forecast_kw,target_date,interval_index,interval_start_minute,interval_end_minute
2025-01-01,0:00,1,0.0000,2025-01-01,1,0,10
2025-01-01,0:00,1,0.0000,2025-01-01,2,10,20
2025-01-01,0:00,1,0.0000,2025-01-01,3,20,30
2025-01-01,0:00,1,0.0000,2025-01-01,4,30,40
2025-01-01,0:00,1,0.0000,2025-01-01,5,40,50
2025-01-01,0:00,1,0.0000,2025-01-01,6,50,60
2025-01-01,0:00,2,0.0000,2025-01-01,7,60,70
2025-01-01,0:00,2,0.0000,2025-01-01,8,70,80
2025-01-01,0:00,2,0.0000,2025-01-01,9,80,90
2025-01-01,0:00,2,0.0000,2025-01-01,10,90,100
2025-01-01,0:00,2,0.0000,2025-01-01,11,100,110
2025-01-01,0:00,2,0.0000,2025-01-01,12,110,120
2025-01-01,0:00,3,0.0000,2025-01-01,13,120,130
2025-01-01,0:00,3,0.0000,2025-01-01,14,130,140
2025-01-01,0:00,3,0.0000,2025-01-01,15,140,150
2025-01-01,0:00,3,0.0000,2025-01-01,16,150,160
2025-01-01,0:00,3,0.0000,2025-01-01,17,160,170
2025-01-01,0:00,3,0.0000,2025-01-01,18,170,180
2025-01-01,0:00,4,0.0000,2025-01-01,19,180,190
2025-01-01,0:00,4,0.0000,2025-01-01,20,190,200
2025-01-01,0:00,4,0.0000,2025-01-01,21,200,210
2025-01-01,0:00,4,0.0000,2025-01-01,22,210,220
2025-01-01,0:00,4,0.0000,2025-01-01,23,220,230
2025-01-01,0:00,4,0.0000,2025-01-01,24,230,240
2025-01-01,0:00,5,0.0000,2025-01-01,25,240,250
2025-01-01,0:00,5,0.0000,2025-01-01,26,250,260
2025-01-01,0:00,5,0.0000,2025-01-01,27,260,270
2025-01-01,0:00,5,0.0000,2025-01-01,28,270,280
2025-01-01,0:00,5,0.0000,2025-01-01,29,280,290
2025-01-01,0:00,5,0.0000,2025-01-01,30,290,300
2025-01-01,0:00,6,0.0000,2025-01-01,31,300,310
2025-01-01,0:00,6,0.0000,2025-01-01,32,310,320
2025-01-01,0:00,6,0.0000,2025-01-01,33,320,330
2025-01-01,0:00,6,0.0000,2025-01-01,34,330,340
2025-01-01,0:00,6,0.0000,2025-01-01,35,340,350
2025-01-01,0:00,6,0.0000,2025-01-01,36,350,360
2025-01-01,0:00,7,3.1173,2025-01-01,37,360,370
2025-01-01,0:00,7,3.1173,2025-01-01,38,370,380
2025-01-01,0:00,7,3.1173,2025-01-01,39,380,390
2025-01-01,0:00,7,3.1173,2025-01-01,40,390,400
2025-01-01,0:00,7,3.1173,2025-01-01,41,400,410
2025-01-01,0:00,7,3.1173,2025-01-01,42,410,420
2025-01-01,0:00,8,1603.3305,2025-01-01,43,420,430
2025-01-01,0:00,8,1603.3305,2025-01-01,44,430,440
2025-01-01,0:00,8,1603.3305,2025-01-01,45,440,450
2025-01-01,0:00,8,1603.3305,2025-01-01,46,450,460
2025-01-01,0:00,8,1603.3305,2025-01-01,47,460,470
2025-01-01,0:00,8,1603.3305,2025-01-01,48,470,480
2025-01-01,0:00,9,3409.0929,2025-01-01,49,480,490
2025-01-01,0:00,9,3409.0929,2025-01-01,50,490,500
2025-01-01,0:00,9,3409.0929,2025-01-01,51,500,510
2025-01-01,0:00,9,3409.0929,2025-01-01,52,510,520
2025-01-01,0:00,9,3409.0929,2025-01-01,53,520,530
2025-01-01,0:00,9,3409.0929,2025-01-01,54,530,540
2025-01-01,0:00,10,4871.2875,2025-01-01,55,540,550
2025-01-01,0:00,10,4871.2875,2025-01-01,56,550,560
2025-01-01,0:00,10,4871.2875,2025-01-01,57,560,570
2025-01-01,0:00,10,4871.2875,2025-01-01,58,570,580
2025-01-01,0:00,10,4871.2875,2025-01-01,59,580,590
2025-01-01,0:00,10,4871.2875,2025-01-01,60,590,600
2025-01-01,0:00,11,5785.1110,2025-01-01,61,600,610
2025-01-01,0:00,11,5785.1110,2025-01-01,62,610,620
2025-01-01,0:00,11,5785.1110,2025-01-01,63,620,630
2025-01-01,0:00,11,5785.1110,2025-01-01,64,630,640
2025-01-01,0:00,11,5785.1110,2025-01-01,65,640,650
2025-01-01,0:00,11,5785.1110,2025-01-01,66,650,660
2025-01-01,0:00,12,5737.1717,2025-01-01,67,660,670
2025-01-01,0:00,12,5737.1717,2025-01-01,68,670,680
2025-01-01,0:00,12,5737.1717,2025-01-01,69,680,690
2025-01-01,0:00,12,5737.1717,2025-01-01,70,690,700
2025-01-01,0:00,12,5737.1717,2025-01-01,71,700,710
2025-01-01,0:00,12,5737.1717,2025-01-01,72,710,720
2025-01-01,0:00,13,6047.3964,2025-01-01,73,720,730
2025-01-01,0:00,13,6047.3964,2025-01-01,74,730,740
2025-01-01,0:00,13,6047.3964,2025-01-01,75,740,750
2025-01-01,0:00,13,6047.3964,2025-01-01,76,750,760
2025-01-01,0:00,13,6047.3964,2025-01-01,77,760,770
2025-01-01,0:00,13,6047.3964,2025-01-01,78,770,780
2025-01-01,0:00,14,4687.1165,2025-01-01,79,780,790
2025-01-01,0:00,14,4687.1165,2025-01-01,80,790,800
2025-01-01,0:00,14,4687.1165,2025-01-01,81,800,810
2025-01-01,0:00,14,4687.1165,2025-01-01,82,810,820
2025-01-01,0:00,14,4687.1165,2025-01-01,83,820,830
2025-01-01,0:00,14,4687.1165,2025-01-01,84,830,840
2025-01-01,0:00,15,3572.6529,2025-01-01,85,840,850
2025-01-01,0:00,15,3572.6529,2025-01-01,86,850,860
2025-01-01,0:00,15,3572.6529,2025-01-01,87,860,870
2025-01-01,0:00,15,3572.6529,2025-01-01,88,870,880
2025-01-01,0:00,15,3572.6529,2025-01-01,89,880,890
2025-01-01,0:00,15,3572.6529,2025-01-01,90,890,900
2025-01-01,0:00,16,1629.9964,2025-01-01,91,900,910
2025-01-01,0:00,16,1629.9964,2025-01-01,92,910,920
2025-01-01,0:00,16,1629.9964,2025-01-01,93,920,930
2025-01-01,0:00,16,1629.9964,2025-01-01,94,930,940
2025-01-01,0:00,16,1629.9964,2025-01-01,95,940,950
2025-01-01,0:00,16,1629.9964,2025-01-01,96,950,960
2025-01-01,0:00,17,3.1956,2025-01-01,97,960,970
2025-01-01,0:00,17,3.1956,2025-01-01,98,970,980
2025-01-01,0:00,17,3.1956,2025-01-01,99,980,990
2025-01-01,0:00,17,3.1956,2025-01-01,100,990,1000
2025-01-01,0:00,17,3.1956,2025-01-01,101,1000,1010
2025-01-01,0:00,17,3.1956,2025-01-01,102,1010,1020
2025-01-01,0:00,18,0.0000,2025-01-01,103,1020,1030
2025-01-01,0:00,18,0.0000,2025-01-01,104,1030,1040
2025-01-01,0:00,18,0.0000,2025-01-01,105,1040,1050
2025-01-01,0:00,18,0.0000,2025-01-01,106,1050,1060
2025-01-01,0:00,18,0.0000,2025-01-01,107,1060,1070
2025-01-01,0:00,18,0.0000,2025-01-01,108,1070,1080
2025-01-01,0:00,19,0.0000,2025-01-01,109,1080,1090
2025-01-01,0:00,19,0.0000,2025-01-01,110,1090,1100
2025-01-01,0:00,19,0.0000,2025-01-01,111,1100,1110
2025-01-01,0:00,19,0.0000,2025-01-01,112,1110,1120
2025-01-01,0:00,19,0.0000,2025-01-01,113,1120,1130
2025-01-01,0:00,19,0.0000,2025-01-01,114,1130,1140
2025-01-01,0:00,20,0.0000,2025-01-01,115,1140,1150
2025-01-01,0:00,20,0.0000,2025-01-01,116,1150,1160
2025-01-01,0:00,20,0.0000,2025-01-01,117,1160,1170
2025-01-01,0:00,20,0.0000,2025-01-01,118,1170,1180
2025-01-01,0:00,20,0.0000,2025-01-01,119,1180,1190
2025-01-01,0:00,20,0.0000,2025-01-01,120,1190,1200
2025-01-01,0:00,21,0.0000,2025-01-01,121,1200,1210
2025-01-01,0:00,21,0.0000,2025-01-01,122,1210,1220
2025-01-01,0:00,21,0.0000,2025-01-01,123,1220,1230
2025-01-01,0:00,21,0.0000,2025-01-01,124,1230,1240
2025-01-01,0:00,21,0.0000,2025-01-01,125,1240,1250
2025-01-01,0:00,21,0.0000,2025-01-01,126,1250,1260
2025-01-01,0:00,22,0.0000,2025-01-01,127,1260,1270
2025-01-01,0:00,22,0.0000,2025-01-01,128,1270,1280
2025-01-01,0:00,22,0.0000,2025-01-01,129,1280,1290
2025-01-01,0:00,22,0.0000,2025-01-01,130,1290,1300
2025-01-01,0:00,22,0.0000,2025-01-01,131,1300,1310
2025-01-01,0:00,22,0.0000,2025-01-01,132,1310,1320
2025-01-01,0:00,23,0.0000,2025-01-01,133,1320,1330
2025-01-01,0:00,23,0.0000,2025-01-01,134,1330,1340
2025-01-01,0:00,23,0.0000,2025-01-01,135,1340,1350
2025-01-01,0:00,23,0.0000,2025-01-01,136,1350,1360
2025-01-01,0:00,23,0.0000,2025-01-01,137,1360,1370
2025-01-01,0:00,23,0.0000,2025-01-01,138,1370,1380
2025-01-01,0:00,24,0.0000,2025-01-01,139,1380,1390
2025-01-01,0:00,24,0.0000,2025-01-01,140,1390,1400
2025-01-01,0:00,24,0.0000,2025-01-01,141,1400,1410
2025-01-01,0:00,24,0.0000,2025-01-01,142,1410,1420
2025-01-01,0:00,24,0.0000,2025-01-01,143,1420,1430
2025-01-01,0:00,24,0.0000,2025-01-01,144,1430,1440
2025-01-01,6:00,1,3.0919,2025-01-01,37,360,370
2025-01-01,6:00,1,3.0919,2025-01-01,38,370,380
2025-01-01,6:00,1,3.0919,2025-01-01,39,380,390
